name,country,confederation,wc2026_status,website,best_contact_email,best_contact_role,languages_spoken,affiliated_clubs_estimate,why_target,notes,phone
Football Association of Ireland (FAI),IE,UEFA,Strong-culture-non-qualifier,https://www.fai.ie/,info@fai.ie,Communications,"en,ga","~1,800 clubs",Missed WC26 but enormous diaspora and pub-watching culture,Abbotstown HQ,
Irish Football Association (IFA),GB-NIR,UEFA,Strong-culture-non-qualifier,https://www.irishfa.com/,info@irishfa.com,Communications,en,~750 clubs,Missed WC26 but huge community engagement; GAWA fanbase,Belfast HQ,
Polish Football Association (PZPN),PL,UEFA,Strong-culture-non-qualifier,https://www.pzpn.pl/,pzpn@pzpn.pl,Communications,"pl,en","~6,000 clubs",Missed WC26 but Lewandowski-era Poland still draws; 16 regional federations,Warsaw HQ,
Football Federation of Czech Republic (FACR),CZ,UEFA,Qualified,https://fotbal.cz/,info@fotbal.cz,Communications,"cs,en","~3,500 clubs",WC26 qualifier; first since 2006,Prague HQ; form-only intake commonly used,
Turkish Football Federation (TFF),TR,UEFA,Qualified,https://www.tff.org/,iletisim@tff.org,Basin Iletisim,"tr,en","~5,000 clubs",WC26 qualifier; massive Turkish diaspora in DE/NL/UK,Istanbul HQ,
Football Federation of Bosnia and Herzegovina (NFSBiH),BA,UEFA,Qualified,https://www.nfsbih.ba/,info@nfsbih.ba,Communications,"bs,hr,sr,en","~1,100 clubs",WC26 qualifier (returns after 2014); Dzeko-era hangover; diaspora in DE/AT/CH,Sarajevo HQ,
Swiss Football Association (SFV/ASF),CH,UEFA,Qualified,https://www.football.ch/,info@football.ch,Kommunikation,"de,fr,it,en","~1,400 clubs",WC26 qualifier; trilingual content already; Nati strong Euro brand,Muri bei Bern HQ,
Danish Football Association (DBU),DK,UEFA,Strong-culture-non-qualifier,https://www.dbu.dk/,dbu@dbu.dk,Kommunikation,"da,en","~1,600 clubs",Missed WC26 but Euro 2024 reignited national pride,Brondby HQ,
Finnish Football Association (Palloliitto),FI,UEFA,Strong-culture-non-qualifier,https://www.palloliitto.fi/,palloliitto@palloliitto.fi,Communications,"fi,sv,en","~1,000 clubs",Strong-culture-non-qualifier; Huuhkajat have grown rapidly,Helsinki HQ,
Hellenic Football Federation (EPO),GR,UEFA,Strong-culture-non-qualifier,https://www.epo.gr/,epo@epo.gr,Communications,"el,en","~5,500 clubs",Missed WC26 but Greek footballing nostalgia (Euro 2004); huge diaspora,Athens HQ,
Hungarian Football Federation (MLSZ),HU,UEFA,Strong-culture-non-qualifier,https://www.mlsz.hu/,mlsz@mlsz.hu,Communications,"hu,en","~2,800 clubs",Missed WC26 but Marco Rossi era invigorated culture,Telki HQ,
Football Association of Serbia (FSS),RS,UEFA,Strong-culture-non-qualifier,https://fss.rs/,fss@fss.rs,Communications,"sr,en","~2,000 clubs",Missed WC26 but 2022 qualifier; large diaspora,Belgrade HQ,
Football Romania (FRF),RO,UEFA,Strong-culture-non-qualifier,https://www.frf.ro/,frf@frf.ro,Communications,"ro,en","~5,000 clubs",Missed WC26 but Euro 2024 R16 lifted profile,Bucharest HQ,
Albanian Football Federation (FSHF),AL,UEFA,Strong-culture-non-qualifier,https://fshf.org/,info@fshf.org,Communications,"sq,en",~700 clubs,Missed WC26; Euro 2024 participant; very engaged diaspora in IT/CH/UK,Tirana HQ,
Football Federation of North Macedonia (FFM),MK,UEFA,Strong-culture-non-qualifier,https://ffm.mk/,ffm@ffm.com.mk,Communications,"mk,en",~250 clubs,Strong-culture; Euro 2020 participant; Pandev legacy,Skopje HQ,
Slovakia Football Association (SFZ),SK,UEFA,Strong-culture-non-qualifier,https://futbalsfz.sk/,sfz@futbalsfz.sk,Communications,"sk,en","~2,300 clubs",Missed WC26 but Euro 2024 R16; strong national following,Bratislava HQ,
Football Association of Slovenia (NZS),SI,UEFA,Strong-culture-non-qualifier,https://www.nzs.si/,info@nzs.si,Communications,"sl,en",~450 clubs,Missed WC26 but Euro 2024 participant; Oblak-era pride,Brdo pri Kranju HQ,
Ukrainian Association of Football (UAF),UA,UEFA,Strong-culture-non-qualifier,https://uaf.ua/,info@uaf.ua ; press@uaf.ua,Press Service,"uk,en","~1,200 clubs",Missed WC26; vast diaspora across EU; symbolic engagement valuable,Kyiv HQ; press team responsive,
New Zealand Football,NZ,OFC,Qualified,https://www.nzfootball.co.nz/,info@nzfootball.co.nz,Communications,en,~250 clubs via 6 regional federations,WC26 qualifier (first since 2010); already covered in NZ list,Auckland HQ; primary OFC entry point,
Conmebol Argentina (AFA),AR,CONMEBOL,Qualified,https://www.afa.com.ar/,info@afa.org.ar ; prensa@afa.org.ar,Direccion de Comunicacion,es,"~3,500 clubs incl. amateur",Defending WC champions; massive global brand; Liga Profesional + 19 provincial federations,Pilar HQ at Predio Lionel Messi; channel via 19 Ligas to reach grassroots,
Confederacao Brasileira de Futebol (CBF),BR,CONMEBOL,Qualified,https://www.cbf.com.br/,faleconosco@cbf.com.br,Imprensa,pt,"~30,000 clubs (incl. amateur registries)",WC26 qualifier; football is national religion; 27 state federations + thousands of clubs,Rio HQ; cbf_imprensa Twitter is the most-monitored intake,
Federacion Ecuatoriana de Futbol (FEF),EC,CONMEBOL,Qualified,https://www.ecuafutbol.org/,info@ecuafutbol.org,Comunicacion,es,~600 clubs,WC26 qualifier; Quito HQ; relatively small staff so emails actually read,Diaspora in US/Spain,
Asociacion Uruguaya de Futbol (AUF),UY,CONMEBOL,Qualified,https://auf.org.uy/,prensa@auf.org.uy,Prensa,es,~500 clubs,WC26 qualifier; Bielsa-era Celeste; outsized footballing culture for population,Montevideo HQ,
Federacion Colombiana de Futbol (FCF),CO,CONMEBOL,Qualified,https://fcf.com.co/,prensa@fcf.com.co,Comunicaciones,es,"~1,800 clubs",WC26 qualifier; Copa America 2024 finalist; huge diaspora,Bogota HQ,
Asociacion Paraguaya de Futbol (APF),PY,CONMEBOL,Qualified,https://apf.org.py/,prensa@apf.org.py,Comunicaciones,"es,gn",~800 clubs,WC26 qualifier (returns after 2010); Albirroja growth,Luque HQ; shares city with CONMEBOL,
Asociacion Nacional de Futbol Profesional de Chile (ANFP),CL,CONMEBOL,Strong-culture-non-qualifier,https://www.anfp.cl/,anfp@anfp.cl,Comunicaciones,es,"~1,500 clubs",Missed WC26; La Roja has strong identity; Liga de Primera fanbase active,Santiago HQ,
Federacion Peruana de Futbol (FPF),PE,CONMEBOL,Strong-culture-non-qualifier,https://fpf.org.pe/,fpf@fpf.org.pe,Comunicaciones,es,"~3,000 clubs",Missed WC26; La Bicolor passion still high post-2018,Lima HQ,
Federacion Boliviana de Futbol (FBF),BO,CONMEBOL,Strong-culture-non-qualifier,https://www.fbf.com.bo/,fbf@fbf.com.bo,Comunicaciones,"es,qu,ay",~500 clubs,Missed WC26; Andean fan culture; Cochabamba HQ; small staff means easier reach,Diaspora in Argentina + Brazil,
Federacion Venezolana de Futbol (FVF),VE,CONMEBOL,Strong-culture-non-qualifier,https://www.federacionvenezolanadefutbol.org/,info@fvf.org.ve,Comunicaciones,es,~600 clubs,Strong-culture; Vinotinto rising; diaspora across LatAm and US,Caracas HQ,
US Soccer Federation,US,CONCACAF,Qualified,https://www.ussoccer.com/,bkatzowitz@ussoccer.org,Senior Director Media Relations,"en,es","~5,000 affiliated incl. youth",Co-host of WC26; massive marketing engine; Atlanta HQ,Use ussoccer.com/media-services/media-contacts; reach state associations separately,
Canada Soccer,CA,CONCACAF,Qualified,https://canadasoccer.com/,info@canadasoccer.com,Communications,"en,fr","~1,200 clubs via 13 provincial associations",Co-host of WC26; rapidly growing,Ottawa HQ; Paulo Senra heads media,
Federacion Mexicana de Futbol (FMF),MX,CONCACAF,Qualified,https://fmf.mx/,juegolimpio@fmf.mx,Jefe de Prensa,"es,en","~600 clubs Liga MX + ~3,000 amateur",Co-host of WC26; El Tri is enormous brand both sides of border,Toluca HQ; Press Chief Isidro Chavez; access also via Liga MX directly,
Panamanian Football Federation (FEPAFUT),PA,CONCACAF,Qualified,https://fepafut.com/,info@fepafut.com,Comunicaciones,es,~300 clubs,WC26 qualifier (back-to-back); Panama City HQ,Active social comms team,
Haitian Football Federation (FHF),HT,CONCACAF,Qualified,https://www.fhfhaiti.com/,info@fhfhaiti.com,Communications,"fr,ht",~400 clubs,WC26 qualifier (first since 1974); diaspora in Miami/Montreal/Paris,Port-au-Prince HQ,
Federation Curacaoense Voetbal Bond (FFK),CW,CONCACAF,Qualified,https://www.ffknet.cw/,info@ffknet.cw,Communications,"nl,en,pap",~30 clubs,WC26 qualifier (first time ever); historic moment - high willingness to amplify,Willemstad HQ; tiny FA so single email reaches everyone,
Federacion Costarricense de Futbol (FEDEFUTBOL),CR,CONCACAF,Strong-culture-non-qualifier,https://www.fedefutbolcrc.com/,info@fedefutbolcrc.com,Comunicaciones,es,~900 clubs,Missed WC26 but Ticos fanbase strong post-2022,San Jose HQ,
Federacion Nacional Autonoma de Futbol de Honduras (FENAFUTH),HN,CONCACAF,Strong-culture-non-qualifier,https://www.fenafuth.com/,info@fenafuth.com,Comunicaciones,es,~700 clubs,Missed WC26 but Catrachos engaged,Tegucigalpa HQ,
Jamaica Football Federation (JFF),JM,CONCACAF,Strong-culture-non-qualifier,https://jff.football/,general.secretary@jff.live,General Secretary,en,~500 clubs,Missed WC26 but Reggae Boyz brand strong; UK + US diaspora,Kingston HQ; multiple direct staff emails public,
Trinidad and Tobago Football Association (TTFA),TT,CONCACAF,Strong-culture-non-qualifier,https://thettfa.com/,frontdesk.ttfa@gmail.com ; communications.ttfa@gmail.com,Communications,en,~250 clubs,Strong-culture; Soca Warriors brand,Port of Spain HQ,
Federacion Nacional de Futbol de Guatemala (Fedefut),GT,CONCACAF,Strong-culture-non-qualifier,https://www.fedefutguate.org/,info@fedefutguate.org,Comunicaciones,es,~600 clubs,Strong-culture; Bicolor improving rapidly,Guatemala City HQ,
Royal Moroccan Football Federation (FRMF),MA,CAF,Qualified,https://www.frmf.ma/,contact@frmf.ma,Communications,"ar,fr,en","~1,300 clubs",WC26 qualifier; 2022 semi-finalist; co-hosts WC2030; Atlas Lions a continental brand,Rabat HQ; bilingual operations,
South African Football Association (SAFA),ZA,CAF,Qualified,https://www.safa.net/,info@safa.net,Communications,"en,af,zu,xh","~1,000 clubs",WC26 qualifier; Bafana Bafana 2024 AFCON bronze,Johannesburg HQ,
Tunisian Football Federation (FTF),TN,CAF,Qualified,https://ftf.org.tn/,contact@ftf.org.tn,Communications,"ar,fr","~1,000 clubs",WC26 qualifier; consistent presence; Carthage Eagles diaspora in FR/IT,Tunis HQ,
Egyptian Football Association (EFA),EG,CAF,Qualified,https://www.efa.com.eg/,info@efa.com.eg,Communications,"ar,en",~600 clubs,WC26 qualifier; Salah-led Pharaohs are MENA's biggest football brand,Cairo HQ,
Algerian Football Federation (FAF),DZ,CAF,Qualified,https://www.faf.dz/,contact@faf.dz,Communications,"ar,fr",~700 clubs,WC26 qualifier (returns after 2014); Greens have huge North African + French diaspora,Algiers HQ,
Ghana Football Association (GFA),GH,CAF,Qualified,https://www.ghanafa.org/,info@ghanafa.org,Communications,en,~700 clubs,WC26 qualifier; Black Stars; Premier League diaspora link,Accra HQ,
Federation Capverdienne de Football (FCF),CV,CAF,Qualified,https://fcf.cv/,fcf@fcf.cv,Communications,"pt,en",~80 clubs,WC26 qualifier (first time ever); historic - high willingness to amplify,Praia HQ; tiny FA; diaspora in PT/NL/US,
Federation Ivoirienne de Football (FIF),CI,CAF,Qualified,https://www.fif-ci.com/,contact@fif-ci.com,Communications,"fr,en",~400 clubs,WC26 qualifier; reigning AFCON champions; Drogba-legacy brand,Abidjan HQ,
Federation Senegalaise de Football (FSF),SN,CAF,Qualified,https://www.fsfoot.sn/,contact@fsfoot.sn,Communications,"fr,en,wo",~400 clubs,WC26 qualifier; 2022 AFCON champions; Mane-Sarr era,Dakar HQ; Senegal+France diaspora flow heavy,
Nigeria Football Federation (NFF),NG,CAF,Strong-culture-non-qualifier,https://thenff.com/,info@thenff.com,Communications,en,~700 clubs,Missed WC26 but Super Eagles fanbase enormous; Premier League pipeline,Abuja HQ,
Football Kenya Federation (FKF),KE,CAF,Strong-culture-non-qualifier,https://footballkenya.org/,info@footballkenya.org,Communications,"en,sw",~600 clubs,Strong-culture; co-host AFCON 2027; growing,Nairobi HQ,
Federation Camerounaise de Football (FECAFOOT),CM,CAF,Strong-culture-non-qualifier,https://www.fecafootonline.com/,info@fecafootonline.com,Communications,"fr,en",~500 clubs,Missed WC26 but Indomitable Lions and Eto'o-Mbappe/Onana-link still drives engagement,Yaounde HQ,
DR Congo Football Federation (FECOFA),CD,CAF,Strong-culture-non-qualifier,https://www.fecofa.cd/,info@fecofa.cd,Communications,"fr,ln",~500 clubs,Returning AFCON force; Leopards; diaspora in BE/FR,Kinshasa HQ,
Saudi Arabian Football Federation (SAFF),SA,AFC,Qualified,https://saff.com.sa/,info@saff.com.sa,Communications,"ar,en",~150 pro+ clubs,WC26 qualifier; co-hosts WC2034; Saudi Pro League cash injection means active media,Riyadh HQ,
Japan Football Association (JFA),JP,AFC,Qualified,https://www.jfa.jp/,inter_national@jfa.or.jp,International Department,"ja,en","~1,000 clubs J-League pyramid + grassroots",WC26 qualifier; Samurai Blue extremely well-organised comms,Tokyo HQ,
Football Federation Iran (FFIRI),IR,AFC,Qualified,https://the-ffiri.com/,info@ffiri.ir,Communications,"fa,en",~250 clubs,WC26 qualifier (7th appearance); diaspora in DE/UK/US,Tehran HQ; some sanctions friction for payment but messaging OK,
Uzbekistan Football Association (UFA),UZ,AFC,Qualified,https://ufa.uz/,info@ufa.uz,International Department,"uz,ru,en",~250 clubs,WC26 qualifier (first time ever); historic - high amplification value,Tashkent HQ,
Korea Football Association (KFA),KR,AFC,Qualified,https://www.kfa.or.kr/,kfainfo@kfa.or.kr,Communications,"ko,en",~700 clubs,WC26 qualifier (11th consecutive); Son-led Taeguk Warriors; K-pop adjacency,Seoul HQ,
Jordan Football Association (JFA),JO,AFC,Qualified,https://www.jfa.jo/,info@jfa.com.jo,Communications,"ar,en",~150 clubs,WC26 qualifier (first time ever); 2024 Asian Cup finalists; high engagement,Amman HQ,
Football Australia,AU,AFC,Qualified,https://www.footballaustralia.com.au/,customerservice@footballaustralia.com.au,Communications,en,"~2,000 clubs via state federations",WC26 qualifier; Socceroos & Matildas; nine member federations,Sydney HQ; previously Football Federation Australia - rebrand 2020,
Qatar Football Association (QFA),QA,AFC,Qualified,https://www.qfa.qa/,info@qfa.qa,Communications,"ar,en",~50 clubs,WC26 qualifier (first since hosting 2022); strong media engine,Doha HQ,
UAE Football Association (UAEFA),AE,AFC,Strong-culture-non-qualifier,https://www.uaefa.ae/,info@uaefa.ae,Communications,"ar,en",~200 clubs,Strong-culture; diaspora hub; Abu Dhabi HQ,Form-only published; info@ pattern is standard,
Iraq Football Association (IFA),IQ,AFC,Strong-culture-non-qualifier,https://www.iraqfa.com/,info@iraqfa.com,Communications,"ar,ku",~200 clubs,Missed WC26 by playoff; Lions of Mesopotamia rising; diaspora in EU/AU,Baghdad HQ,
Oman Football Association (OFA),OM,AFC,Strong-culture-non-qualifier,https://english.ofa.om/,info@ofa.om,Communications,"ar,en",~150 clubs,Strong-culture; Muscat HQ; form-only intake on website,Form-only on site,
Bahrain Football Association (BFA),BH,AFC,Strong-culture-non-qualifier,https://www.bahrainfootball.org/,info@bahrainfootball.org,Communications,"ar,en",~100 clubs,Strong-culture; rising team; small market means single email reaches everyone,Manama HQ,
All India Football Federation (AIFF),IN,AFC,Strong-culture-non-qualifier,https://www.the-aiff.com/,aiff@the-aiff.com,Communications,"en,hi",~750 clubs in I-League + ISL pyramid,Missed WC26 but 1.4bn population; cricket-dominant but football growing rapidly,Dwarka New Delhi HQ,
Football Association of Indonesia (PSSI),ID,AFC,Strong-culture-non-qualifier,https://www.pssi.org/,international@pssi.org,International Department,"id,en",~600 clubs,Missed WC26 by playoff; Garuda fanatic; world's largest Muslim-majority football market,Jakarta HQ,
Vietnam Football Federation (VFF),VN,AFC,Strong-culture-non-qualifier,https://vff.org.vn/,international@vff.org.vn,International Department,"vi,en",~250 clubs,Strong-culture; Golden Stars; diaspora active,Hanoi HQ,
Football Association of Thailand (FAT),TH,AFC,Strong-culture-non-qualifier,https://fathailand.org/,secretariat@fathailand.org,Secretariat,"th,en",~250 clubs,Strong-culture; War Elephants; ASEAN powerhouse,Bangkok HQ,
Philippine Football Federation (PFF),PH,AFC,Strong-culture-non-qualifier,https://pff.org.ph/,secretariat@pff.org.ph,Secretariat,"en,fil",~150 clubs,Strong-culture-rising; Azkals; large OFW diaspora,Pasig City HQ,
Football Association of Malaysia (FAM),MY,AFC,Strong-culture-non-qualifier,https://www.fam.org.my/,fam@fam.org.my,Communications,"ms,en",~150 clubs,Strong-culture; Harimau Malaya; Sukan tradition,Kuala Lumpur HQ,
Football Association of Singapore (FAS),SG,AFC,Strong-culture-non-qualifier,https://www.fas.org.sg/,info@fas.org.sg,Communications,"en,ms,zh,ta",~100 clubs,Strong-culture niche; Lions; English-first communications,Jalan Besar HQ,
Chinese Football Association (CFA),CN,AFC,Strong-culture-non-qualifier,https://www.thecfa.cn/,cfainfo@thecfa.cn,International Department,"zh,en",~500 clubs,Strong-culture (politically driven football economy); fan engagement valuable,Beijing HQ,
New Caledonian Football Federation (FCF),NC,OFC,Qualified,https://www.fcfoot.com/,fcf@fcfoot.com,Communications,fr,~50 clubs,WC26 qualifier via OFC inter-confederation playoff; historic; tiny FA,Noumea HQ; everything routes through one office,
Football Federation Fiji,FJ,OFC,Strong-culture-non-qualifier,https://fijifootball.com.fj/,info@fijifootball.com.fj,Communications,"en,fj",~80 clubs,Strong OFC #2; rugby-dominant but football growing,Suva HQ,
Football Federation Samoa,WS,OFC,Strong-culture-non-qualifier,https://footballsamoa.ws/,info@footballsamoa.ws,Communications,"sm,en",~30 clubs,Small OFC market; tight community,Apia HQ,
Solomon Islands Football Federation,SB,OFC,Strong-culture-non-qualifier,https://siff.com.sb/,siff@siff.com.sb,Communications,en,~40 clubs,OFC strong-culture; Bonitos fanbase,Honiara HQ,
Tahiti Football Federation (FTF),PF,OFC,Strong-culture-non-qualifier,https://www.ftf.pf/,ftf@ftf.pf,Communications,fr,~50 clubs,OFC; Confed Cup 2013 nostalgia; beach soccer powerhouse,Papeete HQ,
