name,tier,region,website,best_contact_email,best_contact_role,why_target,notes,phone
Atlanta United FC,pro-mens-mls,Atlanta GA,https://www.atlutd.com/,info@atlutd.com,Club Inbox,WC2026 host-city club with the largest fan-built MLS culture in the US; 70K avg attendance; Mercedes-Benz Stadium hosts 8 WC2026 matches,Owned by Arthur Blank; communications via media.relations@atlutd.com (unverified); part of AMB Sports,+1 470 341 5000
Austin FC,pro-mens-mls,Austin TX,https://www.austinfc.com/,info@austinfc.com,Club Inbox,Tech-forward fan base and strong supporters culture (Los Verdes Austin Anthem La Murga); receptive to product partnerships,Owned by Anthony Precourt + Matthew McConaughey; press@austinfc.com (unverified),+1 512 953 2299
CF Montreal,pro-mens-mls,Montreal QC (Canada-based but MLS),https://www.cfmontreal.com/,info@cfmontreal.com,Club Inbox,Quebec market with French+English bilingual angle; covered separately for Canada list but inclusion here for completeness,Owned by Joey Saputo; CRSS Stade Saputo,
Charlotte FC,pro-mens-mls,Charlotte NC,https://www.charlottefootballclub.com/,info@charlottefootballclub.com,Club Inbox,Top-3 MLS attendance and growing supporters scene at Bank of America Stadium; Carolinas market still building football culture,Owned by David Tepper; staff format {first}.{last}@charlottefootballclub.com (unverified),+1 980 224 6868
Chicago Fire FC,pro-mens-mls,Chicago IL,https://www.chicagofirefc.com/,info@chicagofirefc.com,Club Inbox,WC2026 host city via Soldier Field; large Mexican-American base in Chicago; Sector Latino supporters group,Owned by Joe Mansueto; press@chicagofirefc.com,+1 888 657 3473
FC Cincinnati,pro-mens-mls,Cincinnati OH,https://www.fccincinnati.com/,info@fccincinnati.com,Club Inbox,Strong supporters culture (Die Innenstadt Pride+Glory) and TQL Stadium 26K SRO atmosphere; outstate Ohio market without NBA,Owned by Carl Lindner III; press@fccincinnati.com (unverified),+1 513 977 5425
Colorado Rapids,pro-mens-mls,Commerce City CO,https://www.coloradorapids.com/,info@coloradorapids.com,Club Inbox,Front Range fan base with Burgundy Wave supporters and Centennial 38; Kroenke Sports portfolio gives access to wider AEG-style media,Owned by Stan Kroenke (KSE),+1 303 727 3500
Columbus Crew,pro-mens-mls,Columbus OH,https://www.columbuscrew.com/,info@columbuscrew.com,Club Inbox,Lower com supporters group is one of the loudest in MLS; back-to-back MLS Cup contenders; Lower.com Field downtown,Owned by Haslam Sports Group + Pete Edwards; press@columbuscrew.com (unverified),+1 614 447 4151
DC United,pro-mens-mls,Washington DC,https://www.dcunited.com/,info@dcunited.com,Club Inbox,Founding MLS club with Screaming Eagles + Barra Brava supporters; Audi Field in WC2026 federation HQ market,Owned by Jason Levien; press@dcunited.com (unverified),+1 202 587 5000
FC Dallas,pro-mens-mls,Frisco TX,https://www.fcdallas.com/,info@fcdallas.com,Club Inbox,WC2026 host-city club via Dallas (AT&T Stadium hosts 9 WC2026 matches inc semi-final); largest US youth academy footprint via Frisco campus,Owned by Hunt Sports Group (Lamar Hunt family); same campus as US Youth Soccer HQ,+1 214 705 6700
Houston Dynamo FC,pro-mens-mls,Houston TX,https://www.houstondynamofc.com/,info@houstondynamofc.com,Club Inbox,WC2026 host city via NRG Stadium (7 matches); Hispanic majority market; El Batallon supporters,Owned by Ted Segal; press@houstondynamofc.com (unverified),+1 713 276 7500
Inter Miami CF,pro-mens-mls,Fort Lauderdale FL,https://www.intermiamicf.com/,info@intermiamicf.com,Club Inbox,Messi+Argentina jersey crossover during WC2026 in host city; ~28M Instagram followers; the single biggest US replica-jersey story of 2026,Owned by Jorge Mas + David Beckham; press@intermiamicf.com (verified); Miami also WC2026 host via Hard Rock Stadium (7 matches),+1 305 428 2200
LA Galaxy,pro-mens-mls,Carson CA,https://www.lagalaxy.com/,info@lagalaxy.com,Club Inbox,WC2026 host-city via SoFi Stadium / Rose Bowl (LA hosts 8 matches); largest US club fan base measured cumulatively since 96,Owned by AEG; press via communications@lagalaxy.com (unverified),+1 877 342 5299
Los Angeles FC (LAFC),pro-mens-mls,Los Angeles CA,https://www.lafc.com/,info@lafc.com,Club Inbox,WC2026 host city via LA venues; 3252 supporters section + bilingual EN/ES club comms; A-list ownership,Owned by Larry Berg + Bennett Rosenthal + Magic Johnson + Will Ferrell; press@lafc.com (unverified),+1 213 519 9900
Minnesota United FC,pro-mens-mls,Saint Paul MN,https://www.mnufc.com/,info@mnufc.com,Club Inbox,Twin Cities market with Dark Clouds + True North Elite supporters; Allianz Field 19K SRO atmosphere,Owned by Bill McGuire; press@mnufc.com (unverified),+1 763 476 2237
Nashville SC,pro-mens-mls,Nashville TN,https://www.nashvillesc.com/,info@nashvillesc.com,Club Inbox,GEODIS Park largest SSS in MLS at 30K; Backline + Roadies supporters; growing music-industry crossover,Owned by John Ingram; press@nashvillesc.com (unverified),+1 615 750 8800
New England Revolution,pro-mens-mls,Foxborough MA,https://www.revolutionsoccer.net/,info@revolutionsoccer.net,Club Inbox,WC2026 host-city via Gillette Stadium (Boston hosts 7 matches inc QF); Midnight Riders + Rebellion supporters,Owned by Kraft Sports + Entertainment (same as Patriots); press@revolutionsoccer.net (unverified),+1 877 438 7387
New York City FC (NYCFC),pro-mens-mls,New York NY,https://www.nycfc.com/,info@nycfc.com,Club Inbox,WC2026 host-city via MetLife Stadium (NY/NJ hosts 8 matches inc the FINAL on July 19); largest US media market,Owned by City Football Group + Yankee Global Enterprises; press@nycfc.com (unverified),+1 855 776 9232
New York Red Bulls,pro-mens-mls,Harrison NJ,https://www.newyorkredbulls.com/,info@newyorkredbulls.com,Club Inbox,WC2026 host market (MetLife hosts the FINAL); Empire Supporters Club + Garden State Ultras + Viking Army; deep youth pyramid via Red Bulls Academy,Owned by Red Bull GmbH; press@newyorkredbulls.com (unverified),+1 877 727 6223
Orlando City SC,pro-mens-mls,Orlando FL,https://www.orlandocitysc.com/,info@orlandocitysc.com,Club Inbox,Inter&Co Stadium 25K SRO; Iron Lion Firm + Ruckus + La Familia supporters; large Brazilian + Puerto Rican fan base; Florida WC2026 corridor,Owned by Wilf Family Limited Partnership (Mark + Zygi Wilf); press@orlandocitysc.com (unverified),+1 855 675 2489
Philadelphia Union,pro-mens-mls,Chester PA,https://www.philadelphiaunion.com/,info@philadelphiaunion.com,Club Inbox,WC2026 host-city via Lincoln Financial Field (Philly hosts 6 matches); Sons of Ben supporters culture; Subaru Park SRO atmosphere,Owned by Jay Sugarman; press@philadelphiaunion.com (unverified),+1 877 218 6466
Portland Timbers,pro-mens-mls,Portland OR,https://www.timbers.com/,info@timbers.com,Club Inbox,Timbers Army the gold-standard MLS supporters group with 4K+ active members; Providence Park atmosphere national reference,Owned by Merritt Paulson (Peregrine Sports); press@timbersfc.com (unverified),+1 503 553 5400
Real Salt Lake,pro-mens-mls,Sandy UT,https://www.rsl.com/,info@rsl.com,Club Inbox,Riot + La Barra Real + Section 26 supporters; America First Field 20K; Utah's only pro soccer team,Owned by David Blitzer + Ryan Smith group; press@rsl.com (unverified),+1 866 976 2237
San Diego FC,pro-mens-mls,San Diego CA,https://www.sandiegofc.com/,info@sandiegofc.com,Club Inbox,2025 MLS expansion club with cross-border Tijuana audience and Sycuan Band of the Kumeyaay Nation co-ownership; Mexico-jersey halo during WC2026,First MLS club with Indigenous nation co-ownership; press@sandiegofc.com (unverified),+1 619 786 9700
San Jose Earthquakes,pro-mens-mls,San Jose CA,https://www.sjearthquakes.com/,info@sjearthquakes.com,Club Inbox,WC2026 host market via Levi's Stadium (Bay Area hosts 6 matches); 1906 Ultras supporters group; oldest MLS franchise lineage,Owned by John Fisher; press@sjearthquakes.com (unverified),+1 408 556 7700
Seattle Sounders FC,pro-mens-mls,Seattle WA,https://www.soundersfc.com/,info@soundersfc.com,Club Inbox,WC2026 host-city via Lumen Field (Seattle hosts 6 matches); ECS + Gorilla FC supporters; largest MLS season-ticket base historically,Owned by Adrian Hanauer + Drew Carey + others; press@soundersfc.com (unverified),+1 877 657 4625
Sporting Kansas City,pro-mens-mls,Kansas City KS,https://www.sportingkc.com/,info@sportingkc.com,Club Inbox,WC2026 host-city via Arrowhead Stadium (KC hosts 6 matches); Cauldron supporters culture; KC United Coalition fan base,Owned by Sporting Club LLC (Cliff Illig + others); press@sportingkc.com (unverified),+1 888 425 1100
St Louis City SC,pro-mens-mls,Saint Louis MO,https://www.stlcitysc.com/,info@stlcitysc.com,Club Inbox,Citypark 22K SRO; St Louligans + Bauerngrenadiere + Saint Lou Crew supporters; rabid soccer city debut 2023,Owned by Carolyn Kindle group; press@stlcitysc.com (unverified),+1 314 423 4500
Toronto FC,pro-mens-mls,Toronto ON (Canada),https://www.torontofc.ca/,info@torontofc.ca,Club Inbox,Canada-based but in MLS; covered separately for Canada list,Owned by MLSE; included for MLS completeness,
Vancouver Whitecaps FC,pro-mens-mls,Vancouver BC (Canada),https://www.whitecapsfc.com/,info@whitecapsfc.com,Club Inbox,WC2026 Canada host city via BC Place; covered separately for Canada list,Owned by Greg Kerfoot + Steve Luczo + Jeff Mallett + Steve Nash,
Angel City FC,pro-womens-nwsl,Los Angeles CA,https://www.angelcity.com/,info@angelcity.com,Club Inbox,LA-based NWSL club with Natalie Portman ownership and celebrity-driven brand; WC2026 host market overlap,Owned by Natalie Portman + Kara Nortman + Julie Uhrman; press@angelcity.com (unverified),
Bay FC,pro-womens-nwsl,San Jose CA,https://www.bayfc.com/,info@bayfc.com,Club Inbox,2024 NWSL expansion club in Bay Area; PayPal Park; WC2026 Bay Area host market,Owned by Sixth Street + Brandi Chastain + Aly Wagner + others; press@bayfc.com (unverified),
Boston Legacy FC,pro-womens-nwsl,Boston MA,https://www.bostonlegacyfc.com/,info@bostonlegacyfc.com,Club Inbox,2026 NWSL expansion club (rebrand from Boston Unity); WC2026 host market overlap via Gillette,Owned by Jennifer Epstein + others; rebranded May 2025; press@bostonlegacyfc.com (unverified),
Chicago Stars FC,pro-womens-nwsl,Bridgeview IL,https://www.chicagostars.com/,info@chicagostars.com,Club Inbox,Chicago Red Stars rebrand 2024; SeatGeek Stadium; WC2026 Chicago host market,Owned by Laura Ricketts group; press@chicagostars.com (unverified),
Houston Dash,pro-womens-nwsl,Houston TX,https://www.houstondash.com/,info@houstondash.com,Club Inbox,Shares ops with Houston Dynamo; PNC Stadium; WC2026 host market,Owned by Ted Segal; press@houstondash.com (unverified),
Kansas City Current,pro-womens-nwsl,Kansas City MO,https://www.kansascitycurrent.com/,info@kansascitycurrent.com,Club Inbox,CPKC Stadium first purpose-built womens-pro stadium globally 11K SRO; WC2026 KC host market,Owned by Angie + Chris Long + Brittany Mahomes; press@kansascitycurrent.com (unverified),
Gotham FC,pro-womens-nwsl,Harrison NJ,https://www.gothamfc.com/,info@gothamfc.com,Club Inbox,2023 NWSL Champions; Red Bull Arena; WC2026 NY/NJ host market for the Final,Owned by Tammy Murphy + Edward Naskhar + others; press@gothamfc.com (unverified),
North Carolina Courage,pro-womens-nwsl,Cary NC,https://www.northcarolinacourage.com/,info@northcarolinacourage.com,Club Inbox,WakeMed Soccer Park; deepest women's pro pyramid in US (also runs Courage Academy + NC FC men's USL),Owned by Steve Malik; press@northcarolinacourage.com (unverified),
Orlando Pride,pro-womens-nwsl,Orlando FL,https://www.orlandopride.com/,info@orlandopride.com,Club Inbox,2024 NWSL Champions; shares ops with Orlando City SC; Inter&Co Stadium; large Florida fan base,Owned by Wilf Family; press@orlandopride.com (unverified),
Portland Thorns FC,pro-womens-nwsl,Portland OR,https://www.portlandthorns.com/,info@portlandthorns.com,Club Inbox,Largest crowds in NWSL history; Providence Park; Riveters supporters group,Owned by RAJ Sports (Lisa Bhathal Merage); press@portlandthorns.com (unverified),
Racing Louisville FC,pro-womens-nwsl,Louisville KY,https://www.racinglouisville.com/,info@racinglouisville.com,Club Inbox,Lynn Family Stadium; shares ownership with Louisville City FC (USL); growing Bluegrass fan base,Owned by Soccer Holdings LLC (John Neace + Brad Estes); press@racinglouisville.com (unverified),
San Diego Wave FC,pro-womens-nwsl,San Diego CA,https://www.sandiegowavefc.com/,info@sandiegowavefc.com,Club Inbox,Snapdragon Stadium 32K record NWSL crowds; cross-border Tijuana market overlap during WC2026,Owned by Ron Burkle; press@sandiegowavefc.com (unverified),
Seattle Reign FC,pro-womens-nwsl,Seattle WA,https://www.reignfc.com/,info@reignfc.com,Club Inbox,Seattle WC2026 host market overlap; Lumen Field shared with Sounders,Owned by Carlyle Group; press@reignfc.com (unverified),
Utah Royals FC,pro-womens-nwsl,Sandy UT,https://www.utahroyals.com/,info@utahroyals.com,Club Inbox,Re-launched 2024 alongside Real Salt Lake; America First Field; LDS Mountain West market,Owned by David Blitzer + Ryan Smith group; press@utahroyals.com (unverified),
Washington Spirit,pro-womens-nwsl,Washington DC,https://www.washingtonspirit.com/,info@washingtonspirit.com,Club Inbox,Audi Field; WC2026 DC market overlap; growing brand around Trinity Rodman,Owned by Michele Kang; press@washingtonspirit.com (unverified),
Birmingham Legion FC,pro-mens-usl,Birmingham AL,https://www.bhmlegion.com/,info@bhmlegion.com,Club Inbox,Protective Stadium; Magic City Brigade supporters; Deep South market without MLS,Owned by Jay Heaps group; press@bhmlegion.com (unverified),
Charleston Battery,pro-mens-usl,Charleston SC,https://www.charlestonbattery.com/,info@charlestonbattery.com,Club Inbox,Oldest continuously operated USL club; Patriots Point Stadium; Charleston culture market,Owned by HCFC LLC; press@charlestonbattery.com (unverified),
Detroit City FC,pro-mens-usl,Detroit MI,https://www.detcityfc.com/,info@detcityfc.com,Club Inbox,Largest US lower-division supporters culture (Northern Guard); Keyworth Stadium; community-owned model,Community-owned through DCFC investor club; press@detcityfc.com (unverified),
El Paso Locomotive FC,pro-mens-usl,El Paso TX,https://www.eplocomotivefc.com/,info@eplocomotivefc.com,Club Inbox,Borderland market with majority Mexican-American fan base; Southwest University Park; Mexico-jersey halo during WC2026,Owned by MountainStar Sports Group (Paul Foster + others),
FC Tulsa,pro-mens-usl,Tulsa OK,https://www.fctulsa.com/,info@fctulsa.com,Club Inbox,ONEOK Field; Roughnecks supporters; growing Oklahoma soccer market,Owned by JW Childs group,
Hartford Athletic,pro-mens-usl,Hartford CT,https://www.hartfordathletic.com/,info@hartfordathletic.com,Club Inbox,Pratt & Whitney Stadium; Hartfordians supporters; Connecticut single pro soccer market,Owned by Bruce Mandell + others,
Indy Eleven,pro-mens-usl,Indianapolis IN,https://www.indyeleven.com/,info@indyeleven.com,Club Inbox,IUPUI Carroll Stadium; Brickyard Battalion + Slaughterhouse 19 supporters; one of the loudest USL crowds,Owned by Ersal Ozdemir,
Las Vegas Lights FC,pro-mens-usl,Las Vegas NV,https://www.lightsfc.com/,info@lightsfc.com,Club Inbox,Cashman Field; quirky brand with strong local nightlife crossover; Hispanic-majority market,Owned by Brett Lashbrook,
Loudoun United FC,pro-mens-usl,Leesburg VA,https://www.loudoununitedfc.com/,info@loudoununitedfc.com,Club Inbox,DC United-affiliated USL Championship side; Segra Field; NoVA market,Affiliated with DC United; press@loudoununitedfc.com (unverified),
Louisville City FC,pro-mens-usl,Louisville KY,https://www.loucity.com/,info@loucity.com,Club Inbox,Lynn Family Stadium; Coopers + Lavender Legion supporters; multiple USL titles; shares with Racing Louisville,Owned by Soccer Holdings LLC,
Memphis 901 FC,pro-mens-usl,Memphis TN,https://www.memphis901fc.com/,info@memphis901fc.com,Club Inbox,AutoZone Park; Bluff City Mafia + Park Ave Originals supporters,Owned by Peter Freund group,
Miami FC,pro-mens-usl,Miami FL,https://www.miamifc.com/,info@miamifc.com,Club Inbox,FIU Stadium; Latino-majority market; Miami WC2026 host city for 7 matches,Owned by Riccardo Silva,
Monterey Bay FC,pro-mens-usl,Seaside CA,https://www.montereybayfc.com/,info@montereybayfc.com,Club Inbox,Cardinale Stadium; Central Coast California pro soccer single-market team,Owned by Cardinale family,
New Mexico United,pro-mens-usl,Albuquerque NM,https://www.newmexicoutd.com/,info@newmexicoutd.com,Club Inbox,Isotopes Park; The Curse supporters group; majority-Hispanic state with Mexico-jersey halo during WC2026,Owned by Peter Trevisani; press@newmexicoutd.com (unverified),
North Carolina FC,pro-mens-usl,Cary NC,https://www.northcarolinafc.com/,info@northcarolinafc.com,Club Inbox,WakeMed Soccer Park; shares ops with NC Courage,Owned by Steve Malik,
Oakland Roots SC,pro-mens-usl,Oakland CA,https://www.oaklandrootssc.com/,info@oaklandrootssc.com,Club Inbox,Pivotal community-owned model with social-justice brand; Pioneer Stadium shared with Oakland Soul,Common ownership with Oakland Soul SC (USL Super League),
Oakland Soul SC,pro-womens-usl,Oakland CA,https://www.oaklandsoulsc.com/,info@oaklandsoulsc.com,Club Inbox,USL Super League founding club; co-located with Oakland Roots,Common ownership with Oakland Roots; press@oaklandsoulsc.com (unverified),
Orange County SC,pro-mens-usl,Irvine CA,https://www.orangecountysoccer.com/,info@orangecountysoccer.com,Club Inbox,Championship Soccer Stadium 5K; pioneer SoCal USL club,Owned by James Keston,
Phoenix Rising FC,pro-mens-usl,Phoenix AZ,https://www.phxrisingfc.com/,info@phxrisingfc.com,Club Inbox,Phoenix Rising Soccer Complex; La Furia Roja Norte supporters; Mexico-jersey halo during WC2026,Owned by Berke Bakay + others; press@phxrisingfc.com (unverified),
Pittsburgh Riverhounds SC,pro-mens-usl,Pittsburgh PA,https://www.riverhounds.com/,info@riverhounds.com,Club Inbox,Highmark Stadium; Steel Army supporters; one of the oldest USL clubs,Owned by Tuffy Shallenberger family,
Rhode Island FC,pro-mens-usl,Pawtucket RI,https://www.rhodeislandfc.com/,info@rhodeislandfc.com,Club Inbox,Centreville Bank Stadium (opened 2024); Ocean State single pro soccer side,Owned by Brett Johnson group,
Sacramento Republic FC,pro-mens-usl,Sacramento CA,https://www.sacrepublicfc.com/,info@sacrepublicfc.com,Club Inbox,Heart Health Park; Tower Bridge Battalion supporters; largest USL fan base sustained over a decade,Owned by Kevin Nagle; press@sacrepublicfc.com (unverified),
San Antonio FC,pro-mens-usl,San Antonio TX,https://www.sanantoniofc.com/,info@sanantoniofc.com,Club Inbox,Toyota Field; Crocketteers supporters; Mexico-jersey halo during WC2026 (majority-Hispanic),Owned by Spurs Sports & Entertainment,
Tampa Bay Rowdies,pro-mens-usl,Saint Petersburg FL,https://www.rowdiessoccer.com/,info@rowdiessoccer.com,Club Inbox,Al Lang Stadium on Tampa Bay waterfront; Ralph's Mob supporters; classic NASL heritage brand,Owned by Bill Edwards + St Pete TB Rays group; press@rowdiessoccer.com (unverified),
Charlotte Independence,pro-mens-usl,Matthews NC,https://www.charlotteindependence.com/,info@charlotteindependence.com,Club Inbox,USL League One side; Sportsplex at Matthews,Owned by Jim McPhilliamy,
Chattanooga FC,pro-mens-usl,Chattanooga TN,https://www.chattanoogafc.com/,info@chattanoogafc.com,Club Inbox,USL League One; Finley Stadium; Chattahooligans supporters; long-running community ownership story,Community-owned in part (CFC Foundation),
Forward Madison FC,pro-mens-usl,Madison WI,https://www.forwardmadisonfc.com/,info@forwardmadisonfc.com,Club Inbox,USL League One; Breese Stevens Field; Flock supporters; cult-favorite kits and branding,Owned by Big Top Events / Peter Wilt; press@forwardmadisonfc.com (unverified),
Greenville Triumph SC,pro-mens-usl,Greenville SC,https://www.greenvilletriumph.com/,info@greenvilletriumph.com,Club Inbox,USL League One; Legacy Early College Stadium; Upstate SC market,Owned by Joe Erwin + others,
Lexington SC,pro-mens-usl,Lexington KY,https://www.lexingtonsporting.club/,info@lexingtonsc.com,Club Inbox,USL League One; Lexington SC Stadium 7500; growing Bluegrass market,Owned by Bill Shively,
Northern Colorado Hailstorm FC,pro-mens-usl,Windsor CO,https://www.hailstormfc.com/,info@hailstormfc.com,Club Inbox,USL League One; Future Legends Complex; Northern Colorado market,Owned by Jeff Katofsky,
One Knoxville SC,pro-mens-usl,Knoxville TN,https://www.oneknoxsc.com/,info@oneknoxsc.com,Club Inbox,USL League One; Covenant Health Park; East Tennessee market,Owned by Drew McKenna,
South Georgia Tormenta FC,pro-mens-usl,Statesboro GA,https://www.tormentafc.com/,info@tormentafc.com,Club Inbox,USL League One; Erk Russell Park; SE Georgia market,Owned by Darin Van Tassell,
Spokane Velocity FC,pro-mens-usl,Spokane WA,https://www.spokanevelocityfc.com/,info@spokanevelocityfc.com,Club Inbox,USL League One; ONE Spokane Stadium 5K; Inland Northwest market,Owned by Brett Sports group,
Union Omaha,pro-mens-usl,Omaha NE,https://www.unionomaha.com/,info@unionomaha.com,Club Inbox,USL League One; Werner Park; Owlies supporters; multiple title contender,Owned by Gary Green family,
Westchester SC,pro-mens-usl,Mount Vernon NY,https://www.westchestersc.com/,info@westchestersc.com,Club Inbox,USL League One; Memorial Field; NY suburban market,Owned by Sebastien de Halleux + others,
Brooklyn FC,pro-womens-usl,Brooklyn NY,https://www.brooklynfc.com/,info@brooklynfc.com,Club Inbox,USL Super League founding club; Maimonides Park (Coney Island); NYC women's pro market,Owned by Bay FC Investments group,
Carolina Ascent FC,pro-womens-usl,Charlotte NC,https://www.carolinaascentfc.com/,info@carolinaascentfc.com,Club Inbox,USL Super League; American Legion Memorial Stadium; Carolinas women's pro entry,Owned by Charlotte Independence parent (Jim McPhilliamy),
Dallas Trinity FC,pro-womens-usl,Dallas TX,https://www.dallastrinityfc.com/,info@dallastrinityfc.com,Club Inbox,USL Super League; Cotton Bowl; WC2026 host market overlap,Owned by Brad Bonham group,
DC Power FC,pro-womens-usl,Washington DC,https://www.dcpowerfc.com/,info@dcpowerfc.com,Club Inbox,USL Super League; Audi Field; DC women's pro alternative to Washington Spirit (NWSL),Owned by Jordan Stuart group,
Fort Lauderdale United FC,pro-womens-usl,Fort Lauderdale FL,https://www.flunitedfc.com/,info@flunitedfc.com,Club Inbox,USL Super League; Beyond Bancard Field (shared with Inter Miami training complex); Florida women's market,Owned by Tommy Smith group,
Lexington SC Women,pro-womens-usl,Lexington KY,https://www.lexingtonsporting.club/,info@lexingtonsc.com,Club Inbox,USL Super League sister side to Lexington SC men's,Owned by Bill Shively,
Spokane Zephyr FC,pro-womens-usl,Spokane WA,https://www.spokanezephyrfc.com/,info@spokanezephyrfc.com,Club Inbox,USL Super League; ONE Spokane Stadium shared with Spokane Velocity,Owned by Brett Sports group,
Tampa Bay Sun FC,pro-womens-usl,Tampa FL,https://www.tampabaysunfc.com/,info@tampabaysunfc.com,Club Inbox,USL Super League inaugural champions 2025; Riverfront Stadium; FL women's pro market,Owned by Tommy Smith group,
Carolina Core FC,mls-next-pro,High Point NC,https://www.carolinacorefc.com/,info@carolinacorefc.com,Club Inbox,MLS NEXT Pro independent (no MLS parent); Truist Point; growing Triad NC market,Owned by Dan Sheats + others,
Chattanooga FC II,mls-next-pro,Chattanooga TN,https://www.chattanoogafc.com/,info@chattanoogafc.com,Club Inbox,MLS NEXT Pro independent affiliate of CFC,Linked to Chattanooga FC (USL League One),
Huntsville City FC,mls-next-pro,Huntsville AL,https://www.huntsvillecityfc.com/,info@huntsvillecityfc.com,Club Inbox,MLS NEXT Pro affiliate of Nashville SC; Joe Davis Stadium,Owned by John Ingram group,
North Texas SC,mls-next-pro,Frisco TX,https://www.northtexassoccerclub.com/,info@northtexassoccerclub.com,Club Inbox,MLS NEXT Pro affiliate of FC Dallas; shared Frisco campus,Owned by Hunt Sports Group,
Tacoma Defiance,mls-next-pro,Tacoma WA,https://www.tacomadefiance.com/,info@tacomadefiance.com,Club Inbox,MLS NEXT Pro affiliate of Seattle Sounders; Starfire Sports Complex,Owned by Sounders ownership group,
