name,tier,state,website,best_contact_email,best_contact_role,why_target,notes,phone
Federação Goiana de Futebol (FGF-GO),Federação Estadual,GO,https://www.fgf.esp.br/,(use site form),Comunicação,Owns Goianão + Divisão de Acesso; growing Centro-Oeste market,,
Federação de Futebol do Distrito Federal (FFDF),Federação Estadual,DF,https://www.ffdf.com.br/,(use site form),Comunicação,"Brasília clubs (Gama, Brasiliense, Capital, Ceilândia) all in Série D",,
Federação Mato-Grossense de Futebol (FMF-MT),Federação Estadual,MT,https://www.fmfmt.com.br/,(use site form),Comunicação,Cuiabá in Série B; 5 MT clubs in Série D,,
Federação de Futebol de Mato Grosso do Sul (FFMS),Federação Estadual,MS,https://www.ffms.com.br/,(use site form),Comunicação,Operário-MS + Ivinhema in Série D; smaller market but receptive,,
Federação Amazonense de Futebol (FAF),Federação Estadual,AM,https://www.fafamazonas.com.br/,(use form /fale-conosco),Comunicação,Manaus host city for 2014 WC; 3 AM clubs in Série D; Amazonas in Série C,,
Federação Paraense de Futebol (FPF-PA),Federação Estadual,PA,https://www.federacaopa.com.br/,(use site form),Comunicação,"Paysandu in Série C, Tuna Luso + Águia Marabá in Série D",,
Federação Maranhense de Futebol (FMF-MA),Federação Estadual,MA,https://www.fmfutebol.com.br/,(use site form),Comunicação,4 MA clubs in Série D + Maranhão in Série C,,
Federação de Futebol do Piauí (FFP),Federação Estadual,PI,https://www.ffp.org.br/,(use site form),Comunicação,4 PI clubs in Série D (Altos / Fluminense-PI / Parnahyba / Piauí),,
Federação Norte-rio-grandense de Futebol (FNF),Federação Estadual,RN,https://www.fnfrn.com.br/,(use site form),Comunicação,ABC + América-RN big in NE; América-RN also runs futsal in LNF Silver,,
Federação Paraibana de Futebol (FPF-PB),Federação Estadual,PB,https://www.fpf-pb.com.br/,(use site form),Comunicação,"Botafogo-PB in Série C + Sousa, Treze, Serra Branca in Série D",,
Federação Alagoana de Futebol (FAF-AL),Federação Estadual,AL,https://www.futeboldealagoas.net/,contato@futeboldealagoas.net,Diretoria / Comunicação,"CRB in Série B + CSA, ASA, CSE in Série D",Phone (82) 3026-0015,
Federação Sergipana de Futebol (FSF),Federação Estadual,SE,https://www.fsf.com.br/,(use site form),Comunicação,Confiança + Itabaiana in Série C + Lagarto/Sergipe in Série D,,
Federação de Futebol do Estado do Espírito Santo (FES),Federação Estadual,ES,https://www.fesfutebol.com.br/,(use site form),Comunicação,Rio Branco-ES + Real Noroeste in Série D,,
Federação de Futebol do Estado do Acre (FFAC),Federação Estadual,AC,https://www.federacaoacreana.com.br/,(use site form),Comunicação,Galvez + Humaitá + Independência in Série D,,
Federação Amapaense de Futebol (FAF-AP),Federação Estadual,AP,https://www.federacaoamapaense.com.br/,(use site form),Comunicação,Trem + Oratório in Série D,,
Federação Roraimense de Futebol (FRF),Federação Estadual,RR,https://www.federacaorr.com.br/,(use site form),Comunicação,GAS + Monte Roraima + São Raimundo-RR in Série D,,
Federação de Futebol do Estado de Rondônia (FFER),Federação Estadual,RO,https://www.fferondonia.com.br/,(use site form),Comunicação,Gazin Porto Velho + Guaporé in Série D,,
Federação Tocantinense de Futebol (FTF),Federação Estadual,TO,https://www.ftfutebol.com.br/,(use site form),Comunicação,Araguaína + Tocantinópolis in Série D,,
Confederação Brasileira de Desporto Universitário (CBDU),Universidade,DF,https://www.cbdu.org.br/,(use form on cbdu.org.br),Diretoria de Comunicação,Governs all 27 state university federations + JUBs Football; one yes unlocks national university comp,~80K student athletes in events,
Liga Nacional de Futsal (LNF),Futsal,SP,https://lnfoficial.com.br/,(use form on lnfoficial.com.br),Marketing / Comunicação,National top-flight futsal — 16 clubs Elite + 16 Silver; huge youth + women's audience,,
América Mineiro,Série B,MG,https://www.americamineiro.com.br/,(form on site),Diretoria de Marketing,Big traditional club temporarily in Série B; strong BH fan base,,
Athletic,Série B,MG,https://www.athleticclub.com.br/,(form on site),Diretoria de Marketing,Rising club from São João del-Rei; under-served by major sponsors,,
Atlético Goianiense,Série B,GO,https://www.atleticogoianiense.com.br/,(form on site),Diretoria de Marketing,Recently relegated from Série A; engaged fan base,,
Avaí,Série B,SC,https://www.avai.com.br/,(form on site),Diretoria de Marketing,Florianópolis tradition; strong digital presence,,
Botafogo-SP,Série B,SP,https://www.botafogosp.com.br/,(form on site),Diretoria de Marketing,Ribeirão Preto regional pull; tier-2 with appetite for engagement,,
Ceará,Série B,CE,https://www.cearasc.com/,(form on site),Diretoria de Marketing,One of NE's biggest clubs; huge Portuguese-language social,,
CRB,Série B,AL,https://www.crb-al.com.br/,(form on site),Diretoria de Marketing,Maceió's main club; engaged torcida,,
Criciúma,Série B,SC,https://www.criciumaec.com.br/,(form on site),Diretoria de Marketing,Mid-market traditional; receptive to free tools,,
Cuiabá,Série B,MT,https://www.cuiabaec.com.br/,(form on site),Diretoria de Marketing,Newest Série B with regional growth ambitions,,
Fortaleza,Série B,CE,https://www.fortalezaec.com.br/,(form on site),Diretoria de Marketing,One of NE's biggest brands; modern marketing dept,,
Goiás,Série B,GO,https://www.goiasec.com.br/,(form on site),Diretoria de Marketing,Traditional club; strong CO fan base,,
Juventude,Série B,RS,https://www.ecjuventude.com.br/,(form on site),Diretoria de Marketing,Caxias do Sul; underdog with engaged community,,
Londrina,Série B,PR,https://www.londrinaec.com.br/,(form on site),Diretoria de Marketing,Norte PR; smaller mkt budget = better fit for free tools,,
Náutico,Série B,PE,https://www.nauticope.com.br/,(form on site),Diretoria de Marketing,Recife traditional; deep torcida,,
Novorizontino,Série B,SP,https://www.novorizontino.com.br/,(form on site),Diretoria de Marketing,Interior SP rising club,,
Operário-PR,Série B,PR,https://www.operariopr.com.br/,(form on site),Diretoria de Marketing,Ponta Grossa; modest budget,,
Ponte Preta,Série B,SP,https://www.pontepreta.com.br/,(form on site),Diretoria de Marketing,"Campinas tradition; ""Macaca"" torcida very engaged",,
São Bernardo,Série B,SP,https://www.saobernardofc.com.br/,(form on site),Diretoria de Marketing,Greater São Paulo; growing,,
Sport,Série B,PE,https://www.sportrecife.com.br/,(form on site),Diretoria de Marketing,Recife's biggest; deep tradition,,
Vila Nova,Série B,GO,https://www.vilanovafc.com.br/,(form on site),Diretoria de Marketing,Goiânia tradition; active SocComm,,
Amazonas,Série C,AM,https://www.amazonasfc.com/,(form on site),Comunicação,Manaus regional pull; strong fit for Portuguese-first tool,,
Anápolis,Série C,GO,https://www.anapolisfc.com.br/,(form on site),Comunicação,GO interior; modest infra,,
Barra-SC,Série C,SC,https://www.barrafc.com.br/,(form on site),Comunicação,Recently promoted to Série C; hungry,,
Botafogo-PB,Série C,PB,https://www.botafogopb.com.br/,(form on site),Comunicação,João Pessoa; engaged fan base,,
Brusque,Série C,SC,https://www.brusqueec.com.br/,(form on site),Comunicação,SC interior tradition,,
Caxias,Série C,RS,https://www.caxias.com.br/,(form on site),Comunicação,Serra gaúcha; passionate torcida,,
Confiança,Série C,SE,https://www.confianca-se.com.br/,(form on site),Comunicação,Aracaju's main club,,
Ferroviária,Série C,SP,https://www.ferroviaria.com.br/,(form on site),Comunicação,Araraquara; AFE traditional,,
Figueirense,Série C,SC,https://www.figueirense.com.br/,(form on site),Comunicação,Florianópolis tradition; deep crisis = open to free tools,,
Floresta,Série C,CE,https://www.florestaec.com.br/,(form on site),Comunicação,Fortaleza alternative; growing,,
Guarani,Série C,SP,https://www.guaranifc.com.br/,(form on site),Comunicação,"Campinas tradition; engaged ""Bugre"" torcida",,
Inter de Limeira,Série C,SP,https://www.interlimeira.com.br/,(form on site),Comunicação,Interior SP; traditional,,
Itabaiana,Série C,SE,https://www.itabaianasc.com.br/,(form on site),Comunicação,SE interior; strong loyalty,,
Ituano,Série C,SP,https://www.ituano.com.br/,(form on site),Comunicação,Itu; SP interior tradition,,
Maranhão,Série C,MA,https://www.maranhaoec.com.br/,(form on site),Comunicação,São Luís; main MA club,,
Maringá,Série C,PR,https://www.maringafc.com/,(form on site),Comunicação,Norte PR; growing brand,,
Paysandu,Série C,PA,https://www.paysandu.com.br/,(form on site),Comunicação,Belém; one of NE/N's biggest fan bases,,
Santa Cruz,Série C,PE,https://www.santacruzpe.com.br/,(form on site),Comunicação,"Recife; huge ""Cobra Coral"" torcida",,
Volta Redonda,Série C,RJ,https://www.voltaredondafc.com.br/,(form on site),Comunicação,RJ interior; growing,,
Ypiranga de Erechim,Série C,RS,https://www.ypirangafc.com.br/,(form on site),Comunicação,RS interior; modest budget,,
ABC,Série D,RN,https://www.abcfc.com.br/,(form on site),Comunicação,Natal's biggest tradition; engaged torcida,,
ABECAT,Série D,GO,(search),(use Instagram DM),Comunicação,Smaller GO club; very receptive to free tools,,
Água Santa,Série D,SP,https://www.aguasantafutebol.com.br/,(form on site),Comunicação,Diadema; recent Paulistão semi-finalist,,
Águia de Marabá,Série D,PA,(search),(use Instagram DM),Comunicação,PA interior; engaged community,,
Altos,Série D,PI,https://www.altosec.com.br/,(form on site),Comunicação,Main PI side; deep tradition,,
America (RJ),Série D,RJ,https://www.americarj.net/,(form on site),Comunicação,"Rio de Janeiro tradition; ""Diabo"" torcida",,
América de Natal,Série D,RN,https://www.americafc.com.br/,(form on site),Comunicação,Natal rival of ABC; also in LNF Silver futsal,,
Aparecidense,Série D,GO,(search),(use Instagram DM),Comunicação,GO metro; growing brand,,
Araguaína,Série D,TO,(search),(use Instagram DM),Comunicação,Northern TO; modest budget,,
ASA,Série D,AL,https://www.asaarapiraca.com.br/,(form on site),Comunicação,Arapiraca; AL interior,,
Atlético Cearense,Série D,CE,https://www.atleticoce.com.br/,(form on site),Comunicação,Fortaleza alternative; receptive,,
Atlético de Alagoinhas,Série D,BA,(search),(use Instagram DM),Comunicação,Bahia interior; engaged community,,
Azuriz,Série D,PR,https://www.azurizfc.com.br/,(form on site),Comunicação,Pato Branco; rising club,,
Betim Futebol,Série D,MG,(search),(use Instagram DM),Comunicação,MG metro; small budget,,
Brasil de Pelotas,Série D,RS,https://www.gebrasil.com.br/,(form on site),Comunicação,RS tradition; deep torcida,,
Brasiliense,Série D,DF,https://www.brasiliensefc.com.br/,(form on site),Comunicação,Brasília tradition; engaged,,
Blumenau,Série D,SC,(search),(use Instagram DM),Comunicação,SC interior; new in Série D,,
Capital-DF,Série D,DF,(search),(use Instagram DM),Comunicação,Brasília; growing,,
Ceilândia,Série D,DF,https://www.ceilandiaec.com.br/,(form on site),Comunicação,DF satellite city; loyal torcida,,
Central,Série D,PE,https://www.centralsportclube.com.br/,(form on site),Comunicação,"Caruaru; ""Patativa"" tradition",,
Cianorte,Série D,PR,https://www.cianortefc.com.br/,(form on site),Comunicação,PR interior,,
CRAC,Série D,GO,(search),(use Instagram DM),Comunicação,Catalão GO; modest,,
CSA,Série D,AL,https://www.csa.com.br/,(form on site),Comunicação,Maceió; one of AL's biggest brands,,
CSE,Série D,AL,(search),(use Instagram DM),Comunicação,Palmeira dos Índios; AL interior,,
Decisão Goiana,Série D,PE,(search),(use Instagram DM),Comunicação,Decisão club; small budget,,
Democrata GV,Série D,MG,(search),(use Instagram DM),Comunicação,Governador Valadares MG,,
FC Cascavel,Série D,PR,https://www.fccascavel.com.br/,(form on site),Comunicação,Oeste PR; growing,,
Ferroviário,Série D,CE,https://www.ferroviariofc.com.br/,(form on site),Comunicação,"Fortaleza tradition; deep ""Tubarão da Barra""",,
Fluminense-PI,Série D,PI,(search),(use Instagram DM),Comunicação,Teresina; small budget,,
Galvez,Série D,AC,(search),(use Instagram DM),Comunicação,Rio Branco AC; small budget perfect for free tool,,
Gama,Série D,DF,https://www.gamaec.com.br/,(form on site),Comunicação,"Brasília tradition; ""Periquito"" torcida",,
GAS,Série D,RR,(search),(use Instagram DM),Comunicação,Boa Vista; small market,,
Gazin Porto Velho,Série D,RO,(search),(use Instagram DM),Comunicação,Porto Velho; small budget,,
Goiatuba,Série D,GO,(search),(use Instagram DM),Comunicação,GO interior,,
Guaporé,Série D,RO,(search),(use Instagram DM),Comunicação,RO interior; very small market,,
Guarany de Bagé,Série D,RS,https://www.guaranybage.com.br/,(form on site),Comunicação,RS Campanha tradition,,
Humaitá,Série D,AC,(search),(use Instagram DM),Comunicação,AC small market,,
IAPE,Série D,MA,(search),(use Instagram DM),Comunicação,São Luís MA,,
Iguatu,Série D,CE,(search),(use Instagram DM),Comunicação,CE interior; growing,,
Imperatriz,Série D,MA,(search),(use Instagram DM),Comunicação,Maranhão interior; engaged,,
Independência,Série D,AC,(search),(use Instagram DM),Comunicação,AC interior; small budget,,
Inhumas,Série D,GO,(search),(use Instagram DM),Comunicação,GO interior,,
Ivinhema,Série D,MS,(search),(use Instagram DM),Comunicação,MS interior,,
Jacuipense,Série D,BA,(search),(use Instagram DM),Comunicação,Riachão do Jacuípe BA,,
Joinville,Série D,SC,https://www.joinvilleec.com.br/,(form on site),Comunicação,SC tradition with Libertadores history,,
Juazeirense,Série D,BA,(search),(use Instagram DM),Comunicação,Juazeiro BA; deep loyalty,,
Lagarto,Série D,SE,(search),(use Instagram DM),Comunicação,SE interior,,
Laguna,Série D,RN,(search),(use Instagram DM),Comunicação,RN interior; small,,
Luverdense,Série D,MT,(search),(use Instagram DM),Comunicação,Lucas do Rio Verde MT,,
Madureira,Série D,RJ,https://www.madureiraesporteclube.com.br/,(form on site),Comunicação,"Rio tradition; ""Tricolor Suburbano""",,
Maguary,Série D,PE,(search),(use Instagram DM),Comunicação,PE interior,,
Manauara,Série D,AM,(search),(use Instagram DM),Comunicação,Manaus; growing brand,,
Manaus,Série D,AM,https://www.manausfc.com.br/,(form on site),Comunicação,Manaus tradition,,
Maracanã,Série D,CE,(search),(use Instagram DM),Comunicação,CE small club,,
Marcílio Dias,Série D,SC,(search),(use Instagram DM),Comunicação,Itajaí SC; deep loyalty,,
Maricá,Série D,RJ,(search),(use Instagram DM),Comunicação,RJ Lagos region; recent ascent,,
Mixto,Série D,MT,(search),(use Instagram DM),Comunicação,Cuiabá tradition,,
Monte Roraima,Série D,RR,(search),(use Instagram DM),Comunicação,Boa Vista; small,,
Moto Club,Série D,MA,(search),(use Instagram DM),Comunicação,São Luís MA tradition,,
Nacional-AM,Série D,AM,(search),(use Instagram DM),Comunicação,Manaus alternative,,
Noroeste,Série D,SP,https://www.noroestesp.com.br/,(form on site),Comunicação,Bauru tradition,,
Nova Iguaçu,Série D,RJ,(search),(use Instagram DM),Comunicação,RJ Baixada; recent Carioca runner-up,,
Operário-MS,Série D,MS,(search),(use Instagram DM),Comunicação,Campo Grande MS,,
Operário VG,Série D,MT,(search),(use Instagram DM),Comunicação,Várzea Grande MT,,
Oratório,Série D,AP,(search),(use Instagram DM),Comunicação,AP small market,,
Parnahyba,Série D,PI,(search),(use Instagram DM),Comunicação,Parnaíba PI,,
Piauí,Série D,PI,(search),(use Instagram DM),Comunicação,Teresina alternative,,
Porto-BA,Série D,BA,(search),(use Instagram DM),Comunicação,Porto Seguro BA,,
Portuguesa,Série D,SP,https://www.portuguesa.com.br/,(form on site),Comunicação,"SP tradition; ""Lusa"" diaspora pull",,
Portuguesa-RJ,Série D,RJ,https://www.portuguesa-rj.com.br/,(form on site),Comunicação,Ilha do Governador RJ,,
Pouso Alegre,Série D,MG,(search),(use Instagram DM),Comunicação,Sul MG; growing,,
Primavera,Série D,MT,(search),(use Instagram DM),Comunicação,MT interior,,
Real Noroeste,Série D,ES,(search),(use Instagram DM),Comunicação,ES interior,,
Retrô,Série D,PE,https://www.retrofc.com.br/,(form on site),Comunicação,Camaragibe PE; modern marketing,,
Rio Branco-ES,Série D,ES,(search),(use Instagram DM),Comunicação,Vitória ES tradition,,
Sampaio Corrêa,Série D,MA,https://www.sampaiocorrea.com.br/,(form on site),Comunicação,"São Luís MA tradition; ""Bolívia Querida""",,
Sampaio Corrêa-RJ,Série D,RJ,(search),(use Instagram DM),Comunicação,Rio recent emergence,,
Santa Catarina,Série D,SC,(search),(use Instagram DM),Comunicação,SC interior; rising,,
São José-RS,Série D,RS,(search),(use Instagram DM),Comunicação,Porto Alegre alternative,,
São Joseense,Série D,PR,(search),(use Instagram DM),Comunicação,São José dos Pinhais PR,,
São Luiz,Série D,RS,(search),(use Instagram DM),Comunicação,Ijuí RS,,
São Raimundo-RR,Série D,RR,(search),(use Instagram DM),Comunicação,Boa Vista RR,,
Sergipe,Série D,SE,(search),(use Instagram DM),Comunicação,Aracaju tradition,,
Serra Branca,Série D,PB,(search),(use Instagram DM),Comunicação,PB interior,,
Sousa,Série D,PB,(search),(use Instagram DM),Comunicação,Sousa PB,,
Tirol,Série D,CE,(search),(use Instagram DM),Comunicação,CE small market,,
Trem,Série D,AP,(search),(use Instagram DM),Comunicação,Macapá AP tradition,,
Tocantinópolis,Série D,TO,(search),(use Instagram DM),Comunicação,TO tradition,,
Tombense,Série D,MG,https://www.tombense.com.br/,(form on site),Comunicação,Tombos MG; modern football project,,
Treze,Série D,PB,https://www.trezefc.com.br/,(form on site),Comunicação,Campina Grande PB tradition,,
Tuna Luso,Série D,PA,(search),(use Instagram DM),Comunicação,Belém tradition,,
Uberlândia,Série D,MG,(search),(use Instagram DM),Comunicação,Triângulo Mineiro tradition,,
União-MT,Série D,MT,(search),(use Instagram DM),Comunicação,Rondonópolis MT,,
Velo Clube,Série D,SP,https://www.veloclube.com.br/,(form on site),Comunicação,Rio Claro SP; oldest active SP club,,
XV de Piracicaba,Série D,SP,https://www.xvdepiracicaba.com.br/,(form on site),Comunicação,"Piracicaba tradition; ""Nhô Quim""",,
Água Santa (Paulista A2),Estadual SP,SP,https://www.aguasantafutebol.com.br/,(form on site),Comunicação,Diadema; also in Série D,Listed twice as appears in both tiers,
Ferroviária (Paulista A2),Estadual SP,SP,https://www.ferroviaria.com.br/,(form on site),Comunicação,Araraquara,Listed twice as also in Série C,
Grêmio Prudente,Estadual SP,SP,(search),(use Instagram DM),Comunicação,Pres Prudente SP A2,,
Inter de Limeira (Paulista A2),Estadual SP,SP,https://www.interlimeira.com.br/,(form on site),Comunicação,A2 also Série C,,
Ituano (Paulista A2),Estadual SP,SP,https://www.ituano.com.br/,(form on site),Comunicação,A2 also Série C,,
Juventus-SP,Estadual SP,SP,https://www.cajuventus.com.br/,(form on site),Comunicação,Mooca SP; Italian diaspora,,
Linense,Estadual SP,SP,(search),(use Instagram DM),Comunicação,Lins SP A2,,
Monte Azul,Estadual SP,SP,(search),(use Instagram DM),Comunicação,SP interior A2,,
Osasco Sporting,Estadual SP,SP,(search),(use Instagram DM),Comunicação,Osasco metro,,
Santo André,Estadual SP,SP,https://www.ecsantoandre.com.br/,(form on site),Comunicação,ABC paulista,,
São Bento,Estadual SP,SP,https://www.eesaobento.com.br/,(form on site),Comunicação,Sorocaba,,
São José-SP,Estadual SP,SP,https://www.saojoseesporteclube.com.br/,(form on site),Comunicação,São José dos Campos,,
Sertãozinho,Estadual SP,SP,(search),(use Instagram DM),Comunicação,SP interior A2,,
Taubaté,Estadual SP,SP,https://www.etcfutebol.com.br/,(form on site),Comunicação,Taubaté SP tradition,,
Votuporanguense,Estadual SP,SP,(search),(use Instagram DM),Comunicação,SP interior A2,,
São Gonçalo,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,Carioca A2; greater Rio,,
Araruama,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,RJ Lagos A2,,
Olaria,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,Rio tradition A2,,
Resende,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,RJ interior A2,,
Cabofriense,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,Cabo Frio RJ A2,,
Pérolas Negras,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,Rio das Ostras RJ A2,,
Americano,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,Campos dos Goytacazes RJ A2,,
Audax Rio,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,RJ Baixada A2,,
Bonsucesso,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,Rio tradition A2,,
Serrano,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,Petrópolis RJ A2,,
São Cristóvão,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,Carioca B1; Ronaldo's first club,,
Duque de Caxias,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,Carioca B1; Baixada,,
Goytacaz,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,Campos RJ B1,,
Macaé Esporte,Estadual RJ,RJ,(search),(use Instagram DM),Comunicação,Macaé RJ B1,,
Boa Esporte,Estadual MG,MG,(search),(use Instagram DM),Comunicação,Varginha MG Módulo II,,
Caldense,Estadual MG,MG,(search),(use Instagram DM),Comunicação,Poços de Caldas MG Módulo II,,
Guarani (MG),Estadual MG,MG,(search),(use Instagram DM),Comunicação,Divinópolis MG Módulo II,,
Mamoré,Estadual MG,MG,(search),(use Instagram DM),Comunicação,Patos de Minas Módulo II,,
Patrocinense,Estadual MG,MG,(search),(use Instagram DM),Comunicação,Patrocínio MG Módulo II,,
Uberaba,Estadual MG,MG,(search),(use Instagram DM),Comunicação,Uberaba MG Módulo II tradition,,
Aymorés,Estadual MG,MG,(search),(use Instagram DM),Comunicação,Ubá MG Módulo II,,
Coimbra,Estadual MG,MG,(search),(use Instagram DM),Comunicação,Contagem MG Módulo II,,
Democrata de Sete Lagoas,Estadual MG,MG,(search),(use Instagram DM),Comunicação,Sete Lagoas MG Módulo II,,
Ipatinga,Estadual MG,MG,(search),(use Instagram DM),Comunicação,Ipatinga MG Módulo II tradition,,
Villa Nova,Estadual MG,MG,(search),(use Instagram DM),Comunicação,Nova Lima MG Módulo II tradition,,
Glória,Estadual RS,RS,(search),(use Instagram DM),Comunicação,RS Divisão de Acesso,,
União Frederiquense,Estadual RS,RS,(search),(use Instagram DM),Comunicação,RS Divisão de Acesso,,
Bagé,Estadual RS,RS,(search),(use Instagram DM),Comunicação,Bagé RS Divisão de Acesso,,
Pelotas,Estadual RS,RS,https://www.ecpelotas.com.br/,(form on site),Comunicação,Pelotas RS Divisão de Acesso; tradition,,
Aimoré,Estadual RS,RS,(search),(use Instagram DM),Comunicação,São Leopoldo Divisão de Acesso,,
Esportivo,Estadual RS,RS,(search),(use Instagram DM),Comunicação,Bento Gonçalves Divisão de Acesso,,
Gramadense,Estadual RS,RS,(search),(use Instagram DM),Comunicação,Gramado Divisão de Acesso,,
Lajeadense,Estadual RS,RS,(search),(use Instagram DM),Comunicação,Lajeado Divisão de Acesso,,
Passo Fundo,Estadual RS,RS,(search),(use Instagram DM),Comunicação,Passo Fundo Divisão de Acesso,,
Santa Cruz (RS),Estadual RS,RS,(search),(use Instagram DM),Comunicação,Santa Cruz do Sul RS Divisão de Acesso,,
Paraná Clube,Estadual PR,PR,https://www.paranaclube.com.br/,(form on site),Comunicação,Curitiba traditional now Segunda Div,,
Batel,Estadual PR,PR,(search),(use Instagram DM),Comunicação,Guarapuava PR Segunda Div,,
Nacional (PR),Estadual PR,PR,(search),(use Instagram DM),Comunicação,Rolândia PR Segunda Div,,
Paranavaí,Estadual PR,PR,(search),(use Instagram DM),Comunicação,Paranavaí PR Segunda Div,,
Patriotas,Estadual PR,PR,(search),(use Instagram DM),Comunicação,PR Segunda Div,,
Prudentópolis,Estadual PR,PR,(search),(use Instagram DM),Comunicação,Prudentópolis PR Segunda Div,,
Rio Branco (PR),Estadual PR,PR,(search),(use Instagram DM),Comunicação,Paranaguá PR Segunda Div tradition,,
Toledo,Estadual PR,PR,(search),(use Instagram DM),Comunicação,Toledo PR Segunda Div,,
Araucária,Estadual PR,PR,(search),(use Instagram DM),Comunicação,Araucária PR Segunda Div,,
Laranja Mecânica,Estadual PR,PR,(search),(use Instagram DM),Comunicação,PR Segunda Div,,
Leônico,Estadual BA,BA,(search),(use Instagram DM),Comunicação,Baianão Série B,,
Barreiras,Estadual BA,BA,(search),(use Instagram DM),Comunicação,Barreiras BA Série B,,
Camaçari,Estadual BA,BA,(search),(use Instagram DM),Comunicação,Camaçari BA Série B,,
Vitória da Conquista,Estadual BA,BA,(search),(use Instagram DM),Comunicação,Vitória da Conquista Série B,,
Feira FC,Estadual BA,BA,(search),(use Instagram DM),Comunicação,Feira de Santana BA Série B,,
Fluminense de Feira,Estadual BA,BA,(search),(use Instagram DM),Comunicação,Feira de Santana BA Série B tradition,,
Grapiúna,Estadual BA,BA,(search),(use Instagram DM),Comunicação,Itabuna BA Série B,,
Jacobina,Estadual BA,BA,(search),(use Instagram DM),Comunicação,Jacobina BA Série B,,
Redenção,Estadual BA,BA,(search),(use Instagram DM),Comunicação,BA Série B,,
SSA FC,Estadual BA,BA,(search),(use Instagram DM),Comunicação,Salvador BA Série B,,
Águia (PE),Estadual PE,PE,(search),(use Instagram DM),Comunicação,Belém de São Francisco PE A2,,
América (PE),Estadual PE,PE,(search),(use Instagram DM),Comunicação,Recife A2,,
Belo Jardim,Estadual PE,PE,(search),(use Instagram DM),Comunicação,Belo Jardim PE A2,,
Caruaru City,Estadual PE,PE,(search),(use Instagram DM),Comunicação,Caruaru PE A2,,
Centro Limoeirense,Estadual PE,PE,(search),(use Instagram DM),Comunicação,Limoeiro PE A2,,
Ipojuca,Estadual PE,PE,(search),(use Instagram DM),Comunicação,Ipojuca PE A2,,
Porto (PE),Estadual PE,PE,(search),(use Instagram DM),Comunicação,Caruaru PE A2 tradition,,
