name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes
Inter Football,specialist,online + Auckland,1,https://interfootball.co.nz/,via contact form,Owner-operator,"Online-first NZ football specialist supplying Nike + Puma jerseys, boots, futsal balls, goalkeeper gloves, referee gear; powers 100+ NZ club shops with dedicated portals","Site password-gated on the live commerce flow; club-shop infrastructure makes them naturally aligned with a tournament prediction layer."
Soccer Direct NZ,specialist,online + Auckland,1,https://www.soccerdirect.co.nz/,via contact form,Owner-operator,"Online football equipment retailer; Nike/adidas teamwear, EPL and European club merch, club quotes available; small but football-only","Phone 0274 420 685. Listed contact is mobile-first so likely owner-operator scale. Site shows EPL/European focus so WC2026 fit obvious."
Soccer Scene Ltd,specialist,"online (former Point Chevalier Auckland store closed)",0 (online only),https://www.soccerscene.co.nz/,via contact form,Owner-operator,"NZ specialty soccer store since 1998; adidas/Nike/Puma/Lotto/Mizuno boots, replica jerseys, goalie gear, teamwear","Point Chev store closed; ships nationally. FB facebook.com/soccersceneltd. Small operation - may be receptive to a free promo angle."
Football HQ,specialist,East Tāmaki Auckland + B2B,1,https://www.footballhq.co.nz/,via contact form on /pages/contact,Owner-operator / Sales Manager,"Exclusive Adidas teamwear distributor for the Oceania football region; supplies clubs, schools and corporate teams across NZ; runs the Adidas football wholesale channel","Phone (09) 265 0066. 49A Sir William Avenue, East Tāmaki, Auckland 2013. Distributor scale - one yes here unlocks adidas-licensed club channels nationwide."
The Boot Perspective,specialist,online (NZ-wide),0 (online only),https://thebootperspective.com/en-us,via contact form on /en-us/pages/contact-us,Owner-operator,"NZ-focused football boot specialist; pre-launching the Nike Mercurial Superfly 11 World Cup pack June 2026; explicitly WC2026-themed inventory drops",Promo TikTok / IG @thebootperspectivenz. Pre-order model means they care about hype - prediction pool overlay fits.
RYOS,independent,"Wellington (Lambton Quay) + Lower Hutt (Queensgate)",2,https://ryos.co.nz/,via contact form,Director (NZ-owned est. 1993),"100% NZ-owned official teamwear since 1993; stocks adidas/UA/NB plus Phoenix gear; high-traffic Wellington CBD + Queensgate locations","Phone Lower Hutt (04) 566 1891, CBD (04) 494 0099. Smaller fleet but Lambton Quay store sits opposite government district - huge foot traffic during WC2026."
Lifestyle Sports,independent,Tawa (greater Wellington) outlet,1,https://lifestylesports.co.nz/,via contact form on /pages/contact-us,Owner-operator,"Wellington-area licensed sportswear outlet; carries 20+ brands incl. adidas/Puma/Reebok/UA/Mizuno; specialises in licensed and hard-to-find items","Located Outlet City Tawa. Owner-operator scale. Outlet positioning means margin-friendly partnerships could appeal."
Kilbirnie Sports,independent,Wellington (Kilbirnie),1,https://www.kilbirniesports.co.nz/,via contact form on /pages/contact-us,Owner-operator,"Wellington specialist sports store; carries football alongside cricket/basketball/rugby/netball; deep local foothold east of the CBD","Phone +64 4 387 2828 (per FB). Cricket-led but football is in the catalogue."
Otago Sports Depot,independent,Dunedin,1,https://otagosportsdepot.co.nz/,via contact form on /pages/contact-us,Owner-operator,"One of NZ's longest-running sports stores (120+ years); 177 George Street Dunedin; broad football and apparel inventory","Phone 03 477 5837. 177 George St Dunedin. Critical Otago/Southland anchor."
Sports Safari,independent,Hamilton (Whitiora),1,https://www.sportssafari.co.nz/,shop@sportssafari.co.nz,Owner-operator,"Hamilton CBD sports retailer; primarily NRL/rugby league/Super Rugby focused but stocks footy boots and supporter gear; broad Pacific Islands jersey range (Tonga, Samoa, Cook Islands, Fiji)","Phone 07 849 5700. 3 Ulster Street, Whitiora, Hamilton 3200. Pacific jersey angle = strong overlap with Pacific-diaspora WC interest."
Sports First,independent,Auckland (Mt Roskill),1,https://www.sports-first.co.nz/,info@sports-first.co.nz,Owner-operator,"Hockey + cricket specialist Auckland; secondary football product range; small footprint but high spend-per-customer school/club channel","Phone (09) 620 0357. 954 Dominion Rd, Mt Roskill, Auckland 1041. Christchurch outpost (Evolve) phone 022 074 8005."
Sports Distributors,distributor,Mt Maunganui HQ + national online,1 + national delivery,https://www.sportsdistributors.co.nz/,SALES@SPORTSDISTRIBUTORS.CO.NZ,Sales Director,"NZ's largest Kiwi-owned commercial sporting goods supplier; home of Avaro brand; supplies schools and clubs with football kit, Molten balls, Nike/adidas teamwear",Phone 0800 656 735. 122 Aerodrome Road Mt Maunganui Tauranga 3116. School/club channel = unlocks downstream club partnerships.
Dynasty Sport,distributor / manufacturer,Auckland HQ + national + AU,1 + national delivery,https://www.dynastysport.co.nz/,online@dynastysport.co.nz,Director (NZ-owned),"NZ-owned sports apparel manufacturer; supplies Wellington Phoenix official kit + Warriors + Moana Pasifika; Ecotek recycled-bottle fabric story","Phone +64 9 415 1888. Strong relationship into Wellington Phoenix supporter base - perfect WC2026 lead-in."
Paladin Sports NZ,distributor / manufacturer,"national (manufactures from NZ for NPC Rugby, ANZ Premiership netball, schools)",1 + national delivery,https://nz.paladin.sport/,via contact form on /pages/contact,Director / Sales Manager,"Industry-leading teamwear supplier to NZ community sport; supplies Wellington Phoenix range too; entrenched in club/school channel","Strong club partnerships - they can route a WC2026 prediction tool to dozens of clubs simultaneously through their existing teamwear customer base."
Allsports Distribution Ltd,distributor,Taupo HQ + national,1 + national delivery,https://allsports.co.nz/,info@allsports.co.nz,Owner-operator,"NZ-owned 25+ year sports distributor; supplies retailers and clubs across NZ/AU; broad inventory across most codes","Phone +64 7 377 1033. 12 Titan Way Rotokawa, Taupo 3378. PO Box 1307, Taupo. Wholesale-only scale."
Cambridge Sportsworld,independent,Cambridge (Waikato),1,https://sportsworld.co.nz/,via contact form on sportsworld.co.nz/contact-us/,"Blake Olsen (Director) and Jay Marshall (Store Owner)","Independent Waikato sports retailer; family-feel community store on main street; ideal for a small-town Cambridge prediction pool tie-in",Phone 07 827 6455. 50 Victoria Street Leamington Cambridge 3434. Listed director Blake Ian James Olsen; store owner Jay Marshall (per ZoomInfo).
Matamata Sportsworld,independent,Matamata (Waikato),1,https://matamatasportsworld.co.nz/,via contact form on matamatasportsworld.co.nz,Owner-operator,"Independent Waikato sports retailer; tag-line 'the people you know who know your sport'; small-town community store",Phone 07 888 8515. Independent operator under the Sportsworld banner.
Sportsworld Levin,independent,Levin (Manawatū),1,https://www.facebook.com/sportsworldlvn/,via Facebook page DM,Owner-operator,Independent Manawatū sports + hunting/fishing retailer; central Levin main street; community-anchored,"208 Oxford Street, Levin. FB-first contact. Trading entity 'Levin Sportsworld & Outdoors Limited'."
Sportsworld Waipukurau,independent,Waipukurau (Central Hawke's Bay),1,(no website),via phone,Owner-operator,Sole sports retailer in Central Hawke's Bay; only sports store for the wider Tukituki / Waipawa / Waipukurau catchment,"Phone 06 858 9412. Ruataniwha Street, Waipukurau 4200."
NZ Football Official Shop,specialist,online,0 (online),https://shop.nzfootball.co.nz/,info@nzfootball.co.nz,NZ Football brand / commercial team,Official online retailer for All Whites + Football Ferns kit; runs limited-release retro fan shirts; closest thing to a national football merchandise channel,"Operated by New Zealand Football (the federation). Already listed in the football clubs sheet under federations but worth a retail-side ping. Note: federation may have separate commercial partner."
Auckland City FC Shop,specialist,online + Kiwitea St Auckland,1,https://www.aucklandcityfc.com/shop-2/,via /contact/ form,Club commercial manager,"Reigning OFC champions' official shop; massive social reach; runs supporter-merch promos around big OFC fixtures",Phone (09) 266 4767. Kiwitea St clubrooms.
Auckland FC Shop,specialist,online,0 (online + matchday popups at Go Media Stadium),https://shop.aucklandfc.co.nz/,via shop contact,Club commercial / merchandise manager,"Brand-new A-League side (debut 2024-25); official shop runs by club; rapid growth in fan base; partnership-friendly because they need awareness","New Balance NZ also stocks official Auckland FC jerseys. Players Sports + Soccer United are official off-club stockists."
Wellington Phoenix Shop,specialist,"online + Wellington Phoenix outlet",1,https://shop.wellingtonphoenix.com/,via club contact form,Club commercial / merchandise manager,Official A-League NZ side shop; runs by Dynasty Sport; deeply involved in NZ football community,"Dynasty Sport is the on-field kit supplier and also runs the e-comm storefront. Multi-channel retail (Paladin Sports clearance, Players Sports, Football Central, Soccer United NZ, RYOS, Dynasty)."
