channel_name,handle,subscribers,uploads_per_month,country,primary_language,tier,contact_route,why_target,channel_url
World CUP 2026 official,@worldcup2026official-y2x,1,18.0,,en,B,YouTube About-page email only,tactical/analysis content; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCivr1CT_s7MesvDscvc9CqA
Football Highlights,@footballhighlights-q6y,2,30.0,,fr,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UCcNIh9vR4jZe8UcyD1xgmJQ
Premier League Unfiltered,@premierleagueunfiltered,4,9.5,,en,B,YouTube About-page email only,tactical/analysis content; transfer talk; micro-creator (<1k),https://www.youtube.com/channel/UCdcwZi00chVQj_RbPi49JLw
FAIR - Ligue 1,@fair-ligue1,4,4.0,FR,fr,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UC-aaRSjww2jBWmHn9p-wvbQ
Soccer Exclusive,@soccer-exclusive,5,5.0,GB,en,B,YouTube About-page email only,tactical/analysis content; transfer talk; micro-creator (<1k),https://www.youtube.com/channel/UC436bYIDvqIM_cRJEoKXSMg
FIFA WORLD CUP 2026,@worldcup2026_fifa,5,7.9,US,en,B,YouTube About-page email only,tactical/analysis content; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCqJpdy3Mx0aSaOQsjuF4j4w
Apex Sports Premier League,@apexsportspremierleague,5,47.0,GB,en,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UCe1dVF4ARJHWShBktdLSNOA
Football Analysis FC,@footballanalysisfc,7,2.3,GH,en,B,YouTube About-page email only,tactical/analysis content; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCzzMs2Xo0ejVhspKj-X-0_g
Fifa World Cup 2026,@justfootballaddict,17,13.6,,en,B,YouTube About-page email only,tactical/analysis content; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCIt3x426HnXWdT1JUt3C4xA
Aftermatch Video Analysis,@aftermatchanalysis,22,24.6,,en,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UC2i4PiVfSjybz7_fb0NqyRA
Chinagorom,@chinagoromgunner,31,6.9,,en,B,YouTube About-page email only,tactical/analysis content; transfer talk; micro-creator (<1k),https://www.youtube.com/channel/UCpLLSJNoF2k31-WY_UmdeEg
Récap Foot FR,@recapfootfr,37,10.9,FR,fr,B,YouTube About-page email only,tactical/analysis content; transfer talk; micro-creator (<1k),https://www.youtube.com/channel/UCOMLDUo9G8oef5NkL7mdBKA
COUPE DU MONDE 2026,@coupedumonde2026-s4z,42,15.6,FR,fr,B,YouTube About-page email only,tactical/analysis content; transfer talk; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCPkXdl4LnNGXJ8BzHMmt5QQ
Analysis Match,@analysismatch,127,13.3,DE,en,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UCR1rKWpKmxdK0Qze2-ASkNw
The LFC Analysis,@thelfcanalysis,191,1.7,,en,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UCRBoaEZuNJ4hh_oUyG-FTTg
SC Playbook I Supercoach EPL,@scplaybookepl,205,8.5,,en,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UCcaTPguGCmg8awoRPTRO1Mg
Amara Analysis,@amaraanalysis,322,31.6,,en,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UC893m62ZgrGmzWCNrZfmZYQ
Winners Win,@winnerswinfootball,327,31.3,,en,B,YouTube About-page email only,tactical/analysis content; transfer talk; micro-creator (<1k),https://www.youtube.com/channel/UCb8V-VrPpjfB2-FW-0AsdUA
Inside UCL,@insideucl,369,8.9,GH,en,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UCr7i4sEVCrKCfHFYTC0xNEQ
The Soccer Business,@thesoccerbusiness,383,4.3,US,en,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UCF9hiYOAxUHZQwOyx6nB82A
GxlenPropia,@gxlenpropia,537,15.0,ES,es,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UCKmPrhx5QVsMKdmmsB1Y0ow
The Insider Provider - Football Analysis,@theinsiderprovider-football,703,6.2,IE,en,B,YouTube About-page email only,tactical/analysis content; micro-creator (<1k),https://www.youtube.com/channel/UCALs-uQqqHq_LrwmmXHqoWQ
UEFA Champions League,@ftblucl,1310,10.8,PK,en,B,YouTube About-page email only,tactical/analysis content; small but engaged,https://www.youtube.com/channel/UCl9x1eCav_Hh9vArkBlJX3g
FIFA World Cup 2026 Fans Facts,@fifaworldcup2026fans,1700,3.1,US,en,B,YouTube About-page email only,tactical/analysis content; WC-relevant audience; small but engaged,https://www.youtube.com/channel/UCsDFeKu_KDFmWvPUbawOr3A
Life Channel Sports,@lifechannelsports,2000,9.0,FR,fr,B,YouTube About-page email only,tactical/analysis content; transfer talk; small but engaged,https://www.youtube.com/channel/UC-Avz8Rz0MH6NiTTvqtgreQ
KO7 COMMENTARY,@ko7live,4250,7.8,GB,en,B,YouTube About-page email only,tactical/analysis content; small but engaged,https://www.youtube.com/channel/UC4wyxr61Uadgj2IeQhBQFiQ
V. A. R (View And Review Soccer Analysis),@var-podcast2025,4550,1.1,US,en,B,YouTube About-page email only,tactical/analysis content; small but engaged,https://www.youtube.com/channel/UCM4J61R4XPL7QwwDAFQqyWA
Golazo 90,@golazo90_ksa,4730,5.3,,en,B,Twitter/X @_golaz090 + YouTube About-page email,tactical/analysis content; small but engaged,https://www.youtube.com/channel/UCm5xwMOaMFA9xy1F0D_Xcwg
Picks Victory,@picksvictory,5220,21.9,US,en,B,YouTube About-page email only,tactical/analysis content; growing channel,https://www.youtube.com/channel/UCdXD2XFS5vt1leb18_w2mtA
Futbol Analisis y Scouting,@analisisscouting,5240,2.8,CL,es,B,YouTube About-page email only,tactical/analysis content; growing channel,https://www.youtube.com/channel/UCTvamASD6RV9tNdPpne0ESg
The Soccer Breakdown,@thesoccerbreakdown19,5250,29.4,US,en,B,YouTube About-page email only,tactical/analysis content; growing channel,https://www.youtube.com/channel/UCk7misSq2y_b75H-sc8Y3FA
RaimiSport1,@raimisport1,6820,5.4,FR,fr,B,YouTube About-page email only,tactical/analysis content; transfer talk; growing channel,https://www.youtube.com/channel/UC4jBoKP3LtrM06lhy085Cng
The Bench View Soccer,@thebenchviewsoccer,7170,10.0,IN,en,B,YouTube About-page email only,tactical/analysis content; growing channel,https://www.youtube.com/channel/UCwZ8aFuzXJqxDhFXqG6ZIuQ
FOOT VIRAL FR,@fviralfr,1,30.0,FR,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UC_TtTFd3F9NbT3NNhFjk70A
FIFA World Cup 2026,@fifaworldcup2026-y4d,2,1.4,,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UC4TW0yyYgefLdq7QCPnnv8w
copa 2026,@copa2026-s8d,2,4.7,ES,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCa1roKHHcjSQbzUiyV-S37Q
FUTEBOL PRO FUTEBOL BRASILEIRO,@futebolprofutebolbrasileiro,3,6.8,,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UC1s157tQGR4JurfeJc4Rd8A
tudo sobre futebol brasileiro mais Flamengo,@luizclaudiooliveiradesouza-p1h,4,11.1,,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCd3L22Z74SA59e3th8YRXVw
Choo-choo's football highlights,@lesliecrews-u6d,6,2.3,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCnYGMfL_cA_OLSUhpgndusA
CoupFranc 2026,@coupfranc2026,6,1.6,,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCDXcE5GQJjIN-Kv7eEpm0dg
COPA DO MUNDO 2026⚽,@copadomundo2026-v8z,7,1.7,,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCWSeGTy4XNvxJ0tlREcm7eg
Football highlights,@footballhighligths1,7,9.0,,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCXUA3jpgczeoLaftUGLdLxg
COUPE DU MONDE 2026,@coupeedumonde2026,7,1.7,,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCemBfzKsmzia2Fn7zvYmKPg
Shadows_Arena,@shadows_arena_corp,7,5.7,,fr,C,Twitter/X @shadows_arena + YouTube About-page email,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCJ5fcX5Y42v6Tv6YA1R3TJA
Fifa World cup 2026,@fifaworldcup2026-d8r,9,8.6,FR,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCfY5Ad8hDByD9YJbZ-uLdHA
World Cup 2026,@teamworlcup,10,3.8,,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCAPDO2l6ECr044HunWM9R7w
Lendas do Futebol Brasileiro,@lendas_do_futebol_brasileiro,11,25.0,BR,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UChUElvjZHl_fHnX_QlEnakw
CrisMachado Plus,@crismachadoplus,12,6.9,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCOlq_sOfQrdzW6i_zg5CeIg
Campeones Sin Filtro,@campeonessinfiltro,13,16.9,NI,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCekxH9Ktm6F7vf4I-GHXuDA
Football Analyse Pro,@footballanalysepro,13,2.5,,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UClJ-QJIJ3e6uL4nMjWXXInA
Parlon Peu Parlons Ligue 1,@parlonpeuparlonsligue1,13,12.4,,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCGtOdSlwPFyuGCKrwLRKOfg
Custom Football Highlights,@customfootballhighlights,14,4.8,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCNgXAu1BjFMUSMjrC5C23Zg
FIFA world Cup 2026 As.99,@fifaworldcup2026-n6j,15,30.0,,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UC7pU_GRwc9-O-gaRd_5Zs7g
World Beats - Mundial 2026 Wolrd Cup,@worldbeats-mundial2026worldcup,16,2.1,MX,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCZL3avwVPJifbpjH-z1f7Fg
NOTICIAS DEL MUNDIAL 2026,@lasnoticiasdelmundial2026,16,27.9,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCSiFGy6ILRMqf13o3gMjNeg
World Cup 2026,@worldcup2026-h7o,17,25.2,,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCuTGO_M5P2LRC_jpiM0pWhA
Analizando Futbol,@analizandofutboloficial,17,34.7,ES,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCm_owOEprcOR8E750FLqjAQ
FIFA WORLD CUP 2026 LIFE TV,@fifaworldcup2026lifetv,18,2.6,BD,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCuDk2qKmxjrU_fPxVQ0bYXg
Argentina Mundial 2026,@argentinamundial2026,18,1.1,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCC2WFhi0MH2ySdoTCGrIbMg
L'Etape du Monde,@letapedumonde,19,4.3,,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCz1e8wd44Otzm5LfIK90efQ
Ashley Baxter Soccer Highlights,@ashleybaxtersoccerhighlights,20,1.0,,en,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCuz2mxFkMEJAm1D0i0m78Fg
copa do mundo 2026,@maria-q4h5p,20,1.7,,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UC5IwW_1Jx3oj8eVy6OtrMfA
Sabor Copa 2026,@saborcopa2026,20,14.7,BR,pt,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCPreUN7mbenG95wsU0GZEMg
mundial 2026,@lucregracias,21,2.0,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCwiJPybfbP8WXI0QUc9UEhA
mundo mundial 2026,@mundomundial2026,22,5.5,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCmzpl70i1sW52Vbcuythesg
El Mundial a tope 2026,@elmundialatope2026,22,14.6,MX,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCBqztq2tb_A89MeUycPyWEw
Mundial de Fútbol 2026,@mundialdefutbol20266,23,57.3,TR,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCALzgVDgiTaquvYzAl9Pyhw
football highlights,@tanvirul-66,23,6.1,,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCdyjSJ3zmmJ6nGk90Qs3YOQ
World Cup 2026,@worldcup2026-cum,26,5.1,,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCCwLEDBIWrcdNiohRzSV_Lg
World Cup 2026,@felixchyrmang-c2t,27,10.2,,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCdzv6Rgvpb_4sKjVxOI7afQ
Davis-soccerhighlights,@davis-soccerhighlights,27,3.1,,en,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCpTzu1LWQlsbHllNRbV7BVw
Album da Copa do Mundo 2026,@albumcopa2026,27,15.0,BR,pt,C,Twitter/X @album + YouTube About-page email,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCO5W7cykElsjEJ8u8WB8KDw
PRO Soccer Highlights,@pro.soccerhighlights,28,1.6,,en,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCtmcUC5zZYTRsXNXDPGZ2FQ
Apostas Copa do Mundo 2026,@apostascopadomundo2026,28,16.0,BR,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UC8Wm3aTLnvplDc74aDZG7OQ
EMJ Soccer Hightlights,@emjsoccerhightlights,31,5.7,US,en,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UC7RPoP5MCxXss9oOYj0Ydpw
Vitrine do Sucesso - Músicas da Copa do Mundo 2026,@vitrinedosucessovs,32,11.1,BR,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCHYf2KCZl8NttGKJcx_aHaQ
Figurinhas Copa 2026,@figurinhascopa2026,33,276.7,BR,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCRgvAtKeex0P4F3ngGu0cpA
FIFA World Cup 2026,@fifaworldcup2026-official,34,8.3,US,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UC9cgU36jgXxhufrzImVc9fQ
El Barba Data Sport,@elbarbadatasport,35,8.4,VE,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCHtsOZxn0sKNALLb6vcoVeg
Football Club,@footballclub-e6l,37,45.0,US,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCVgTf-kUehWmWgvh2QrllZw
World Cup 2026,@worldcup2026-y4e,39,7.1,US,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UC7R2A1XG4T8eI3Ls4fcbADw
World Tour 2026 - Topic,,42,19.7,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCFXM0CdMpFRL-veVQ9h_rhQ
Futebol Brasileiro,@futeboldobrasil99,42,68.2,,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCrWSZBH9ItsnIvq7HBHq_FQ
MG Analyse Foot,@mg_analysefoot,43,3.6,SN,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCmynb9LTg8BPQz5Fjx2lCNg
Soccer in the World,@soccerlintheworld,43,31.4,BR,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCCFWLQhwaBbM2ZGg2sMjO9Q
Le Ballon Rond,@leballonrond-j3c,43,2.4,FR,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCKbdlXlYy6x_WWKkbsRpxBA
WorldCupAnthems2026,@worldcupanthems2026,47,5.1,ES,fr,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCjzHyemYhE5zyfmR11TSRKw
Camino al Mundial 2026,@caminoalmundial2026-k3u,48,14.7,AR,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCuSo8UfutVtTcUXvi3sfNvQ
Copa do Mundo 2026 🅥︎,@copadomundo2026-q4x,51,8.2,,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCn4s58xqeDujK8dtuQlO0bQ
Matchs Football Highlights,@mfoothigh,55,1.2,FR,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCX_d2jtdkvfICe-M7JREPXQ
FIFA World Cup 2026,@fifaworldcup2026official,56,1.2,,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCNx5HNsJ0VjOZbx0-B54vkQ
The Debrief,@thedebrief-q3y,56,53.6,FR,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCQlgDup4-hIBYL5eXaoGHwA
FIFA World Cup 2026,@mdimamhossenjm,58,6.0,,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCzCuOenjrpz3qkr-f6u2Xxg
RJ’s Soccer Highlights,@rjssoccerhighlights-x5i,59,2.1,,en,C,Twitter/X @richardzentmaye + YouTube About-page email,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCbLUVX8_xZWV6pZ1c77qGUg
World Cup 2026 - Topic,,60,6.9,,en,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCi60-oHhIYePZrxZqxRC9tw
football Highlights,@football-w8u3r,61,1.9,,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCsr3GUWQrpojpFpMempIN7g
Tedam's pronos Analyseur,@tedamspronos,64,5.5,,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCptr1qMnpe8uyCuvyh206Rw
FootBot Analist,@footanalistbot,74,32.7,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCUNXjD6YwzbUIOgmGhqemsw
Steeve-theboy coupe du monde 2026,@charlestinnaiderson-d6m2m,78,3.1,US,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCZpYgHpwif4cz0wiD5ROIPg
la voix du foot populaire,@lavoixdufoot777,105,18.8,,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCIPhzSx1-HzzOCyXfKyi_7A
"JC el 10, Siempre en la jugada",@jcel10siempreenlajugada,110,10.1,CA,es,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UC5KP_smE9cR6nf5ju2NFoCg
Pronóstico 90’,@pronostico90,122,17.1,MX,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCbTdcRl_LTLI_tciaYSVhAw
Atualizações do Futebol Brasileiro,@atldofutebol,125,18.6,BR,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCxW_5OsGBb0U8rCdnEp-FRQ
Kichutada Futebol Club,@kichutadafc,126,1.2,BR,pt,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UC9-syl2Sqq0tBLoM-yIVniw
Manudubsport,@manudubsport,133,41.6,FR,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCSM8ca_7xl-KYC8PKLGtp1A
Flashfoot,@flaashfoot,144,12.7,,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UC8lGwGcKqnL5vEewBIMdC7w
Rumbo al Mundial 2026,@rumboalmundial2026-z9p,148,4.2,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UC_2gXkaT8oBlcvCkUHkYUkA
VIRAL FOOTBALL HIGHLIGHTS,@viralfootballhighlights-h1k,159,10.0,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCXFr8azEbfvqyb_PiB22jBw
fútbol del mundo 2026,@futboldelmundo2026,169,2.8,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCkNZ0xJgATGDyXP2nuGno4A
Football Highlights,@footballhighlights-k6o,170,10.9,US,es,C,YouTube About-page email only,highlights/news coverage; WC-relevant audience; micro-creator (<1k),https://www.youtube.com/channel/UCIAveArdVeojcn2FuABCheA
Fútbol Incógnito,@futbolincognito,171,10.6,CO,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCdD5juVudRu58zvETKAuOhg
Bestfy Picks,@bestfypicks,178,8.5,ES,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UC94R0a2VeNPJN4HJ_PPUfEg
FC BANQUEROUTE,@fcbanqueroute,181,4.7,FR,fr,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCXtccpyV3tbaaThxy_v4Smw
CEC FÚTBOL 🎥ANÁLISIS,@cecfutbolanalisis,201,1.5,AR,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCuwicG8fu3c9_m-xGTfJo2A
Juega en Corto,@juegaencorto,209,33.9,,es,C,YouTube About-page email only,highlights/news coverage; micro-creator (<1k),https://www.youtube.com/channel/UCkb73NkcV55Lzc8k97cgUWA
