name,type,country,region,website,best_contact_email,best_contact_role,member_size,why_target,notes,phone
Cal North Youth Soccer Association,youth-association-state-or-regional,USA,Northern California,https://www.calnorth.org/,info@calnorth.org,State Office,~150000 players,One of biggest state YSAs; covers Bay Area with affluent Latino + tech parent base,Pleasanton CA HQ,+1 925 426 5437
Cal South Youth Soccer,youth-association-state-or-regional,USA,Southern California,https://www.calsouth.com/,info@calsouth.com,State Office,~200000 players,Largest state youth soccer in USA; LA + San Diego footprint with Mexican-American parent base perfect for WC2026,Fullerton CA HQ,+1 714 451 1300
Texas Youth Soccer (NTX + STX),youth-association-state-or-regional,USA,Texas,https://www.txsoccer.org/,info@txsoccer.org,State Office,~140000 players,Texas combined youth soccer footprint; Latino family audience and big WC2026 hype Mexico-USA-Canada hosted,Frisco / Houston offices,+1 469 661 0400
New York State West Youth Soccer,youth-association-state-or-regional,USA,New York,https://www.nyswysa.org/,office@nyswysa.org,State Office,~85000 players,Upstate NY youth association,(unverified) inferred email,
Eastern New York Youth Soccer,youth-association-state-or-regional,USA,New York,https://enysoccer.com/,info@enysoccer.com,State Office,~140000 players,NYC and Long Island youth soccer with very diverse parent base,(unverified) inferred email; HQ Plainview NY,
New Jersey Youth Soccer,youth-association-state-or-regional,USA,New Jersey,https://www.njyouthsoccer.com/,info@njyouthsoccer.com,State Office,~100000 players,Dense youth soccer market; very engaged soccer parents,Caldwell NJ HQ,+1 609 245 5051
Massachusetts Youth Soccer,youth-association-state-or-regional,USA,Massachusetts,https://www.mayouthsoccer.org/,info@mayouthsoccer.org,State Office,~70000 players,New England flagship YSA,Lancaster MA HQ,+1 978 466 8812
Florida Youth Soccer Association,youth-association-state-or-regional,USA,Florida,https://fysa.com/,info@fysa.com,State Office,~110000 players,Florida YSA with massive Latino + Caribbean family audience,Auburndale FL HQ,+1 863 268 8220
Illinois Youth Soccer,youth-association-state-or-regional,USA,Illinois,https://www.illinoisyouthsoccer.org/,info@illinoisyouthsoccer.org,State Office,~100000 players,Midwest flagship YSA,Bartlett IL HQ,+1 630 736 0561
Washington Youth Soccer,youth-association-state-or-regional,USA,Washington,https://www.washingtonyouthsoccer.org/,info@washingtonyouthsoccer.org,State Office,~70000 players,Pacific NW YSA with strong indoor + Latino communities,(unverified) inferred email; Tukwila WA,
Soccer Shots,coaching-business,USA,National + global,https://www.soccershots.com/,info@soccershots.org,National Office,~600000 kids per year across 250+ franchises,Largest preschool soccer franchise in USA; parents of every single kid get weekly email = enormous WC2026 multiplier,HQ Hershey PA,+1 717 715 0034
Lil Kickers,coaching-business,USA,National,https://www.lilkickers.com/,info@lilkickers.com,National Office,~250000 kids per year,Preschool soccer franchise across 30+ states; affluent parent base,HQ Bellevue WA; (unverified) inferred email,
Super Soccer Stars,coaching-business,USA,National,https://supersoccerstars.com/,info@supersoccerstars.com,National Office,~150000 kids per year,Major USA preschool + youth soccer brand,HQ NYC + LA,+1 212 877 7171
TOCA Soccer Academy,coaching-business,USA,National,https://tocasoccer.com/,info@tocasoccer.com,National Office,~50000 members across 15+ centers,Eddie Lewis-founded indoor soccer chain with technology-driven training and parent membership model,HQ Costa Mesa CA,+1 949 783 6510
Inter Miami CF Academy Programmes,club-academy,USA,Florida,https://www.intermiamicf.com/academy,academy@intermiamicf.com,Academy Office,~250 academy + 2000 in development tiers,Messi-led Inter Miami runs academy and development tiers; biggest WC2026 brand magnet in USA youth football,(unverified) inferred email; Fort Lauderdale,+1 954 715 4242
LA Galaxy Academy,club-academy,USA,California,https://www.lagalaxy.com/academy,academy@lagalaxy.com,Academy Office,~150 boys + 1500 development,LA Galaxy MLS academy with deep SoCal parent base,(unverified) inferred email; Carson CA,+1 877 342 5299
NYCFC Youth Programmes,club-academy,USA,New York,https://www.nycfc.com/community/youth,community@nycfc.com,Community Office,~5000 kids per year via Five Boroughs,Man City-owned NYCFC reaches every borough; huge multicultural parent base,(unverified) inferred email; NYCFC HQ,
Atlanta United Academy,club-academy,USA,Georgia,https://www.atlutd.com/academy,academy@atlutd.com,Academy Office,~150 boys + 1000 development,MLS academy with the biggest fanbase in MLS history; Latino family audience,(unverified) inferred email; Marietta GA training ground,+1 470 341 1500
Street Soccer USA,charity-football-org,USA,National,https://streetsoccerusa.org/,info@streetsoccerusa.org,National Office,~20000 players + families,Sport-for-good org reaching homeless and at-risk families through street soccer; high earned-media reach,HQ NYC; phone confirmed,+1 415 530 1112
Soccer Without Borders,charity-football-org,USA,Multi-country,https://www.soccerwithoutborders.org/,info@soccerwithoutborders.org,Programme Office,~3500 youth across US + Nicaragua + Uganda,Refugee + immigrant youth soccer charity with strong parent engagement,HQ Oakland CA,+1 510 519 1481
America SCORES,charity-football-org,USA,National,https://www.americascores.org/,info@americascores.org,National Office,~15000 youth across 12 cities,After-school soccer + poetry + service charity in 12 US cities,HQ NYC,+1 212 868 4090
Beyond Sport (US programmes),charity-football-org,USA,National,https://www.beyondsport.org/,info@beyondsport.org,Office,~100k+ globally,Sport-for-good network with high foundation-level US engagement,(unverified) inferred email; HQ NYC + London,
Coerver Coaching USA,coaching-business,USA,National,https://coerverusa.com/,coerverusa@coerver.com,National Office,~25000 kids per year,Major USA franchise of the global Coerver brand; parent mailing list nationwide,HQ Bayside NY,+1 718 423 6262
Real Madrid Foundation Camps USA,holiday-camp-operator,USA,National,https://www.realmadridfoundationclinics.com/,info@realmadridfoundationclinics.com,Programme Office,~10000 kids per year USA,Real Madrid-branded paid camps across US cities; affluent Spanish-speaking parent base,(unverified) inferred email; HQ via partner Soccer Inc,
Barca Academy Pro USA,club-academy,USA,Multi-state,https://barcaacademy.com/,info@barcaacademy.com,Academy Office,~1500 kids USA,FC Barcelona-branded academies in Arizona Florida New York; affluent parent base,HQ Phoenix; (unverified),
Beestera Football Academy,independent-academy,USA,Florida,https://beesterafootballacademy.com/,info@beesterafootballacademy.com,Founder Office,~400 kids per year,Independent Miami academy with Latino + WC2026 angle,(unverified) inferred email,
PSG Academy USA,club-academy,USA,Multi-state,https://psgacademyusa.com/,info@psgacademyusa.com,Programme Office,~2000 kids per year,Paris Saint-Germain-branded camps in US + LATAM; affluent + Francophone parent base,(unverified) inferred email,
Bayern Munich World Squad / Camps (USA),club-academy,USA,Multi-state,https://www.fcbayern.com/en/club/youth/international-academy,academy@fcb.de,Academy Office,~1500 kids USA per year,FC Bayern-branded summer camps US; large Bavarian-heritage and German-fan parent base,(unverified) inferred email; routes via FCB Munich,
Soccer.com Camps (Eurosport),holiday-camp-operator,USA,National,https://www.soccer.com/camps,camps@soccer.com,Programme Office,~30000 kids per year,National holiday-camp operator with massive email database via Soccer.com retail,(unverified) inferred email,
Challenger Sports International Soccer Camps,holiday-camp-operator,USA,National,https://www.challengersports.com/,info@challengersports.com,National Office,~150000 kids per year,Massive holiday camp operator running British Soccer Camp across all 50 states; parent mailing list dwarfs MLS,HQ Lenexa KS,+1 800 878 2167
UK Elite Soccer Camps,holiday-camp-operator,USA,National,https://ukelite.com/,info@ukelite.com,National Office,~25000 kids per year,UK-coach-staffed holiday camps across US,Conshohocken PA HQ,+1 866 822 5483
Canada Soccer Youth (Canada Soccer),youth-association-national,Canada,National,https://www.canadasoccer.com/,info@canadasoccer.com,General Office,~1M registered players,Canada Soccer governs all youth football in Canada; the unifying multiplier for WC2026 co-host,HQ Ottawa,+1 613 237 7678
Ontario Soccer,youth-association-state-or-regional,Canada,Ontario,https://www.ontariosoccer.net/,info@ontariosoccer.net,Provincial Office,~380000 registered members,Biggest provincial association in Canada by far; mix of Italian Portuguese South Asian Latino parent communities,HQ Vaughan ON,+1 905 264 9390
Quebec Soccer Federation,youth-association-state-or-regional,Canada,Quebec,https://federation-soccer.qc.ca/,info@federation-soccer.qc.ca,Provincial Office,~170000 players,Quebec biggest provincial soccer body; Francophone parent base,Montreal HQ,+1 514 252 3025
BC Soccer Association,youth-association-state-or-regional,Canada,British Columbia,https://www.bcsoccer.net/,info@bcsoccer.net,Provincial Office,~150000 players,BC provincial body; Vancouver Whitecaps catchment,Burnaby HQ,+1 604 299 6401
Alberta Soccer Association,youth-association-state-or-regional,Canada,Alberta,https://www.albertasoccer.com/,info@albertasoccer.com,Provincial Office,~52000 players,Alberta provincial body covering Calgary + Edmonton,HQ Edmonton,+1 780 474 2200
Manitoba Soccer Association,youth-association-state-or-regional,Canada,Manitoba,https://www.manitobasoccer.ca/,office@manitobasoccer.ca,Provincial Office,~15000 players,Manitoba provincial body,Winnipeg HQ,+1 204 925 5763
Saskatchewan Soccer Association,youth-association-state-or-regional,Canada,Saskatchewan,https://www.sasksoccer.com/,office@sasksoccer.com,Provincial Office,~13000 players,Saskatchewan provincial body,Saskatoon HQ,+1 306 975 0875
Nova Scotia Soccer,youth-association-state-or-regional,Canada,Nova Scotia,https://www.soccerns.ns.ca/,office@soccerns.ns.ca,Provincial Office,~25000 players,Atlantic Canada flagship,Halifax HQ,+1 902 466 5990
Soccer New Brunswick,youth-association-state-or-regional,Canada,New Brunswick,https://www.soccernb.org/,info@soccernb.org,Provincial Office,~10000 players,New Brunswick provincial,Fredericton HQ,+1 506 453 0875
Newfoundland Soccer Association,youth-association-state-or-regional,Canada,Newfoundland,https://nlsa.ca/,office@nlsa.ca,Provincial Office,~10000 players,Newfoundland and Labrador provincial,St John's HQ,+1 709 576 7656
PEI Soccer Association,youth-association-state-or-regional,Canada,PEI,https://www.peisoccer.com/,info@peisoccer.com,Provincial Office,~3500 players,PEI provincial,Charlottetown HQ,+1 902 368 4110
U Sports Soccer,university-soccer-program,Canada,National,https://usports.ca/en/sports/soccer,info@usports.ca,General Office,~50 universities ~2500 players,Governs Canadian university soccer; Canadian uni parent network for WC2026,HQ Richmond Hill ON,+1 866 622 9326
Toronto FC Academy + Camps,club-academy,Canada,Ontario,https://www.torontofc.ca/academy,academy@torontofc.ca,Academy Office,~250 academy + ~5000 camps,MLS academy + branded camps in Toronto and GTA; biggest Canadian youth football brand,(unverified) inferred email,+1 416 360 4625
Vancouver Whitecaps Academy + Residency,club-academy,Canada,British Columbia,https://www.whitecapsfc.com/academy/,academy@whitecapsfc.com,Academy Office,~120 residency + ~3000 community,Whitecaps academy and residency programme; affluent parent base,(unverified) inferred email,+1 604 669 9283
CF Montreal Academy,club-academy,Canada,Quebec,https://www.cfmontreal.com/academy,academy@cfmontreal.com,Academy Office,~150 academy + 2000 development,MLS academy with deep Quebec youth football parent network,(unverified) inferred email,+1 514 328 3668
Coerver Coaching Canada,coaching-business,Canada,National,https://coerver.ca/,info@coerver.ca,National Office,~8000 kids per year,Canada master franchise of global Coerver brand,(unverified) inferred email,
Soccer 4 All (Maple Leaf Soccer),coaching-business,Canada,Ontario,https://soccer4all.ca/,info@soccer4all.ca,Office,~3000 kids per year,Ontario inclusive youth soccer programme,(unverified) inferred email,
Soccer Without Boundaries Canada,charity-football-org,Canada,Ontario + BC,https://soccerwithoutboundaries.com/,info@soccerwithoutboundaries.com,Office,~2000 youth per year,Inclusive low-cost youth soccer in Canada,(unverified) inferred email,
CBF Academy / Núcleo de Base,youth-association-national,Brazil,National,https://www.cbf.com.br/a-cbf/cbf-academy,cbfacademy@cbf.com.br,Coordenação,~200 base coaches per cohort,CBF coach + academy education arm reaches every coach in Brazil through CBF Academy; WC2026 + Seleção angle is overwhelming in Brazil,Rio HQ; (unverified) inferred email,+55 21 3572 1900
CBF Selecoes de Base (Sub-15 a Sub-23),youth-association-national,Brazil,National,https://www.cbf.com.br/selecao-brasileira-de-base,selecoesdebase@cbf.com.br,Coordenação,All Selecoes de Base squads,Brazilian youth national-team programme; partnering with CBF base coordination opens entire youth scouting pyramid,(unverified) inferred email,+55 21 3572 1900
Federação Paulista de Futebol Sub-Categorias,youth-association-state-or-regional,Brazil,São Paulo,https://www.fpf.org.br/competicoes/sub-15-e-sub-17,base@fpf.org.br,Direção de Competições de Base,~700 clubs with youth squads,FPF runs Copa SP de Futebol Junior the biggest youth tournament in world football; whole-state pyramid in one yes,(unverified) inferred email; HQ Barra Funda SP,+55 11 94135 8669
Federação Mineira de Futebol Base,youth-association-state-or-regional,Brazil,Minas Gerais,http://fmf.com.br/,base@fmf.com.br,Coordenação de Base,~500 clubs with youth squads,Minas Gerais youth pyramid; Atlético Mineiro + Cruzeiro base programmes feed in,(unverified) inferred email,+55 31 3071 7188
Federação Carioca de Futebol Base,youth-association-state-or-regional,Brazil,Rio de Janeiro,https://www.fferj.com.br/,base@fferj.com.br,Coordenação de Base,~300 clubs with youth squads,Rio youth pyramid; Flamengo + Fluminense + Vasco + Botafogo base academies feed in,(unverified) inferred email,
Confederação Brasileira de Desporto Escolar (CBDE),school-soccer-program,Brazil,National,https://www.cbde.org.br/,cbde@cbde.org.br,Secretaria,~12000 schools,Brazil school sports governing body; runs Jogos Escolares Brasileiros where football is biggest sport,Brasília HQ,+55 61 3328 0289
CBF Confederação Brasileira de Futebol Universitário (CBFU),university-soccer-program,Brazil,National,https://www.cbfu.org.br/,contato@cbfu.org.br,Secretaria,~250 universities,Brazil university football governing body; runs Liga de Futebol Universitário,(unverified) inferred email; São Paulo HQ,
Centro de Treinamento Joaquim Grava (Corinthians Base),club-academy,Brazil,São Paulo,https://www.corinthians.com.br/futebol/categorias-de-base,base@corinthians.com.br,Coordenação de Base,~250 kids in base + 5000 outreach,Corinthians base academy in São Paulo; one of biggest fan bases in football world,(unverified) inferred email; CT Joaquim Grava,+55 11 2095 3000
Cidade do Galo (Atlético Mineiro Base),club-academy,Brazil,Minas Gerais,https://www.atletico.com.br/categorias-de-base,base@atletico.com.br,Coordenação de Base,~200 kids in base + 2000 outreach,Atlético Mineiro base academy in Vespasiano MG,(unverified) inferred email,+55 31 2105 5500
Toca da Raposa (Cruzeiro Base),club-academy,Brazil,Minas Gerais,https://www.cruzeiro.com.br/categorias-de-base,base@cruzeiro.com.br,Coordenação de Base,~180 kids in base + 2000 outreach,Cruzeiro base academy in MG,(unverified) inferred email,
Ninho do Urubu (Flamengo Base),club-academy,Brazil,Rio de Janeiro,https://www.flamengo.com.br/categorias-de-base,base@flamengo.com.br,Coordenação de Base,~200 kids in base + 6000 outreach,Flamengo base + Escolinhas do Flamengo across Brazil + global; biggest fan base in Brazil,(unverified) inferred email; Ninho do Urubu Rio,
Escola de Futebol do Flamengo,club-academy,Brazil,National + global,https://www.escoladofutebol.com.br/,contato@escoladofutebol.com.br,Coordenação,~25000 kids per year across 200+ units,Franchised Flamengo football schools in Brazil + abroad; parent mailing list is enormous,(unverified) inferred email,
Cotia (São Paulo FC Base / Escolinhas),club-academy,Brazil,São Paulo,https://www.saopaulofc.net/categorias-de-base,base@saopaulofc.net,Coordenação,~250 base + ~5000 escolinha,São Paulo FC base academy + escolinhas brand,(unverified) inferred email,
Vila Belmiro Base (Santos FC),club-academy,Brazil,São Paulo,https://www.santosfc.com.br/categorias-de-base,base@santosfc.com.br,Coordenação,~200 base + 5000 escolinha,Santos FC base + Pelé legacy escolinhas,(unverified) inferred email,
Allianz Parque Base (Palmeiras),club-academy,Brazil,São Paulo,https://www.palmeiras.com.br/categorias-de-base,base@palmeiras.com.br,Coordenação,~250 base + ~4000 escolinha,Palmeiras base academy; huge fan family base,(unverified) inferred email,
Grêmio Base (Hélio Dourado),club-academy,Brazil,Rio Grande do Sul,https://www.gremio.net/page/site/Base,base@gremio.net,Coordenação,~180 base + ~3000 escolinha,Grêmio base academy and escolinhas,(unverified) inferred email,
Internacional Base (CT Parque Gigante),club-academy,Brazil,Rio Grande do Sul,https://www.internacional.com.br/categorias-de-base,base@internacional.com.br,Coordenação,~180 base + ~3000 escolinha,Internacional base academy and escolinhas,(unverified) inferred email,
Soccer Talent Academy (Brasil),independent-academy,Brazil,São Paulo,https://www.soccertalentacademy.com.br/,contato@soccertalentacademy.com.br,Direção,~500 kids per year,Independent SP academy with US-college pathway,(unverified) inferred email,
PSG Academy Brasil (Niterói),club-academy,Brazil,Rio de Janeiro,https://psgacademybrasil.com.br/,contato@psgacademybrasil.com.br,Direção,~1500 kids per year,PSG-branded academy in Niterói RJ,(unverified) inferred email,
Common Goal Brasil,charity-football-org,Brazil,National,https://www.common-goal.org/,info@common-goal.org,Communications,~150 player members globally,Common Goal redistributes 1% of player salaries; Brazil chapter with strong Neymar / Marta hooks,HQ Munich + global,
Gol de Letra (Raí + Leonardo),charity-football-org,Brazil,São Paulo,https://goldeletra.org.br/,contato@goldeletra.org.br,Comunicação,~3000 children + families,World Cup winner Raí's charity in SP; high earned-media for any partnership,(unverified) inferred email,+55 11 3853 2227
Atletas pelo Brasil,charity-football-org,Brazil,National,https://www.atletaspelobrasil.org/,contato@atletaspelobrasil.org,Comunicação,~150 athlete signatories,Brazilian athletes-for-good network; football-heavy roster,(unverified) inferred email,
AFA Inferiores (Asociación del Fútbol Argentino),youth-association-national,Argentina,National,https://www.afa.com.ar/inferiores,inferiores@afa.com.ar,Coordinación,~1500 base clubs,AFA Inferiores governs all Argentine youth football; River Boca San Lorenzo Independiente Racing base feed in,(unverified) inferred email; HQ Ezeiza,+54 11 4309 0700
AFA Fútbol Femenino Inferiores,youth-association-national,Argentina,National,https://www.afa.com.ar/femenino,femenino@afa.com.ar,Coordinación,~250 base clubs,Argentine women's youth pyramid,(unverified) inferred email,
AFA Escolar / Confederación Argentina de Deporte Escolar,school-soccer-program,Argentina,National,https://www.argentina.gob.ar/educacion/educacion-fisica,deporte.escolar@educacion.gob.ar,Coordinación,~6500 secondary schools,Argentine school football is governed at federal level; multiplier across every state,(unverified) inferred email; Buenos Aires,
