name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Newsport Bikes,chain,Cordoba + national,~5,https://www.newsportbikes.com.ar/,via contact form on newsportbikes.com.ar,Owner-operator,"Cycling-focused sub-brand under Newsport; small but deep customer relationships; football is secondary but the prediction-pool tool plays equally well for any sports retailer","Sister brand to Newsport. Shared contact path.",
Grimoldi,chain,national,77+,https://www.grimoldi.com/,via contact form on grimoldi.com,Marketing / commercial team,"Argentine footwear giant since 1895 with 77+ stores nationwide; primarily Hush Puppies / Merrell / CAT / Timberland / Kickers / American Pie / Rockport so not a football boot retailer per se, but high-margin lifestyle channel that could run a brand-aligned WC pool","HQ Castelar (factory there since 1955). 130+ year heritage. Listed here for breadth: Tournamental's universal-fit prediction tool works for any retailer with football-loving customers, not just specialists.",
Camisetas Retro BA,e-tailer,Villa Crespo CABA + national online,1,https://camisetasretroba.com.ar/,via contact form on camisetasretroba.com.ar/contacto/,Owner-operator,"Direct-to-consumer specialist in retro Argentina national-team jerseys (1978, 1982, 1986, 1994, 1999, 2002, 2006, 2022); ships worldwide; native customer base of Argentina football collectors = highest-intent WC2026 pool participants","Phone +54 11 5028 0128. Located Villa Crespo, CABA. Instagram @camisetas.retro.ba.",+54 11 5028 0128
Mundial Retro Camisetas,e-tailer,Adrogue (Buenos Aires) + national online,1,https://mundialretrocamisetas.com.ar/,info@mundialretrocamisetas.com.ar (unverified),Owner-operator,"Specialist retro Argentina jersey e-tailer; full Mundial-themed inventory ahead of WC2026; offers Correo Argentino national shipping with free over ARS 90,000","WhatsApp only (no calls) +54 9 11 6551 6507. Adrogue Buenos Aires. Free shipping threshold suggests AOV around ARS 90k.",+54 9 11 6551 6507
La Camiseteria,e-tailer,La Plata + national online,1,https://www.lacamiseteria.com.ar/,via WhatsApp on site,Owner-operator,"Premium replica retro football shirts specialist; La Plata HQ; ships nationally; not affiliated with clubs or manufacturers so fully independent decision-making","Email obfuscated on site (contact via WhatsApp). Active on TikTok / Instagram @lacamiseteriaretro.",
Libero Camisetas,e-tailer,national online,0,https://www.liberocamisetas.com/,via contact form on liberocamisetas.com/contacto/,Owner-operator,"Retro + current football jersey e-tailer; offers up to 24 interest-free installments and free national shipping; full Liga Argentina + national team coverage; very Messi-marketing-friendly","No published phone. Contact-form only. Strong pricing-led marketing message suits the free-prize-pool pitch.",
AFA Shop,club-retail,national online (Predio Ezeiza HQ),0,https://www.afashop.com.ar/,via contact form on afashop.com.ar,AFA commercial / Adidas Argentina partnership,"The sole official online store of the Argentine national football team; operated jointly with Adidas; sells authentic + fan versions of the WC2026 kit; defending world champions inventory; reaches every Argentine WC2026 buyer","Trains at Lionel Andres Messi facility Ezeiza. Adidas Argentina is the technical partner. Highest possible prize prestige (official AFA kit). Note: federation may route via Adidas commercial.",
Tienda Boca / BocaShop,club-retail,national online + La Bombonera matchday,1,https://www.bocashop.com.ar/,via contact form on bocashop.com.ar/contacto,Club commercial / merchandise manager,"Official Boca Juniors online store run by Club Atletico Boca Juniors Asociacion Civil; matchday stand at La Bombonera; ~25M social media following globally; Messi + Maradona = strongest brand pull during WC2026",Legal address Brandsen 805 CABA. CUIT registered to Boca Juniors Asociacion Civil. Largest single-club fan base in Argentina.,
Tienda River,club-retail,national online + Estadio Monumental matchday,1,https://www.tiendariver.com/,via contact form on tiendariver.com/contacto,Club commercial team,"Official River Plate online + matchday store at the Monumental (San Martin tribuna terrace); operated by Grupo Dabra under licence; second-largest club brand in Argentina","Av. Figueroa Alcorta 7597, CABA. CUIT 30-63848573-3. Online store managed by Grupo Dabra (same group as Dexter / Stock Center / Moov).",
Independiente Store,club-retail,Avellaneda HQ + Libertadores de America stadium + Boyaca,3,https://www.independientestore.com.ar/,via contact form on independientestore.com.ar,Club commercial team,"Independiente officially recovered the merchandising concession in 2023 (previously Torneos); club retains 30% revenue from official kit; 3 physical stores plus online (formerly Diablo Soy); Adidas / Puma kit deal","Stores at Av. Mitre 470 Avellaneda HQ, Libertadores de America stadium, and Boyaca complex. Hours Mon-Fri 11-19, Sat 11-14. Online migrated from diablosoy.com to independientestore.com.ar.",
Locademia (Racing Club),club-retail,"Avellaneda, Microcentro CABA, Villa del Parque",3,https://locademia.racingclub.com.ar/,locademiaavellaneda@racingclub.com.ar,Club commercial team,"Official Racing Club store network with 3 physical locations; Avellaneda flagship + Microcentro + Villa del Parque; defending Copa Sudamericana champions so commercial moment is hot","Avellaneda Av. Mitre 934 piso 1 (phone 4229-1336). Microcentro Lavalle 1650. Villa del Parque Nogoya 3061. WhatsApp +54 11 2486 7952.",+54 11 4229-1336
Soy Cuervo (San Lorenzo),club-retail,Av. La Plata HQ + Av. de Mayo 964 + national online,2,https://www.soycuervo.com/,via contact form on soycuervo.com/contacto,Club commercial team,"Sole official online store of San Lorenzo de Almagro; physical stores at Boedo HQ (Av. La Plata) and Av. de Mayo 964 (downtown CABA); strong loyal supporter base (Big-5 club); customer service Mon-Sat 8-20","San Lorenzo Store at Av. La Plata + Av. de Mayo 964. Soy Cuervo soycuervo.com is e-comm channel. Chat, email and phone channels listed on site.",
Pasion Bostera,independent,national online (Boca-licensed),0,https://pasionbostera.com.ar/,via contact form,Owner-operator (licensed Boca reseller),"Licensed Boca Juniors apparel e-tailer; ships Boca official products nationwide; semi-independent so faster sign-off than the BocaShop official channel","Not the official BocaShop but a licensed reseller; useful parallel channel to reach the Boca fan base if the official shop is slow to respond.",
Auriazul Estudiantes Tienda Pincha,club-retail,La Plata + national online,1,https://tiendapincha.com.ar/,via contact form on tiendapincha.com.ar,Grupo Dabra commercial team,"Official Estudiantes de La Plata online store operated under Grupo Dabra; Estudiantes has a deep history (Verón family + 2024 Copa de la Liga winner); La Plata anchor","Operated by Grupo Dabra so route via Dexter contact path. Estudiantes de La Plata is widely considered a 'Big-6' club in Argentine football.",
Boca Shop Network Mundo Boca Shop,independent,national online,0,https://www.mundobocashop.com.ar/,via contact form,Owner-operator (licensed Boca reseller),"Licensed Boca Juniors merchandise reseller; smaller scale than BocaShop or Pasion Bostera but partner-minded; could pilot the prediction pool faster",Independent Boca-licensed e-tailer. Useful as a Boca channel test if BocaShop is unresponsive.,
DXT (DXTmania),independent,"Caballito CABA, Villa del Parque, Flores",3,https://www.dxt.com.ar/,dxtmania@gmail.com,Owner-operator,"Independent CABA sports retailer since 2006; 3 small stores Caballito + Villa del Parque + Flores; football focused inventory; family business so quick yes/no on partnerships",Phone +54 11 6991 7297. Av. Rivadavia 5896 Caballito flagship. Independent so faster decision-making.,+54 11 6991 7297
Factory Deportivo,independent,Belgrano CABA + national online,1,https://www.factorydeportivo.com.ar/,via contact form on factorydeportivo.com.ar,Owner-operator,"Independent multi-brand sports retailer at Av. Cabildo 1950 Belgrano (CABA); MercadoLibre Tienda Oficial; full Puma + adidas + Nike inventory including AFA kit","Av. Cabildo 1950 CABA. MercadoLibre channel under 'Factory Deportivo'. Independent scale.",
