name,tier,region,website,best_contact_email,best_contact_role,why_target,notes,phone
Vancouver FC,pro-mens-cpl,Langley BC,https://vancouverfc.canpl.ca/,info@vancouverfc.ca,General Office,Newest CPL club (2023); Willoughby Community Park base in Fraser Valley; growth-mode marketing org open to partnerships,Owned by Rob Friend / Josh Simpson (same group as Pacific); HQ 20800 80 Ave Langley BC,778-588-8444
York United FC,pro-mens-cpl,Toronto ON,https://yorkunitedfc.canpl.ca/,info@yorkunited.ca,General Office,Greater Toronto Area CPL side at York Lions Stadium; complements TFC coverage and serves underserved north-GTA fan base,Owned by Preben Ganzhorn; HQ 4700 Keele St York University Toronto ON; alt tickets@yorkunited.ca,416-736-5100
Canadian Premier League (CPL),pro-mens-cpl,Toronto ON,https://canpl.ca/,info@canpl.ca,League Office / Communications,Single-yes unlocks all 8 CPL clubs for a national WC2026 prediction-pool overlay,League HQ Toronto ON; commissioner Mark Noonan (ex-MLS); alt commercial@canpl.ca,(via website)
Northern Super League (NSL),pro-womens-nsl,Toronto ON,https://nsl.ca/,info@nsl.ca,League Office / Communications,Brand-new (2025) Canadian women's pro league - 6 clubs and growing; first WC2026 cycle is their breakout marketing moment,Founded by Diana Matheson + Christine Sinclair; alt press@nsl.ca; partnerships partnerships@nsl.ca,(via website)
AFC Toronto,pro-womens-nsl,Toronto ON,https://afctoronto.ca/,info@afctoronto.ca,General Office,NSL Toronto franchise; plays at York Lions Stadium and BMO Field shares; first season fan-acquisition mode,Owned by Tomi Poutanen / Algonquin Capital; alt tickets@afctoronto.ca,(via website)
Montreal Roses FC,pro-womens-nsl,Montréal QC,https://montrealrosesfc.ca/,info@montrealrosesfc.ca,General Office / Communications,NSL Montréal franchise launching 2025 at Stade Saputo (shared with CF Montréal); bilingual French/English market,Owned by Iris Gruson-Daniel + Maxime Pouliot group; HQ Stade Saputo Montréal QC,(via website)
Vancouver Rise FC,pro-womens-nsl,Vancouver BC,https://vancouverrise.ca/,info@vancouverrise.ca,General Office,NSL Vancouver franchise; plays at Willoughby/Swangard; rides Whitecaps women fan base; BC Place WC2026 overlap,Owned by Christine Sinclair ownership group,(via website)
Calgary Wild FC,pro-womens-nsl,Calgary AB,https://calgarywildfc.ca/,info@calgarywildfc.ca,General Office,Calgary NSL franchise at McMahon Stadium; same market as Cavalry FC,Founding NSL club 2025,(via website)
Ottawa Rapid FC,pro-womens-nsl,Ottawa ON,https://ottawarapidfc.ca/,info@ottawarapidfc.ca,General Office,Ottawa NSL franchise at TD Place; shares Lansdowne with Atlético Ottawa,Founding NSL club 2025,(via website)
Halifax Tides FC,pro-womens-nsl,Halifax NS,https://halifaxtidesfc.ca/,info@halifaxtidesfc.ca,General Office,Halifax NSL franchise at Wanderers Grounds; shares stadium ecosystem with HFX Wanderers,Founding NSL club 2025,(via website)
League1 Ontario,l1-ontario,Vaughan ON,https://league1ontario.com/,info@league1ontario.com,League Office,Province-wide D3 men's and women's pyramid with 24+ men's clubs and 22+ women's clubs; single yes unlocks the entire L1O membership for a WC2026 pool overlay,Owned by Ontario Soccer; commissioner Dino Rossi; alt media@league1ontario.com,905-264-9390
Vaughan Azzurri,l1-ontario,Vaughan ON,https://vaughanazzurri.com/,info@vaughanazzurri.com,General Office,Most successful L1O men's club (5x champions); Italian-Canadian heritage with strong Azzurri/Italy WC2026 narrative,HQ McNaughton Park Vaughan ON; youth pipeline feeds Toronto FC academy,(via website)
North Toronto Soccer Club,l1-ontario,Toronto ON,https://www.ntsoccer.com/,info@ntsoccer.com,General Office,One of Canada's largest single soccer clubs (3000+ members); L1O men's + women's + huge youth pyramid in midtown Toronto,HQ 200 Eglinton Ave W Toronto ON; alt office@ntsoccer.com,416-481-3525
Sigma FC,l1-ontario,Mississauga ON,https://sigmafc.ca/,info@sigmafc.ca,General Office,L1O academy-style club; Cyle Larin / Richie Laryea alumni; Mississauga base with strong CPL/MLS feeder reputation,Owner Bobby Smyrniotis; HQ Iceland Mississauga Park,(via website)
Alliance United FC,l1-ontario,Vaughan ON,https://allianceunitedfc.com/,info@allianceunitedfc.com,General Office,L1O men's + women's + youth pyramid; Vaughan-based with growing community footprint,Affiliated with Vaughan Soccer Club; (unverified email - check website contact form),(via website)
Master's FA,l1-ontario,Brampton ON,https://mastersfa.ca/,info@mastersfa.ca,General Office,Brampton-based L1O club with strong youth pipeline; sits inside Canada's most multicultural soccer market,HQ Brampton ON,(via website)
Burlington SC,l1-ontario,Burlington ON,https://burlingtonsc.com/,info@burlingtonsc.com,General Office,Long-established Burlington club with L1O men's + women's; massive youth membership,HQ 950 Walkers Line Burlington ON; (unverified email - use website contact form),905-639-1556
Darby FC,l1-ontario,Whitby ON,https://darbyfc.com/,info@darbyfc.com,General Office,Durham region L1O club; serves Whitby/Oshawa/Pickering corridor underserved by GTA pro options,HQ Whitby ON,(via website)
FC London,l1-ontario,London ON,https://fclondon.com/,info@fclondon.ca,General Office,L1O southwestern Ontario flagship at Cove Road; women's side is L1O W champion; college town fan base,HQ London ON; (unverified email),519-686-1011
Guelph United FC,l1-ontario,Guelph ON,https://guelphunitedfc.com/,info@guelphunitedfc.com,General Office,L1O Guelph men's + women's; university town with built-in student fan base,HQ Guelph ON,(via website)
Hamilton United,l1-ontario,Hamilton ON,https://hamiltonunited.ca/,info@hamiltonunited.ca,General Office,Hamilton-based L1O club; complements Forge FC in same market,HQ Hamilton ON; (unverified email),(via website)
Pickering FC,l1-ontario,Pickering ON,https://pickeringfc.com/,info@pickeringfc.com,General Office,Durham region L1O presence with strong youth pyramid,HQ Pickering ON; (unverified email),905-839-5635
ProStars FC,l1-ontario,Brampton ON,https://prostarsfc.com/,info@prostarsfc.com,General Office,Brampton/Mississauga L1O club; one of Canada's biggest youth feeder programmes,HQ Brampton ON,(via website)
Scrosoppi FC,l1-ontario,Vaughan ON,https://scrosoppifc.com/,info@scrosoppifc.com,General Office,Vaughan L1O newcomer with growing brand,HQ Vaughan ON,(via website)
Simcoe County Rovers FC,l1-ontario,Barrie ON,https://simcoecountyrovers.com/,info@simcoecountyrovers.com,General Office,Barrie-based L1O club; only pro-pathway football in central Ontario / Lake Simcoe corridor,HQ J.C. Massie Field Barrie ON,(via website)
St. Catharines Roma Wolves,l1-ontario,St. Catharines ON,https://stcatharinesroma.com/,info@stcatharinesroma.com,General Office,Niagara region L1O club with Italian-Canadian community ties,HQ St. Catharines ON; (unverified email),(via website)
Tecumseh SC,l1-ontario,Tecumseh ON,https://tecumshc.ca/,info@tecumshc.ca,General Office,Windsor-area L1O club; Canada/USA border community ideal for cross-border WC2026 narrative,HQ Tecumseh ON,(via website)
Unionville Milliken SC,l1-ontario,Markham ON,https://umsc.ca/,info@umsc.ca,General Office,Markham/York Region L1O club; large diverse youth membership,HQ Markham ON,905-477-3290
Windsor City FC,l1-ontario,Windsor ON,https://windsorcityfc.com/,info@windsorcityfc.com,General Office,Windsor L1O club at border with Detroit; cross-border WC2026 Co-host narrative is unique,HQ Windsor ON; (unverified email),(via website)
Woodbridge Strikers,l1-ontario,Woodbridge ON,https://woodbridgestrikers.com/,info@woodbridgestrikers.com,General Office,Vaughan/Woodbridge youth-heavy L1O club; Italian-Canadian heritage,HQ Woodbridge ON; (unverified email),905-851-6707
BVB IA Waterloo,l1-ontario,Waterloo ON,https://bvbia.ca/,info@bvbia.ca,General Office,Borussia Dortmund-affiliated L1O academy in Waterloo region; built-in Bundesliga / Germany WC2026 narrative,Affiliated with BVB International Academy,(via website)
Electric City FC,l1-ontario,Peterborough ON,https://electriccityfc.ca/,info@electriccityfc.ca,General Office,Peterborough L1O club; only pro-pathway football for Kawarthas region,HQ Peterborough ON,(via website)
Blue Devils FC,l1-ontario,Oakville ON,https://bluedevilsfc.com/,info@bluedevilsfc.com,General Office,Oakville L1O club with academy pipeline; affluent suburban catchment,HQ Oakville ON; (unverified email),(via website)
League1 BC,l1-bc,Burnaby BC,https://league1bc.com/,info@league1bc.com,League Office,BC provincial D3 men's + women's pyramid (8+ clubs); WC2026 host-province pool unlock,Owned by BC Soccer; commissioner Jason Jordan,(via website)
TSS FC Rovers,l1-bc,Richmond BC,https://tssfc.com/,info@tssfc.ca,General Office,Founding L1BC club; Surrey/Richmond academy pipeline; Whitecaps feeder,HQ Richmond BC,(via website)
Altitude FC,l1-bc,Coquitlam BC,https://altitudefc.com/,info@altitudefc.ca,General Office,Tri-Cities L1BC club; complements Whitecaps east of Vancouver,HQ Coquitlam BC,(via website)
Nautsa'mawt FC,l1-bc,North Vancouver BC,https://nautsamawtfc.com/,info@nautsamawtfc.ca,General Office,Indigenous-led L1BC club (Squamish Nation partnership); unique cultural reach into First Nations communities,HQ North Vancouver BC; (unverified email - use contact form),(via website)
Rivers FC,l1-bc,Maple Ridge BC,https://riversfc.ca/,info@riversfc.ca,General Office,Fraser Valley L1BC club at Maple Ridge,HQ Maple Ridge BC; (unverified email),(via website)
Unity FC,l1-bc,Burnaby BC,https://unityfc.ca/,info@unityfc.ca,General Office,Burnaby L1BC club; SFU/UBC student catchment,HQ Burnaby BC; (unverified email),(via website)
Varsity FC,l1-bc,Vancouver BC,https://varsityfc.ca/,info@varsityfc.ca,General Office,UBC-affiliated L1BC club; massive student audience,HQ UBC campus Vancouver BC; (unverified email),(via website)
Victoria Highlanders FC,l1-bc,Victoria BC,https://victoriahighlanders.com/,info@victoriahighlanders.com,General Office,Long-established Victoria club; L1BC men's + women's; Vancouver Island fanbase,HQ Royal Athletic Park Victoria BC,250-721-7200
Première ligue de soccer du Québec (PLSQ),l1-quebec,Montréal QC,https://plsq.ca/,info@plsq.ca,Bureau de la ligue / League Office,Quebec D3 men's + women's pyramid; bilingual French market and unique WC2026 angle in Canada's only Francophone province,League HQ Montréal QC; alt communications@plsq.ca,(via website)
AS Blainville,l1-quebec,Blainville QC,https://asblainville.com/,info@asblainville.com,Bureau / General Office,Most successful PLSQ club; multiple champion title-holder,HQ Blainville QC,(via website)
CS Mont-Royal Outremont,l1-quebec,Montréal QC,https://csmro.ca/,info@csmro.ca,Bureau / General Office,Montreal PLSQ club; deep youth pyramid in west-end Montreal,HQ Montréal QC,(via website)
CS Saint-Hubert,l1-quebec,Saint-Hubert QC,https://cssh.qc.ca/,info@cssh.qc.ca,Bureau / General Office,South Shore PLSQ club; Longueuil/St-Hubert catchment,HQ Saint-Hubert QC,(via website)
CS Saint-Laurent,l1-quebec,Saint-Laurent QC,https://cssl.qc.ca/,info@cssl.qc.ca,Bureau / General Office,Montreal PLSQ club with strong multicultural membership,HQ Saint-Laurent Montréal QC,(via website)
CS Longueuil,l1-quebec,Longueuil QC,https://cslongueuil.com/,info@cslongueuil.com,Bureau / General Office,South Shore Montreal PLSQ club,HQ Longueuil QC; (unverified email),(via website)
FC Laval,l1-quebec,Laval QC,https://fclaval.ca/,info@fclaval.ca,Bureau / General Office,Laval PLSQ club; north shore Montreal francophone market,HQ Laval QC; (unverified email),(via website)
CS Monteuil,l1-quebec,Laval QC,https://csmonteuil.com/,info@csmonteuil.com,Bureau / General Office,Laval PLSQ club; large youth pipeline,HQ Laval QC; (unverified email),(via website)
AS Chaudière-Ouest,l1-quebec,Lévis QC,https://aschaudiereouest.com/,info@aschaudiereouest.com,Bureau / General Office,Quebec City region PLSQ club; only pro-pathway club outside Montreal-Laval corridor,HQ Lévis QC; (unverified email),(via website)
CS Trois-Rivières,l1-quebec,Trois-Rivières QC,https://cstroisrivieres.com/,info@cstroisrivieres.com,Bureau / General Office,Mauricie PLSQ representation; bridges Montreal-Quebec City catchment,HQ Trois-Rivières QC; (unverified email),(via website)
Ontario Soccer,federation-provincial,Vaughan ON,https://www.ontariosoccer.net/,info@ontariosoccer.net,Provincial Office,Canada's largest provincial soccer association (380k+ registrants across 21 districts); WC2026 grassroots pool unlock at provincial scale,HQ 7601 Martin Grove Rd Vaughan ON L4L 9E4; alt communications@ontariosoccer.net,905-264-9390
Soccer Quebec (Fédération de Soccer du Québec),federation-provincial,Montréal QC,https://www.federation-soccer.qc.ca/,info@federation-soccer.qc.ca,Bureau provincial / Communications,Quebec provincial federation (170k+ joueurs); bilingual delivery and unique French angle,HQ 4545 Pierre-de-Coubertin Montréal QC; alt communications@federation-soccer.qc.ca,514-252-7216
BC Soccer,federation-provincial,Burnaby BC,https://www.bcsoccer.net/,info@bcsoccer.net,Provincial Office,WC2026 host-province federation; 150k+ registrants; direct line to youth associations across BC,HQ 8765 McKim Way Richmond BC; alt communications@bcsoccer.net,604-299-6401
Alberta Soccer Association,federation-provincial,Edmonton AB,https://www.albertasoccer.com/,info@albertasoccer.com,Provincial Office,Alberta provincial federation; 90k+ registrants across Calgary + Edmonton,HQ 11759 Groat Rd Edmonton AB; alt communications@albertasoccer.com,780-378-8000
Manitoba Soccer Association,federation-provincial,Winnipeg MB,https://www.manitobasoccer.ca/,info@manitobasoccer.ca,Provincial Office,Manitoba provincial federation; 25k+ registrants; Valour FC catchment,HQ 145 Pacific Ave Winnipeg MB,204-925-5792
Saskatchewan Soccer Association,federation-provincial,Saskatoon SK,https://www.sasksoccer.com/,info@sasksoccer.com,Provincial Office,Saskatchewan provincial federation; only WC2026 pool delivery channel in province,HQ 1860 Lorne St Regina SK; (unverified email - check website contact form),306-780-9225
Soccer New Brunswick,federation-provincial,Fredericton NB,https://www.soccernb.org/,info@soccernb.org,Provincial Office,New Brunswick provincial federation; bilingual English/French Maritime market,HQ 900 Hanwell Rd Fredericton NB,506-453-3036
Soccer Nova Scotia,federation-provincial,Halifax NS,https://www.soccerns.ns.ca/,info@soccerns.ns.ca,Provincial Office,Nova Scotia provincial federation; complements HFX Wanderers + Halifax Tides reach,HQ Halifax NS,902-444-9544
Soccer PEI,federation-provincial,Charlottetown PE,https://www.soccerpei.com/,info@soccerpei.com,Provincial Office,Prince Edward Island provincial federation; small but tight-knit Maritime soccer community,HQ Charlottetown PE,902-368-4985
Soccer Newfoundland and Labrador,federation-provincial,St. John's NL,https://www.soccernl.ca/,info@soccernl.ca,Provincial Office,Newfoundland & Labrador provincial federation; only WC2026 pool route in province,HQ 26 Anderson Ave St. John's NL,709-576-1414
Soccer Yukon,federation-provincial,Whitehorse YT,https://www.soccer.yk.ca/,info@soccer.yk.ca,Territorial Office,Yukon territorial federation; small but engaged northern community,HQ Whitehorse YT; (unverified email - check contact form),867-668-4236
Soccer Northwest Territories,federation-provincial,Yellowknife NT,https://www.soccernwt.ca/,info@soccernwt.ca,Territorial Office,NWT territorial federation; unique Indigenous-community reach in far north,HQ Yellowknife NT; (unverified email),867-669-8334
Soccer Nunavut,federation-provincial,Iqaluit NU,https://soccernunavut.ca/,info@soccernunavut.ca,Territorial Office,Nunavut territorial federation; smallest member but unique Inuit-community fan angle,HQ Iqaluit NU; (unverified email),(via website)
TFC Academy,youth-academy,Toronto ON,https://www.torontofc.ca/academy,academy@torontofc.ca,Academy Office,Top Canadian youth academy; pipeline produces MNT players; lives under TFC umbrella - dual-route into TFC partnerships,Part of MLSE; HQ KIA Training Ground Downsview Toronto ON; (unverified email - use TFC fanservices),416-360-4625
Vancouver Whitecaps Residency / Academy,youth-academy,Vancouver BC,https://www.whitecapsfc.com/academy/,academy@whitecapsfc.com,Academy Office,Top Western Canadian academy; Alphonso Davies alumnus; National Soccer Development Centre at UBC,Operated by Whitecaps FC; HQ NSDC at UBC Vancouver BC; (unverified email - escalate via Whitecaps info@),604-669-9283
CF Montréal Academy,youth-academy,Montréal QC,https://www.cfmontreal.com/en/academy,academie@cfmontreal.com,Académie / Academy Office,Top Quebec youth academy; bilingual French/English; produced Mathieu Choinière + Ismaël Koné,HQ Centre Nutrilait Montréal QC; alt academy@cfmontreal.com,514-328-3668
Brams United Girls SC,youth-academy,Brampton ON,https://bramsunited.com/,info@bramsunited.com,General Office,One of Canada's largest girls-only soccer clubs (4000+ members); WC2026 fan-engagement uplift will skew youth-female,HQ Brampton ON,905-456-9994
North Toronto Soccer Academy,youth-academy,Toronto ON,https://www.ntsoccer.com/,office@ntsoccer.com,Academy Office,Sister academy of NTSC L1O programme; covers midtown Toronto youth (5-18); huge member base,HQ Eglinton Toronto ON,416-481-3525
Surrey United SC,youth-academy,Surrey BC,https://www.surreyunited.com/,info@surreyunited.com,General Office,One of BC's largest youth clubs (5000+ members); Surrey is most multicultural BC city - WC2026 angle hits every nation,HQ Newton Athletic Park Surrey BC,604-572-0007
West Coast Auzzie SC,youth-academy,Vancouver BC,https://www.westcoastauzzie.com/,info@westcoastauzzie.com,General Office,Australian-founded BC youth club; Socceroos + Canada heritage fans,HQ Vancouver BC; (unverified email),(via website)
Coquitlam Metro-Ford SC,youth-academy,Coquitlam BC,https://www.cmfsc.ca/,info@cmfsc.ca,General Office,Tri-Cities BC youth giant (3000+ members); major Whitecaps feeder,HQ Coquitlam BC,604-936-1555
North Shore Girls SC,youth-academy,North Vancouver BC,https://nsgsc.com/,info@nsgsc.com,General Office,One of Canada's largest girls clubs; NSL Vancouver Rise local feeder,HQ North Vancouver BC,604-980-7878
Calgary Foothills SC,youth-academy,Calgary AB,https://calgaryfoothillssc.com/,info@calgaryfoothillssc.com,General Office,Largest Calgary youth club; Cavalry FC feeder; USL League Two alumni,HQ Macron Performance Centre Calgary AB,403-282-5076
Edmonton Scottish SC,youth-academy,Edmonton AB,https://edmontonscottish.com/,info@edmontonscottish.com,General Office,One of Edmonton's largest community soccer clubs; Scottish heritage with built-in Scotland/UK narrative,HQ Edmonton AB,780-435-1361
Calgary West Soccer Club,youth-academy,Calgary AB,https://calgarywest.com/,info@calgarywest.com,General Office,One of Calgary's biggest youth clubs (4000+ members),HQ Calgary AB,403-686-4030
Lakeshore SC,youth-academy,Etobicoke ON,https://lakeshoresoccer.ca/,info@lakeshoresoccer.ca,General Office,Etobicoke/west-Toronto youth giant; founder of Project Play youth pipeline,HQ Etobicoke ON,416-503-2237
Erin Mills Soccer Club,youth-academy,Mississauga ON,https://erinmillssoccer.com/,info@erinmillssoccer.com,General Office,Major Mississauga youth club; thousands of members in Peel region,HQ Mississauga ON,905-820-9220
ANB Futbol,youth-academy,Edmonton AB,https://anbfutbol.com/,info@anbfutbol.com,General Office,Top Edmonton academy; pipeline produces Whitecaps + Forge alumni,HQ Edmonton AB,(via website)
Oakville Soccer Club,youth-academy,Oakville ON,https://oakvillesoccer.ca/,info@oakvillesoccer.ca,General Office,Canada's largest single soccer club (8000+ members); Oakville affluent suburban base,HQ Pine Glen Park Oakville ON,905-849-8424
Markham Soccer Club,youth-academy,Markham ON,https://markhamsoccer.com/,info@markhamsoccer.com,General Office,Markham/York Region youth giant; diverse member base,HQ Markham ON,905-475-7355
Richmond Hill Soccer Club,youth-academy,Richmond Hill ON,https://rhsc.ca/,info@rhsc.ca,General Office,York Region youth giant (4000+ members),HQ Richmond Hill ON,905-770-3133
Vaughan Soccer Club,youth-academy,Vaughan ON,https://vaughansoccer.ca/,info@vaughansoccer.ca,General Office,Vaughan youth giant; Italian-Canadian community core; sister to Vaughan Azzurri L1O,HQ Vaughan ON,905-264-9390
Lac St-Louis Lakers,youth-academy,Montréal QC,https://lacstlouis.qc.ca/,info@lacstlouis.qc.ca,Bureau / General Office,One of Quebec's largest youth clubs; West Island Montreal base; bilingual,HQ Pointe-Claire QC,514-630-1239
ARS FC (Anjou-Rivière-des-Prairies),youth-academy,Montréal QC,https://www.arsfc.ca/,info@arsfc.ca,Bureau / General Office,East Montreal youth giant; multicultural francophone community,HQ Montréal QC; (unverified email),(via website)
USports Men's Soccer,usports,Toronto ON,https://usports.ca/en/sports/msoc,info@usports.ca,National Office,National university sport body; men's soccer hosts 50+ varsity programmes; campus-wide WC2026 viewing-party scale,HQ Toronto ON; alt communications@usports.ca,416-998-8164
USports Women's Soccer,usports,Toronto ON,https://usports.ca/en/sports/wsoc,info@usports.ca,National Office,National university sport body; women's soccer 50+ varsity programmes; first WC2026 cycle alongside NSL launch,HQ Toronto ON,416-998-8164
University of Toronto Varsity Blues Soccer,usports,Toronto ON,https://varsityblues.ca/sports/msoccer,athletics@utoronto.ca,Athletics Department,Largest Canadian university; Toronto campus next to BMO Field; built-in WC2026 student audience,Faculty of KPE athletics; (unverified - escalate via main athletics),416-978-3437
University of British Columbia Thunderbirds Soccer,usports,Vancouver BC,https://gothunderbirds.ca/sports/msoc,athletics@ubc.ca,Athletics Department,UBC men's + women's; National Soccer Development Centre on campus shared with Whitecaps; BC Place WC2026 catchment,War Memorial Gym UBC Vancouver BC; (unverified email),604-822-3688
McGill University Martlets / Redbirds Soccer,usports,Montréal QC,https://mcgillathletics.ca/sports/msoc,athletics@mcgill.ca,Athletics Department,McGill bilingual student body; Montreal campus near Olympic Stadium WC2026 contingency,HQ McGill Sports Centre Montréal QC; (unverified email),514-398-7000
Université de Montréal Carabins Soccer,usports,Montréal QC,https://carabins.umontreal.ca/equipes/soccer-m,carabins@umontreal.ca,Athletics Department,Largest francophone Quebec university; Olympic Stadium adjacency,HQ CEPSUM Montréal QC; (unverified email),514-343-6160
York University Lions Soccer,usports,Toronto ON,https://yorkulions.ca/sports/msoc,athletics@yorku.ca,Athletics Department,York University Lions Stadium hosts York United FC + AFC Toronto; built-in campus + pro overlap,HQ York Lions Stadium Toronto ON; (unverified email),416-736-5185
Carleton University Ravens Soccer,usports,Ottawa ON,https://gocravens.ca/sports/msoc,athletics@cunet.carleton.ca,Athletics Department,Ottawa campus near TD Place (Atlético Ottawa); strong intl student base,HQ Carleton University Ottawa ON; (unverified email),613-520-4480
University of Ottawa Gee-Gees Soccer,usports,Ottawa ON,https://geegees.ca/sports/msoc,athletics@uottawa.ca,Athletics Department,Bilingual Ottawa university; complements Carleton for capital-city campus reach,HQ Montpetit Hall Ottawa ON; (unverified email),613-562-5800
University of Alberta Golden Bears / Pandas Soccer,usports,Edmonton AB,https://www.bears.ualberta.ca/sports/msoc,athletics@ualberta.ca,Athletics Department,Largest Alberta university; Edmonton campus; ANB Futbol pipeline,HQ Foote Field Edmonton AB; (unverified email),780-492-2231
University of Calgary Dinos Soccer,usports,Calgary AB,https://godinos.com/sports/msoc,athletics@ucalgary.ca,Athletics Department,Calgary university; Cavalry FC + Calgary Foothills SC pipeline,HQ McMahon Stadium area Calgary AB; (unverified email),403-220-7749
Western University Mustangs Soccer,usports,London ON,https://www.westernmustangs.ca/sports/msoc,athletics@uwo.ca,Athletics Department,Western Ontario flagship; FC London adjacency; massive student fan base,HQ Western University London ON; (unverified email),519-661-3092
McMaster University Marauders Soccer,usports,Hamilton ON,https://marauders.ca/sports/msoc,athletics@mcmaster.ca,Athletics Department,Hamilton university; Forge FC adjacency; Tim Hortons Field 5 minutes away,HQ McMaster Hamilton ON; (unverified email),905-525-9140
Queen's University Gaels Soccer,usports,Kingston ON,https://gogaelsgo.com/sports/msoc,athletics@queensu.ca,Athletics Department,Kingston university with deeply engaged student body and alumni network,HQ Richardson Stadium Kingston ON; (unverified email),613-533-2500
University of Waterloo Warriors Soccer,usports,Waterloo ON,https://athletics.uwaterloo.ca/sports/msoc,athletics@uwaterloo.ca,Athletics Department,Waterloo campus; BVB IA Waterloo + intl tech student base,HQ Warrior Field Waterloo ON; (unverified email),519-888-4567
Laurentian University Voyageurs Soccer,usports,Sudbury ON,https://laurentianvoyageurs.ca/sports/msoc,athletics@laurentian.ca,Athletics Department,Bilingual northern Ontario university; only USports soccer programme north of Barrie,HQ Sudbury ON; (unverified email),705-675-1151
Cape Breton University Capers Soccer,usports,Sydney NS,https://gocapersgo.ca/sports/msoc,athletics@cbu.ca,Athletics Department,Multi-time USports champion (men's + women's); Cape Breton has zero pro options - WC2026 pool fills the gap,HQ Cape Breton University Sydney NS; (unverified email),902-563-1500
St. Francis Xavier University X-Men Soccer,usports,Antigonish NS,https://goxgo.ca/sports/msoc,athletics@stfx.ca,Athletics Department,Antigonish tight-knit alumni network; Atlantic Canada anchor,HQ St. FX University Antigonish NS; (unverified email),902-867-2000
Dalhousie University Tigers Soccer,usports,Halifax NS,https://daltigers.ca/sports/msoc,athletics@dal.ca,Athletics Department,Halifax campus next to HFX Wanderers + Halifax Tides FC; multi-team WC2026 collab potential,HQ Dalplex Halifax NS; (unverified email),902-494-2152
