name,type,regions,store_count,website,best_contact_email,best_contact_role,why_target,notes,phone
Schuh,chain,UK + Ireland 114 stores,114,https://www.schuh.co.uk/,info@schuh.co.uk,Customer Service / Marketing,"UK-Ireland footwear chain (97 standalone + 17 schuh|kids); stocks adidas Samba/Gazelle and Nike lifestyle ranges popular as casual-football fashion during WC2026; broad family appeal makes prediction-pool prizes (boots / trainers) easy to fulfil","Schuh Limited; HQ + distribution centre in Livingston, Scotland (Suite 2, 4 Bankhead Medway, EH11 4BY). Press office + design studio in London. Owned by Genesco Inc (NYSE: GCO) since June 2011 (£125m deal).",0131 226 7407
Sportsshoes.com,e-tailer,Bradford HQ + UK-wide online,0 (online only),https://www.sportsshoes.com/,custserv@sportsshoes.com,Customer Service / Marketing,"UK's largest specialist running + fitness e-tailer with strong football-boot and grassroots-football footprint; 17,000+ products across 150 brands incl Nike, adidas, Puma, Asics football boots; £2.5m Bradford tech hub opened 2023","Founded 1982 as Bannister Sports by Bradford City FC striker Bruce Bannister. HQ Unit 1 The Park, Jubilee Way, Bradford, BD18 1QG. Press/marketing inbox marketing@sportsshoes.com. Sponsors British Milers Club.",01274 530 530
Lovell Sports / Lovell Soccer,e-tailer,Paignton Devon + online (Frasers Group),0 (online only),https://www.lovellsoccer.co.uk/,help@lovellsoccer.co.uk,Customer Service / Frasers Group,"Football-first e-tail brand; deep Nike + adidas + Puma football boot range; Frasers Group-owned so prediction-pool integration could roll across Sports Direct, Lovell, Sweatshop together","Lovell Sports Limited (registered 04184358). Registered address Unit A, Brook Park East, Shirebrook, NG20 8RY (shared with Frasers). Operations based in Paignton, Devon. Also runs Lovell Rugby and Lovell Running (the former Sweatshop).",
Sweatshop,chain,UK-wide stores (now branded Lovell Running) + online,~12,https://www.sweatshop.com/,help@sweatshop.com,Customer Service / Frasers Group,"UK's longest-running running specialist (founded 1971 by Chris Brasher); now folded into Lovell Sports under Frasers Group; carries football-conditioning training kit; running-shop customer base is a parallel prediction-pool audience","Now operating under Lovell Sports (Frasers Group). Original founder Chris Brasher (1971, Teddington). Sports Direct took majority stake 2014. Stores convert/co-locate with Frasers fascias.",
Decathlon Kipsta,chain,inside Decathlon UK stores,inside ~40,https://www.decathlon.co.uk/Y_24-football,customer.services@decathlon.com,Kipsta UK Brand Manager / Decathlon Press,"Decathlon's own football brand (boots, balls, kits, training gear); dominant value-tier football brand in UK grassroots; ideal prediction-pool prize stack (cheap to fulfil, large catchment)","Kipsta is the Decathlon-internal football brand, not a separate company. Outreach goes via Decathlon UK head office (Surrey Quays). Trial-marketing partnerships go via UK Sports Markets team.",
Classic Football Shirts,independent,Manchester + London + 3 US stores (NY, LA, Miami) + online,5,https://www.classicfootballshirts.co.uk/,info@classicfootballshirts.co.uk,Doug Bierton (founder/CEO) and Matthew Dale (co-founder),"World's largest classic and vintage football shirt collection; Manchester Northern Quarter + London flagships; explicitly built for football culture audience; pre-WC2026 retro-shirt drops will be a major social moment; deep press/social reach","Founded 2006 in Manchester. HQ + warehouse 75,000 sqft Dukinfield, Greater Manchester. Raised $38.5m from The Chernin Group (2023) for global growth. CEO Doug Bierton. Trading entity Classic Football Shirts Ltd. London store at 282 Portobello Road W10. PR led by an in-house team.",0161 974 0300
Subside Sports,independent,Newton Abbot Devon HQ + Berlin shop + online,2,https://www.subsidesports.com/uk/,sales@subsidesports.com,Owner-operator,"UK-origin official football kit specialist since 1990s; stocks 600+ club shirts incl every WC2026 national team Nike/adidas drop; in-house shirt printing means they can produce custom WC2026 prediction-pool prize shirts at zero margin loss","Subside Sports Limited (registered 02997394). HQ 50-54 The Square, Chagford, Newton Abbot, Devon, TQ13 8AH. Sister operations in Berlin, Holland, Switzerland, Australia, US. Sells under subsidesports.com (UK/EU) and subside.com.au (AU).",01647 433 700
Soccer Box,independent,Stafford / Staffordshire HQ + online,1,https://www.soccerbox.com/,enquiries@soccerbox.com,Owner-operator,"UK football kit e-tailer shipping internationally since 1997; authorised stockist for Nike + adidas + Puma + New Balance + Joma; broad WC2026 national-team replica range; runs custom-printing service ideal for prediction-pool prize fulfilment","Soccer Box is based in Stafford, Staffordshire, not Manchester (common misattribution). Trading since 1997. Independent-owned. Direct shipping globally.",01785 244 555
UKSoccerShop,e-tailer,Hamilton Scotland HQ + global online,0 (online only),https://www.uksoccershop.com/,info@uksoccershop.com,Simon Pretswell (founder/owner),"Scottish-founded global football apparel e-tailer; 4,000+ products from national + international clubs; one of the largest football-only e-tailers in the world; in-house printing means custom WC2026 prediction-pool kit prizes are easy","UKSoccerShop Limited (registered SC403403). HQ 42 Mote Hill, Hamilton, North Lanarkshire, ML3 6EF. Founded 2004 by Simon Pretswell. Scottish-incorporated.",0844 332 1221
Kitbag (Fanatics),e-tailer,Manchester HQ + global online (powers many club stores),0 + powers ~50 official club stores,https://www.kitbag.com/en/,customer.services@kitbag.com,Customer Services / Fanatics International,"Fanatics-owned operator of official football shop infrastructure across the UK; runs official online stores for many EPL + EFL clubs; one yes here is leverage across dozens of official club shop fronts simultaneously","Kitbag Limited; trades as Fanatics in the UK. Owned by Fanatics (US-private, founded 2011). UK ops at Greengate, Middleton, Manchester M24. Sister entity Fanatics (International) Limited (registered 05933624). Powers official online retail for Liverpool, Spurs, Aston Villa and many more under white-label arrangements.",0345 408 4307
The Soccer Store,independent,Crewe Cheshire HQ + online,1,https://www.thesoccerstore.co.uk/,sales@thesoccerstore.co.uk,Owner-operator / Schools & Clubs Sales,"UK B2B-first football retailer; supplies football kit, goals and training equipment to schools, clubs, professional academies nationally; deep grassroots reach for a WC2026 schools prediction-pool angle","HQ Unit A6 First Business Park, 1st Avenue, Crewe, Cheshire, CW1 6BG. Schools and clubs channel is the unlock.",01270 252 333
ProKit UK,independent,"Romford (Harold Wood) + Cambridge United South Stand store + online",2,https://www.prokituk.com/,info@prokituk.com,Owner-operator,"East London + Essex football specialist; stocks football boots, goalkeeper gloves, base layer and training kit from Nike, adidas, Macron, Joma, Mitre, Prostar; second store inside Cambridge United FC = built-in club community","ProKit UK Limited (registered 06464030). HQ Unit 10a The Old Brickworks, Church Road, Harold Wood, Essex, RM3 0HU. Second location South Stand, Cambridge United FC, Newmarket Road. Independent.",01708 380 999
Direct Soccer,independent,Scotland + UK-wide B2B,1,https://www.directsoccer.co.uk/,sales@directsoccer.co.uk,Owner-operator / Teamwear Sales,"Scottish-founded football teamwear specialist since 1997; partnerships with Nike, adidas, Joma, Mitre; full in-house customisation; deep club + youth-football channel for WC2026 grassroots prediction-pool play","30+ years trading. Strong club channel. In-house print + embroidery.",01563 530 300
The Soccer Shop Direct,independent,Scotland (online + teamwear),0 (online),https://www.thesoccershopdirect.co.uk/,sales@thesoccershopdirect.co.uk,Owner-operator,"Scotland-based football teamwear specialist; club shops + personalisation channel; fits WC2026 grassroots / community-club outreach in Scotland","Independent Scottish operator. Sister-feel to Direct Soccer but distinct entity. Club-shop infrastructure mirrors WC2026 prediction-pool model well.",
Footy.com,e-tailer,UK price-comparison + affiliate (Lovell Soccer sister product),0 (online comparison),https://www.footy.com/,team@footy.com,Editorial / Marketing Director,"UK football boot price-comparison site comparing 150+ retailers; massive organic search footprint on every Nike + adidas + Puma football boot SKU; affiliate model means prediction-pool referral fits their existing creator-economy partnerships","Independent UK editorial team. Lists deals from Pro:Direct, Sports Direct, Lovell, Nike, adidas. Built as the football boot equivalent of Skyscanner.",
Excell Sports,e-tailer,UK online,0 (online),https://www.excell-sports.com/,sales@excell-sports.com,Customer Service,"UK sportswear e-tailer carrying football, rugby, running, fitness ranges; broad WC2026 replica jersey and boot inventory","Independent. Smaller-scale e-tailer suited to a fast-yes partnership.",
Greaves Sports,independent,"Glasgow flagship (23 Gordon Street, 6 floors, 30,000 sqft)",1,https://www.greavessports.com/,info@greavessports.com,Greaves family (5th-generation, on the board),"Largest independent sports retailer in Scotland; family-run since 1930s; Glasgow Style Mile flagship is a landmark; specialist football range alongside running, golf, swimming; perfect Glasgow / Scotland WC2026 anchor (Tartan Army travelling support angle)","Greaves Sports Limited (registered SC036674). Founded 1930s as Clydesdale Rubber Company. Rebranded Greaves Sports 1967. Family-owned. Flagship 23 Gordon Street, Glasgow G1 3PS.",0141 248 4942
Soccer Scene,independent,"London (Carnaby Street, historic Oxford St and Covent Garden)",1,https://www.soccerscene.co.uk/,info@soccerscene.co.uk,Owner-operator,"London-original football specialist (founded 1980, Carnaby Street); deep Soho tourist + commuter foot traffic during WC2026; reputational original 'speciality football shop' brand in the UK","Founded 1980. Carnaby Street flagship at 56-57 W1F 9QF. Soho destination. NB: independent verifications differ on current trading status of physical Carnaby store; confirm before in-person visit. Online presence remains active.",020 7439 0778
Up & Running,chain,UK-wide,29,https://upandrunning.co.uk/,enquiries@upandrunning.co.uk,Customer Service / Gillian and Dennis Macfarlane (founders),"UK's biggest independent running shop chain (29 stores from Harrogate HQ); strong Northern + Yorkshire / Scotland footprint; running-customer overlap with grassroots football and amateur sport WC2026 audience","Up and Running (UK) Limited (registered SC427543). Founded 1992 in Harrogate by Gillian + Dennis Macfarlane. Stocks Asics, Brooks, NB, Saucony. Free in-store gait analysis.",01423 569 999
Run4It,chain,Scotland (7 stores + online),7,https://www.run4it.com/,info@run4it.com,Owner-operator,"Scotland's largest independent specialist running retailer; 7 doors across Glasgow, Edinburgh, Aberdeen, Dundee, Stirling; Scottish running community overlap with Tartan Army WC2026 audience","Independent Scottish operator. Strong club + community-running relationships in Scotland.",0131 313 5300
Sweatband.com,e-tailer,UK online,0 (online),https://www.sweatband.com/,info@sweatband.com,Customer Service,"UK racket/team sports e-tailer with broad football boot + training kit range; well-known affiliate partner in the UK sports-deals ecosystem","Independent UK e-tailer. Long-running affiliate partner.",
GO Outdoors,chain,UK-wide (75+ stores),75,https://www.gooutdoors.co.uk/,helpdesk@gooutdoors.co.uk,Customer Service / JD Sports Outdoor Division,"Outdoor + sports superstore chain; carries football boots, balls, training kit alongside camping/walking; large-format stores attract families which is the prediction-pool sweet spot; JD Sports group means same head-office unlock as JD","Owned by JD Sports Fashion plc (since 2016 acquisition + 2020 pre-pack). HQ Sheffield. CEO of JD's outdoor division leads GO + Blacks + Millets.",0844 387 6600
Manchester United Megastore / store.manutd.com,club-retail,Old Trafford Megastore + online (Adidas-partnered),1,https://store.manutd.com/en,megastore@manutd.co.uk,Megastore Retail Team,"Premier League's most globally followed club; Megastore at Old Trafford is one of the most-visited stadium retail destinations in football; carries WC2026 Argentina (Garnacho/Martinez), Portugal (Bruno Fernandes), Brazil (Casemiro) national kits; massive social reach for branded prediction pool","Operated in partnership with adidas (Adidas is on-shirt sponsor). United Store online customer service via store@manutd.co.uk and 0333 014 4543.",0161 868 8684
Liverpool FC Retail (store.liverpoolfc.com),club-retail,"Anfield Stadium Store + Liverpool ONE store + Williamson Square + Belfast + Dublin + Singapore + online (Nike-partnered)",6 UK,https://store.liverpoolfc.com/,contactus@liverpoolfc.com,Retail Customer Service Team,"Reigning Premier League power; deep Nike partnership for WC2026 federation kits (Brazil, England, Netherlands worn by LFC stars); 6 UK stores incl Anfield + Liverpool ONE Superstore; one of the highest-trafficked club retail networks in England","Phone 0151 264 2500. Stadium store Anfield Road, Liverpool L4 0TH. Liverpool ONE Superstore at 7 South John Street L1 8BU. Williamson Square flagship at 11 Williamson Square L1 1EQ.",0151 264 2500
Arsenal Direct (Armoury Store),club-retail,"Emirates Stadium (Armoury + Highbury House) + online (Adidas-partnered)",2,https://arsenaldirect.arsenal.com/,via /contactUs form on arsenaldirect.arsenal.com,Arsenal Direct Customer Service Team,"Premier League title contender with deep Adidas partnership for WC2026 Spain (Merino, Martin Zubimendi) + France (Saliba) federation kits; Armoury at Emirates is a London destination on matchdays + tourist non-matchdays","Operated by Arsenal FC directly. The Armoury is below the podium at the west side of Emirates Stadium. Partnerships team partnerships@arsenal.co.uk for commercial inquiries. Member services 0345 262 0001.",0345 262 0001
Chelsea Megastore,club-retail,Stamford Bridge Megastore + online (Nike-partnered),1,https://www.chelseafc.com/en/stadium-megastore,via shop.chelseafc.com,Megastore Manager / Stichd (PUMA group operates online),"Chelsea Megastore at Stamford Bridge reopened post-refurb 2023; Nike partnership covers WC2026 Brazil + Croatia + USA federation kits worn by Chelsea internationals; central London matchday + tourist destination","Megastore at Stamford Bridge, Fulham Road, London SW6 1HS. Phone 0871 984 1955. Online customer service +44 333 331 2061 (24/7).",0871 984 1955
Manchester City CityStore,club-retail,"Etihad Stadium CityStore + Manchester Arndale + online (operated by Stichd / PUMA group)",2,https://shop.mancity.com/,shop@mancity.com,CityStore Customer Service / Stichd,"Premier League champions; CityStore at Etihad and Arndale; PUMA on-shirt partner covers Manchester City and several WC2026 federations (Switzerland, Czech Republic, Senegal); webshop operated by Stichd (PUMA group, licensed merchandise)","Etihad Stadium, Etihad Campus, Manchester M11 3FF. Etihad store phone +44 161 438 7808. Etihad store email customerservice.mc@stitched.com. Fanatics-operated store email customer.services@kitbag.com.",0161 438 7808
Tottenham Hotspur Spurs Shop,club-retail,Tottenham High Road Stadium store + online (Nike-partnered),1,https://shop.tottenhamhotspur.com/,via shop.tottenhamhotspur.com/contactus,Spurs Shop Retail Team,"North London Premier League club; Nike partnership for WC2026 incl Korea (Son Heung-min) federation kit (huge Asian fan reach); destination stadium store opens 7 days a week; built-in tourist + matchday foot traffic","Lilywhite House, 782 High Road, London N17 0BX. Stadium shop Monday-Saturday 9.30am-5.30pm. E-comm powered by Fanatics/Kitbag infrastructure.",0344 499 5000
Newcastle United Official Store,club-retail,St James' Park Megastore (Adidas-partnered) + Metrocentre + online,2,https://shop.newcastleunited.com/,onlinestore@newcastleunited.co.uk,Retail Director / Adidas partnership,"Newly opened St James' Park flagship (Oct 2024); strong adidas partnership for WC2026 Germany, Italy, Belgium federation kits; passionate Tyneside fanbase = high prediction-pool engagement; club is PIF / Saudi-owned, fast-moving on commercial deals","Two-storey Gallowgate End flagship opened October 2024 with adidas. Metrocentre store revamped November 2024. NUFC commercial team based at St James' Park, Newcastle upon Tyne, NE1 4ST.",0344 372 1892
Everton FC Store (Everton Direct),club-retail,"Everton One (Goodison) + Everton Two (Liverpool ONE) + online (Hummel-partnered)",2,https://evertondirect.evertonfc.com/en/,evertondirect@evertonfc.com,Everton Direct Retail Team,"Premier League side moving into Bramley-Moore Dock 2025-26; two flagship retail doors; Hummel kit partnership offers a distinctive WC2026 prize stack (Denmark federation kit fits Hummel range); strong Merseyside fan base","Goodison Park: Goodison Road, Liverpool L4 4EL. Liverpool ONE: South John Street upper level. Main switchboard 0151 666 0101.",0151 530 5252
West Ham United Stadium Store,club-retail,London Stadium Stratford + online (Umbro / Sondico-style partner),1,https://shop.whufc.com/,onlinestore@westhamunited.co.uk,Retail Customer Service Team,"East London Premier League club; London Stadium location off Queen Elizabeth Olympic Park; strong matchday foot traffic; current commercial team open to brand activations","London Stadium, Queen Elizabeth Olympic Park, London E20 2ST. Phone 020 8548 2794.",020 8548 2794
Aston Villa Store (Villa Store),club-retail,"Villa Park + Birmingham Bullring/Grand Central + online (Castore-partnered)",2,https://shop.avfc.co.uk/en/,via shop.avfc.co.uk help,Villa Store Retail Team,"Birmingham-anchored Premier League club; Castore kit partner; Bullring + Grand Central New Street stores deliver city-centre foot traffic; growing Champions League brand makes commercial partnership receptive","Bullring/Grand Central store 140-145 New Street, Birmingham B2 4NS. Online retail support 0330 053 6010. Stadium store Trinity Road, Birmingham B6 6HE.",0121 326 1559
Rangers Megastore,club-retail,Ibrox Stadium + Buchanan Galleries Glasgow + online (Castore-partnered + operated under Sports Direct/Frasers),2,https://www.rangersmegastore.com/,via help.rangersmegastore.com,Megastore Customer Service / Frasers Group,"Glasgow Scottish Premiership giant; megastore runs under Sports Direct (Frasers Group) operating partnership; Castore on-shirt; Scottish fanbase travels globally for WC2026 (no Scotland qualification = neutral WC2026 audience); Frasers Group head office is the contractual unlock","Ibrox Stadium, Glasgow G51 2XD. Phone +44 141 427 4444. Operated commercially under Sports Direct (Frasers Group). Same head-office route as Sports Direct.",0141 427 4444
Celtic FC Store,club-retail,Glasgow flagship (12-18 Queen Street) + Celtic Park Superstore + online (Adidas-partnered),9 across Scotland + N Ireland,https://store.celticfc.com/,store@celticfc.co.uk,Official Celtic Store Customer Service,"Scottish Premiership giant; new Queen Street flagship opened Sept 2025; adidas-partnered kit (overlap with WC2026 Argentina, Germany, Belgium federation kits); 9 store retail network in Scotland and Northern Ireland","Flagship 12-18 Queen Street, Glasgow opened 24 September 2025. Superstore at Celtic Park, Kerrydale Street. Phone 0141 230 1967 (Option 2, then 1).",0141 230 1967
Manchester United Official Store (online),club-retail,store.manutd.com global online (Fanatics-powered),0 (online),https://store.manutd.com/en,store@manutd.co.uk,Online Store Customer Service,"Global digital retail surface for Man Utd; complements the Old Trafford Megastore; vast international fanbase = prediction-pool angle reaches Asia, Africa, Americas; United is the most globally followed Premier League club","Online store customer service 0333 014 4543. United Shirt printing service runs WC2026 personalisation. Operationally adjacent to Megastore but on Fanatics/Kitbag rails.",0333 014 4543
