name,medium,country,language,audience_size,website,best_contact_email,best_contact_role,why_target,notes,handle
Men in Blazers,podcast,USA,en,~500k weekly downloads,https://www.meninblazers.com/,info@meninblazers.com,Production Office,"Roger Bennett's flagship US soccer-culture pod; tied to NBC then independent; brand-friendly","Estimate from public Apple charts; Men in Blazers Media; ad + brand",@meninblazers
Fox Soccer,youtube,USA,en,~600k YT subs,https://www.youtube.com/@FOXSoccer,(via Fox Press),Brand Partnerships,"Fox holds US 2026 WC rights; primary US WC channel","Verified YT subs; Fox Corporation; ad + sponsorship",@FOXSoccer
Fox Sports US,traditional-broadcast,USA,en,~70M cable + streaming reach,https://www.foxsports.com/soccer,programming@fox.com,Programming Office,"Fox is the US WC 2026 English-language rights holder; partner-priority","Comscore; Fox Corporation; ad",@FOXSports
Telemundo Deportes,traditional-broadcast,USA,es,~60M cable + streaming reach,https://www.telemundodeportes.com/futbol,info@telemundo.com,Sports Programming,"Telemundo holds US Spanish-language WC 2026 rights; massive Hispanic audience","Comscore; NBCUniversal/Comcast; ad",@TelemundoDeportes
ESPN Deportes,traditional-broadcast,USA,es,~25M cable + streaming reach,https://www.espndeportes.com/,(via ESPN press),Programming Office,"ESPN's Spanish-language US channel; daily football across Liga MX EPL LaLiga","Comscore; Disney; ad + subscription",@ESPNDeportes
Major League Soccer (MLS),youtube,USA,en,~1M YT subs,https://www.youtube.com/@MLS,partnerships@mlssoccer.com,Brand Partnerships,"Official MLS channel; co-host US for 2026; partner-friendly","Verified YT subs; MLS LLC; ad + sponsorship",@MLS
US Soccer,youtube,USA,en,~500k YT subs,https://www.youtube.com/@USSoccer,partnerships@ussoccer.org,Brand Partnerships,"US Soccer Federation; host nation rights; partner-priority","Verified YT subs; USSF; partnership + ad",@USSoccer
Total Soccer Show,podcast,USA,en,~150k weekly downloads,https://totalsoccershow.com/,taylor@totalsoccershow.com,Taylor Rockwell,"US-centric coverage of European football; long-running daily pod","Estimate from Apple/Spotify; Total Soccer Show LLC; ad + Patreon",@TotalSoccerShow
The Cooligans,podcast,USA,en,~80k weekly downloads,https://thecooligans.com/,info@thecooligans.com,Production Office,"Comedy-USMNT pod; younger audience; brand-friendly","Estimate from Apple charts; independent; ad + Patreon",@thecooligans
American Soccer Now,newsletter,USA,en,~25k subscribers,https://americansoccernow.com/,john@americansoccernow.com,John Godfrey,"Long-running US soccer industry newsletter and site","Estimate from publisher; ASN Media; ad + subscription",@AmerSoccerNow
The Striker (Athletic US),newsletter,USA,en,~70k subscribers,https://theathletic.com/newsletters/the-striker/,uksport@theathletic.com,US Soccer Editor,"Athletic's US soccer newsletter; Pablo Maurer and Paul Tenorio","Estimate from Athletic; The Athletic/NYT; subscription",@TheAthleticFC
Grant Wahl Substack archive (Futbol with Grant Wahl),substack,USA,en,~120k subscribers (legacy),https://grantwahl.substack.com/,(via Substack profile),Editorial Estate,"Late Grant Wahl's archive maintained by his estate; large US soccer subscriber base","Estimate from Substack; subscription + free",@grantwahl
Daniel Feuerstein,substack,USA,en,~15k subscribers,https://feuerstein.substack.com/,danielfeuerstein@substack.com,Author,"US soccer industry reporter; MLS/NWSL focus","Estimate from Substack; subscription + free",@FeuersteinD
The Athletic Soccer (US),traditional-newspaper,USA,en,~1.2M Athletic subscribers,https://theathletic.com/soccer/,uksport@theathletic.com,US Soccer Editor,"Premium US soccer journalism; Paul Tenorio Pablo Maurer Jeff Rueter","NYT earnings; NYT Group; subscription",@TheAthleticFC
NYT Sports Soccer,traditional-newspaper,USA,en,~10M digital subscribers,https://www.nytimes.com/section/sports/soccer,sports@nytimes.com,Soccer Editor,"NYT main paper soccer section; Andrew Das Rory Smith (former)","NYT earnings; NYT Group; subscription",@NYTSports
Sports Illustrated Soccer,traditional-newspaper,USA,en,~5M monthly visits,https://www.si.com/soccer,(via SI editorial),Soccer Editor,"SI's soccer vertical; mainstream US sports audience","SimilarWeb; Authentic Brands Group; ad",@SInow
CBS Sports Golazo Network,traditional-broadcast,USA,en,~15M monthly digital reach,https://www.cbssports.com/soccer/,(via CBS Sports press),Programming,"CBS Sports' dedicated soccer FAST channel and digital arm; Kate Abdo Thierry Henry Jamie Carragher Micah Richards","Comscore; Paramount; ad + subscription",@CBSSportsGolazo
Yahoo Sports Soccer,traditional-newspaper,USA,en,~40M monthly visits,https://sports.yahoo.com/soccer/,sportspr@yahooinc.com,Soccer Editor,"Mainstream US sports portal; Doug McIntyre Henry Bushnell","SimilarWeb; Yahoo/Apollo; ad",@YahooSports
Soccer America,newsletter,USA,en,~20k subscribers,https://www.socceramerica.com/,info@socceramerica.com,Editorial Office,"Long-running US soccer industry publication; coaches and admins","Estimate from publisher; Soccer America; subscription + ad",@SoccerAmerica
The Striker Newsletter Pablo Maurer,social-twitter,USA,en,~80k X followers,https://x.com/MLSist,p.maurer@theathletic.com,Senior Writer,"Athletic Latin America + US soccer writer; bilingual","Follower count from X; The Athletic; subscription",@MLSist
Doug McIntyre,social-twitter,USA,en,~80k X followers,https://x.com/ByDougMcIntyre,doug.mcintyre@yahoo.com,Senior Soccer Writer,"Yahoo Sports lead soccer writer; covers USMNT","Follower count from X; Yahoo; ad",@ByDougMcIntyre
Caitlin Murray,social-twitter,USA,en,~70k X followers,https://x.com/caitlinmurr,caitlin.murray@gmail.com,Freelance,"USWNT-leading journalist; freelance for Athletic NYT etc; book author","Follower count from X; freelance; (unverified email - public pattern)",@caitlinmurr
Charlie Davies,podcast,USA,en,~50k weekly downloads,https://www.cbssports.com/podcasts/,(via CBS Sports),Producer,"CBS Sports Call It What You Want pod with Jimmy Conrad","Estimate from CBS chart; Paramount; ad",@CharlieDavies9
Stick to Soccer (Athletic),podcast,USA,en,~80k weekly downloads,https://theathletic.com/podcasts/,podcasts@theathletic.com,Producer,"Athletic FC US soccer flagship pod","Estimate from Athletic; subscription",@TheAthleticFC
Soccer Dot Com,social-instagram,USA,en,~600k IG followers,https://www.soccer.com/,marketing@soccer.com,Brand Partnerships,"Largest US online soccer retailer; partner-friendly with prize inventory","Follower from IG; Soccer.com; commerce",@soccerdotcom
ESPN FC,traditional-broadcast,USA,en,~25M monthly digital reach (soccer vertical),https://www.espn.com/soccer/,(via ESPN press),Programming,"ESPN.com soccer vertical; Sebastian Salazar Herculez Gomez","Comscore; Disney; ad + subscription",@ESPNFC
Herculez Gomez,social-twitter,USA,en,~300k X followers,https://x.com/HerculezG,herculez.gomez@espn.com,Analyst,"ESPN bilingual analyst; covers USMNT + Liga MX; bridge to Mexico market","Follower count from X; Disney/ESPN; ad",@HerculezG
Mosaic Magazine (Athletic Football),newsletter,USA,en,~50k subscribers,https://theathletic.com/newsletters/,(via Athletic),Producer,"Athletic football newsletter US edition","Estimate from Athletic; subscription",@TheAthleticFC
Globo Esporte,traditional-broadcast,Brazil,pt-BR,~70M weekly TV reach,https://ge.globo.com/,(via Globo press),Sports Director,"Brazil's number one football TV/digital brand; runs Cartola FC fantasy game with millions","Globo public reporting; Globo Group; ad + subscription",@globoesportecom
Cartola FC,social-instagram,Brazil,pt-BR,~6M IG followers,https://cartola.globo.com/,cartola@globo.com,Product Manager,"Globo's official fantasy football game; direct adjacency to prediction-pool concept","Follower count from IG public; Globo Group; freemium",@CartolaFC
ESPN Brasil,traditional-broadcast,Brazil,pt-BR,~40M monthly digital reach,https://www.espn.com.br/futebol/,(via ESPN BR press),Programming,"ESPN BR; football daily; Resenha ESPN brand pod","Comscore BR; Disney; ad + subscription",@ESPNBrasil
Fox Sports Brasil,traditional-broadcast,Brazil,pt-BR,~25M monthly digital reach,https://www.foxsports.com.br/,(via Fox BR press),Programming,"Football daily talk shows; brand-friendly","Comscore BR; Disney post-acquisition; ad",@FoxSportsBR
SporTV,traditional-broadcast,Brazil,pt-BR,~30M monthly cable reach,https://sportv.globo.com/,(via Globo),Programming,"Globo's pay-TV sports brand","Globo public; Globo Group; subscription",@sportv
Charla Podcast,podcast,Brazil,pt-BR,~200k weekly downloads,https://www.youtube.com/@CharlaPodcast,(via YouTube About page),Production Office,"Football pundit pod with ex-pros; mainstream Brazilian audience","Estimate from public Spotify charts; ad-supported",@CharlaPodcast
Posse de Bola,podcast,Brazil,pt-BR,~150k weekly downloads,https://www.youtube.com/@PossedeBolaOficial,contato@possedebola.com,Production Office,"Tactical-analysis pod; younger fan audience","Estimate from public Spotify; ad-supported",@PossedeBolaOficial
Resenha ESPN,podcast,Brazil,pt-BR,~300k weekly downloads,https://www.espn.com.br/podcasts/,(via ESPN BR),Producer,"ESPN BR's flagship football resenha format","Estimate from public charts; Disney; subscription",@ESPNBrasil
Desimpedidos,youtube,Brazil,pt-BR,~13M YT subs,https://www.youtube.com/@desimpedidos,contato@desimpedidos.com.br,Brand Partnerships,"Brazil's biggest football-entertainment YouTube brand; runs branded prediction content","Verified YT subs; Conteudo BR/Webedia; brand partnership",@desimpedidos
Cartoleiros,youtube,Brazil,pt-BR,~600k YT subs,https://www.youtube.com/@cartoleiros,contato@cartoleiros.com.br,Producer,"Cartola FC analysis channel; massive prediction-game native audience","Verified YT subs; independent; ad + sponsorship",@cartoleiros
PilhadoFC,youtube,Brazil,pt-BR,~700k YT subs,https://www.youtube.com/@PilhadoFC,contato@pilhado.com.br,Brand Partnerships,"Football-fan reactions and live shows; brand-active","Verified YT subs; independent; ad + sponsorship",@PilhadoFC
Bola Pesada,youtube,Brazil,pt-BR,~400k YT subs,https://www.youtube.com/@BolaPesada,(via YouTube About page),Channel Owner,"Football reaction and debate format","Verified YT subs; independent; ad-supported",@BolaPesada
Folha de Sao Paulo Esporte,traditional-newspaper,Brazil,pt-BR,~700k digital subscribers,https://www.folha.uol.com.br/esporte/,esporte@grupofolha.com.br,Sport Editor,"Brazil's leading daily; football vertical","Folha public reporting; Grupo Folha; subscription + ad",@folha
UOL Esporte,traditional-newspaper,Brazil,pt-BR,~60M monthly visits,https://www.uol.com.br/esporte/,esporte@uol.com.br,Sport Editor,"UOL's huge football vertical including PVC Juca Kfouri Mauro Cezar","SimilarWeb BR; Grupo UOL; ad + subscription",@UOLEsporte
Lance,traditional-newspaper,Brazil,pt-BR,~30M monthly visits,https://www.lance.com.br/,redacao@lancenet.com.br,Editor,"Long-running Brazilian sports daily","SimilarWeb BR; Areté Editorial; ad",@lance
PVC Mauro Cezar Juca Kfouri,social-twitter,Brazil,pt-BR,~2M X followers combined,https://x.com/jucakfouri,(via UOL press),Columnists,"Top three opinion columnists in Brazilian football; UOL-aligned","Follower count from X; ad + subscription",@jucakfouri
Mauro Beting,social-twitter,Brazil,pt-BR,~250k X followers,https://x.com/MauroBeting,(via personal site),Columnist,"Veteran football commentator and writer","Follower count from X; freelance",@MauroBeting
GE Globo Newsletter,newsletter,Brazil,pt-BR,~500k subscribers,https://ge.globo.com/newsletter/,(via Globo),Producer,"Globo Esporte's daily football newsletter","Estimate from Globo; Globo Group; free + ad",@globoesportecom
Cartola Express Newsletter,newsletter,Brazil,pt-BR,~300k subscribers,https://cartola.globo.com/,cartola@globo.com,Product Manager,"Cartola FC weekly newsletter; ideal cross-promo for WC predictions","Estimate from Globo; Globo Group; free",@CartolaFC
Ole,traditional-newspaper,Argentina,es,~25M monthly visits,https://www.ole.com.ar/,redaccion@ole.com.ar,Editor,"Argentina's leading sports daily; football-only paper","SimilarWeb AR; Grupo Clarin; ad",@DiarioOle
TyC Sports,traditional-broadcast,Argentina,es,~20M monthly digital reach,https://www.tycsports.com/,(via TyC press),Programming,"Leading AR sports TV; football daily; Liga Profesional rights","Comscore AR; Grupo Clarin/Torneos; ad + subscription",@TyCSports
ESPN Argentina,traditional-broadcast,Argentina,es,~15M monthly digital reach,https://www.espn.com.ar/futbol/,(via ESPN AR press),Programming,"ESPN AR football arm; F90 F12 flagship shows","Comscore AR; Disney; ad + subscription",@ESPNArgentina
F90 ESPN,podcast,Argentina,es,~200k weekly downloads,https://www.espn.com.ar/podcasts/,(via ESPN AR),Producer,"Flagship Argentine football pundit pod; Vignolo Closs Sebastian Vignolo","Estimate from public charts; Disney; subscription",@ESPNArgentina
Hablemos de Futbol,podcast,Argentina,es,~100k weekly downloads,https://www.spotify.com/,(via Spotify profile),Production Office,"Argentine football analysis pod; younger audience","Estimate from Spotify; ad",@HabFutbolPod
La Nacion Deportes,traditional-newspaper,Argentina,es,~30M monthly visits,https://www.lanacion.com.ar/deportes/,deportes@lanacion.com.ar,Sport Editor,"La Nacion's sport section; football daily","SimilarWeb AR; La Nacion SA; subscription + ad",@LANACION
Clarin Deportes,traditional-newspaper,Argentina,es,~40M monthly visits,https://www.clarin.com/deportes/,deportes@clarin.com,Sport Editor,"Clarin's sport section; football daily","SimilarWeb AR; Grupo Clarin; ad + subscription",@clarincom
Pasion Monumental,youtube,Argentina,es,~500k YT subs,https://www.youtube.com/@PasionMonumental,(via YouTube About page),Channel Owner,"River Plate fan channel; live match reactions","Verified YT subs; independent; ad + sponsorship",@PasionMonumental
Doble Amarilla,youtube,Argentina,es,~250k YT subs,https://www.youtube.com/@DobleAmarillaOK,contacto@dobleamarilla.com.ar,Editor,"Argentine football news + transfer aggregator","Verified YT subs; independent; ad",@DobleAmarillaOK
Resumen LPF,youtube,Argentina,es,~300k YT subs,https://www.youtube.com/@LigaProfesional,prensa@ligaprofesional.com.ar,Brand Partnerships,"Official Argentine Liga Profesional channel; partner-priority","Verified YT subs; LPF; partnership + ad",@LigaAFA
Gaston Edul,social-twitter,Argentina,es,~1.5M X followers,https://x.com/gastonedul,(via TyC press),Reporter,"Top transfer-news AR journalist; ex-TyC; very brand-friendly","Follower count from X; freelance; brand sponsorships",@gastonedul
Veron Sport,social-twitter,Argentina,es,~150k X followers,https://x.com/veronsport,(via personal site),Reporter,"Argentine football reporter; transfer beat",,@veronsport
Pelota Parada,podcast,Argentina,es,~100k weekly downloads,https://www.youtube.com/@PelotaParada,(via YouTube About page),Production Office,"Argentine football comedy + analysis pod","Estimate from Spotify; ad",@PelotaParada
Marca,traditional-newspaper,Spain,es,~80M monthly visits,https://www.marca.com/,internet@marca.com,Editor,"Spain's biggest sports daily; football-heavy","SimilarWeb ES; Unidad Editorial; ad + subscription",@marca
AS,traditional-newspaper,Spain,es,~70M monthly visits,https://as.com/,redaccion@as.com,Editor,"Spain's number two sports daily","SimilarWeb ES; PRISA; ad + subscription",@diarioas
Mundo Deportivo,traditional-newspaper,Spain,es,~40M monthly visits,https://www.mundodeportivo.com/,redaccion@mundodeportivo.com,Editor,"Barcelona-tilted Spanish sports daily","SimilarWeb ES; Grupo Godo; ad + subscription",@mundodeportivo
Sport,traditional-newspaper,Spain,es,~25M monthly visits,https://www.sport.es/,redaccion@sport.es,Editor,"Barcelona-focused sports daily","SimilarWeb ES; Prensa Iberica; ad + subscription",@sport
El Chiringuito de Jugones,traditional-broadcast,Spain,es,~6M YT subs,https://www.youtube.com/@ELCHIRINGUITOTV,info@elchiringuitotv.com,Brand Partnerships,"Massive late-night football debate show; Pedrerol; very brand-friendly","Verified YT subs; Atresmedia; ad + brand partnerships",@elchiringuitotv
Cadena SER El Larguero,podcast,Spain,es,~800k weekly listens,https://cadenaser.com/programa/el_larguero/,redaccion@cadenaser.com,Producer,"SER's nightly football show; long-running brand","RAJAR-equivalent; PRISA; ad + subscription",@ellarguero
Tiempo de Juego (COPE),podcast,Spain,es,~600k weekly listens,https://www.cope.es/programas/tiempo-de-juego,prensa@cope.es,Producer,"COPE's weekend football flagship","Estimate from EGM; COPE; ad",@tjcope
Onda Cero Radioestadio,podcast,Spain,es,~400k weekly listens,https://www.ondacero.es/programas/radioestadio/,(via Onda Cero),Producer,"Onda Cero's weekend football show","Estimate from EGM; Atresmedia; ad",@OndaCero_es
DAZN Espana,traditional-broadcast,Spain,es,~3M subscribers,https://www.dazn.com/es-ES,(via DAZN press),Brand Partnerships,"LaLiga Hypermotion + UCL Spanish rights; partner-friendly","DAZN public reporting; DAZN Group; subscription",@DAZN_ES
M+ LaLiga,traditional-broadcast,Spain,es,~5M Movistar subs,https://www.movistarplus.es/laliga,(via Movistar press),Programming,"Movistar+'s LaLiga channel; partner-priority","Movistar public; Telefonica; subscription",@vamos
Post United Podcast,podcast,Spain,es,~80k weekly downloads,https://www.spotify.com/,(via Spotify),Producer,"English football coverage in Spanish; bridge audience",,@PostUnitedPod
Relevo,traditional-newspaper,Spain,es,~10M monthly visits,https://www.relevo.com/,redaccion@relevo.com,Editor,"New digital sports daily; Vocento group; younger audience","SimilarWeb ES; Vocento; ad + subscription",@relevo
2010MisterChip,social-twitter,Spain,es,~3M X followers,https://x.com/2010MisterChip,(via personal site),Stats Journalist,"World's most-followed football-stats account; perfect partner for stats-driven prediction angle","Follower count from X; freelance; brand sponsorships",@2010MisterChip
Marca Newsletter,newsletter,Spain,es,~300k subscribers,https://www.marca.com/newsletters/,internet@marca.com,Producer,"Marca's daily football newsletter","Estimate from Unidad Editorial; subscription + ad",@marca
